"","stock_data$AVB.Open","stock_data$AVB.High","stock_data$AVB.Low","stock_data$AVB.Close","stock_data$AVB.Volume","stock_data$AVB.Adjusted"
"1",98.379997,107.290001,93.209999,93.370003,18034300,79.99144
"2",93.169998,109,88.830002,105.089996,22707600,90.032129
"3",107.410004,107.669998,100.489998,105.220001,24195500,90.143506
"4",107,112.919998,103.18,103.93,20777400,89.7959
"5",105.209999,114.110001,103.169998,106.309998,17829700,91.852227
"6",106.720001,115,103.519997,110.330002,15948300,95.325525
"7",111.809998,116.089996,107.32,112.550003,13974900,98.020996
"8",113.269997,116.830002,108.209999,115.93,12175600,100.964671
"9",116.580002,121.360001,112.919998,121.029999,12206300,105.406314
"10",121.110001,121.650002,113,120.080002,16519600,105.375806
"11",120.849998,130,117.57,126.610001,13023700,111.106184
"12",127.790001,133.100006,124.919998,133.070007,12659500,116.775142
"13",132.460007,133.839996,126.419998,128.399994,21554900,113.471354
"14",128.809998,139.910004,128.419998,134.190002,16754500,118.588178
"15",135.710007,136.949997,115.910004,136.380005,37399800,120.523556
"16",136.419998,137.929993,113.25,114.050003,27765000,101.543875
"17",114.300003,136.399994,107.540001,133.690002,21584500,119.030254
"18",126.050003,132.229996,116.25,124.849998,16417100,111.159599
"19",124.400002,133.380005,121.599998,130.600006,13609700,117.067725
"20",133.940002,136.119995,123.709999,136.009995,16090400,121.917151
"21",137.039993,139.979996,129.509995,129.669998,15126300,116.234081
"22",129.270004,141.690002,129.270004,141.350006,16422300,127.59297
"23",141.360001,146.589996,135.729996,145.399994,12282000,131.248788
"24",145.660004,148.619995,136.380005,139.75,14202700,126.148686
"25",137.259995,149.389999,134.5,141.479996,13966400,128.618376
"26",141.380005,151.229996,141.199997,147.089996,12380100,133.718384
"27",147.679993,148.940002,137.880005,141.520004,12058200,128.654747
"28",141.039993,144.919998,134.029999,135.990005,12277400,124.519193
"29",136.419998,138.520004,131.740005,135.559998,13317000,124.125457
"30",135.589996,139.699997,126.120003,131.789993,27459800,120.673454
"31",132.300003,137,131.910004,135.589996,22646700,125.051039
"32",137.279999,139.509995,126.690002,129.789993,16241600,119.70185
"33",130.850006,131.229996,124.110001,124.830002,26397500,115.127382
"34",124.559998,129.399994,123.040001,126.669998,19806200,117.820789
"35",127.18,135.600006,126.669998,133.039993,15479500,123.745774
"36",133.5,141.949997,129.240005,132.660004,25101400,123.392331
"37",132.669998,137.550003,126.910004,134.910004,18410200,126.484393
"38",134.809998,141.710007,132.080002,135.339996,15567400,126.887531
"39",135.880005,136.470001,121.529999,123.900002,13374000,116.162004
"40",124.779999,136.270004,121.330002,127.089996,12139800,120.134626
"41",127.089996,135.149994,123.650002,125.050003,15932300,118.206277
"42",125.860001,126.18,116.110001,118.559998,12751900,112.071456
"43",118.18,122.75,116.029999,118.230003,17698600,112.775863
"44",118.25,124.779999,114.160004,123.5,22964000,117.802746
"45",123.5,130.869995,123.080002,128.970001,18164600,123.020407
"46",128.690002,132.169998,126.940002,131.320007,17451900,126.389352
"47",131.320007,137.690002,130.039993,136.550003,17813200,131.422977
"48",136.759995,141.949997,135,141.839996,15516300,136.514348
"49",141.740005,144.509995,138.070007,142.190002,15554500,137.971683
"50",142.139999,151.399994,140.919998,148.080002,14493600,143.686945
"51",148.210007,156.160004,147.529999,154.100006,14384800,149.528355
"52",154.350006,157.160004,139.270004,140.970001,23636100,137.92304
"53",141.130005,155.850006,141,155.839996,21760700,152.471631
"54",156.139999,162.550003,155.899994,160.789993,12482200,157.314638
"55",160.820007,170.139999,159.300003,163.389999,16004300,160.973647
"56",164.059998,181.320007,163.809998,172.990005,16035300,170.431679
"57",172.869995,175.449997,165.669998,168.339996,17603800,165.850439
"58",168.419998,181.690002,163.839996,174.25,19547700,172.901312
"59",174.399994,176.429993,163.440002,164.339996,13437900,163.068011
"60",165.419998,170.610001,162.419998,166.5,13143100,165.211296
"61",166.800003,168.630005,158.720001,161.339996,5443800,160.091231
