"","stock_data$FHN.Open","stock_data$FHN.High","stock_data$FHN.Low","stock_data$FHN.Close","stock_data$FHN.Volume","stock_data$FHN.Adjusted"
"1",11.55,12.7,11.4,11.45,44295500,10.878575
"2",11.43,12.52,10.76,11.47,75372500,10.897578
"3",11.62,11.89,9.8,10.08,62743200,9.576947
"4",10.22,11.61,10.1,11.41,62034400,10.840572
"5",11.57,11.88,9.56,10.09,120942100,9.586448
"6",10.13,10.75,9.32,9.57,84232700,9.092399
"7",9.77,12.09,9.67,11.78,109866400,11.192106
"8",11.93,12.67,11.14,11.33,94189700,10.764564
"9",11.42,11.95,10.98,11.5,54888500,10.92608
"10",11.53,11.72,10.81,11.21,61631000,10.659727
"11",11.45,11.7,9.98,10.95,64476200,10.412489
"12",11,11.25,10.1,10.51,59884900,9.994088
"13",10.5,10.51,9.33,9.54,79791500,9.08096
"14",9.54,10.19,8.8,8.99,98510700,8.557424
"15",9.08,9.15,6.26,7.04,111987600,6.701253
"16",7.04,7.1,5.91,5.96,98290200,5.682327
"17",6.05,7.38,5.38,6.99,135152900,6.664339
"18",6.71,7.71,6.51,7.7,106190000,7.341261
"19",7.65,8.33,7.16,8,83715100,7.637522
"20",8.2,9.36,8.04,8.73,95728100,8.334446
"21",8.92,9.74,8.81,9.4,87510800,8.974088
"22",9.46,10.99,9.11,10.38,131689600,9.919232
"23",10.33,10.61,8.83,9.18,141420800,8.7725
"24",9.18,9.44,8.36,8.48,97947400,8.103572
"25",8.35,8.73,7.44,8.65,136001600,8.27672
"26",8.7,8.95,7.71,8.23,130672600,7.874844
"27",8.27,9.09,7.96,8.96,81671900,8.573342
"28",8.96,10.26,8.91,9.63,93901100,9.224068
"29",9.71,10.06,8.9,9.31,85024100,8.917557
"30",9.3,9.85,8.91,9.46,83285500,9.061234
"31",9.56,10.22,9.18,9.91,56456500,9.50232
"32",10.15,10.53,9.7,10.21,87382000,9.789979
"33",10.27,10.96,10.19,10.63,52536700,10.192701
"34",10.54,11.34,10.44,10.68,50697700,10.28669
"35",10.7,10.72,9.47,10.4,61593000,10.017001
"36",10.4,11.81,10.19,11.48,49011200,11.057228
"37",11.49,11.6,10.51,11.2,122642800,10.835357
"38",11.2,12.74,11.18,12.33,86168600,11.928567
"39",12.43,12.68,11.04,11.06,41461600,10.699915
"40",11.19,11.74,10.89,10.99,61885200,10.679872
"41",11.01,11.51,10.62,10.65,77536700,10.349466
"42",10.64,11.66,10.6,11.21,53687600,10.893664
"43",11.17,11.77,10.93,11.65,42514800,11.371834
"44",11.6,12.48,11.52,11.76,98443200,11.479208
"45",11.77,12.13,11.18,11.97,43040700,11.684194
"46",11.82,12.73,11.73,12.34,40229900,12.094847
"47",12.38,12.74,11.22,11.49,54608200,11.261733
"48",11.52,11.8,11,11.46,34050800,11.23233
"49",11.49,12.2,11.35,11.86,38383500,11.672457
"50",11.93,12.19,11.45,11.78,44444800,11.593722
"51",11.75,12.24,11.42,12.16,32217500,11.967713
"52",12.21,13.23,12.18,12.28,56253600,12.134905
"53",12.25,12.89,11.09,12.86,63773800,12.708052
"54",12.9,13.05,12.56,12.76,33893800,12.609234
"55",12.7,13.99,12.42,13.58,52828600,13.470299
"56",13.64,13.7,12.17,12.99,65722100,12.885065
"57",13.06,14.66,12.96,14.29,40499400,14.174564
"58",14.29,14.86,13.74,14.29,62263400,14.234289
"59",14.25,14.63,13.95,14.25,38636400,14.194445
"60",14.3,14.92,14.14,14.76,37895500,14.702457
"61",14.79,15.59,14.55,15.53,13320900,15.53
