"","stock_data$GWW.Open","stock_data$GWW.High","stock_data$GWW.Low","stock_data$GWW.Close","stock_data$GWW.Volume","stock_data$GWW.Adjusted"
"1",101.230003,109.57,99.220001,99.449997,8031800,91.64471
"2",99.620003,112.279999,96.809998,112.010002,18021200,103.218949
"3",113.57,115.68,104.480003,105.790001,15574700,97.945285
"4",107.32,121.839996,107.269997,119.110001,12946600,110.277558
"5",120,126.050003,117.25,124.029999,13043200,114.83272
"6",124.449997,128.270004,123,124.93,11471100,116.169368
"7",125.989998,139.089996,125.970001,138.110001,7735700,128.42513
"8",139.179993,140.169998,129.639999,131.470001,14596500,122.250756
"9",132.429993,136.509995,129.009995,133.210007,8580600,124.365173
"10",134.339996,139.139999,131.080002,137.679993,10720600,128.538362
"11",138,152.240005,137.75,151.600006,10849700,141.534119
"12",151.429993,153.600006,145.800003,151.070007,8515500,141.66976
"13",150.639999,154.679993,141.179993,153.649994,10964500,144.089208
"14",154.020004,161.210007,146.320007,148.369995,10452700,139.137754
"15",149.589996,156.850006,124.330002,154.100006,19046400,145.182326
"16",153.009995,165.550003,143.570007,149.539993,16250900,140.886198
"17",147.210007,177.770004,141.360001,171.309998,14669600,161.396385
"18",166.009995,187.470001,166,186.899994,10048100,176.727449
"19",186.899994,193.210007,177.339996,187.190002,7838600,177.001673
"20",191.289993,204.619995,184.369995,190.740005,9230600,180.358458
"21",191.839996,212,191.830002,207.729996,6082100,197.068397
"22",208.009995,221.839996,204.669998,214.809998,7186100,203.785023
"23",214.649994,221,199.539993,207.820007,12426500,197.153789
"24",208.429993,209.979996,185.729996,193.649994,13416700,184.442382
"25",189.869995,191.660004,172.5,191.240005,18877800,182.146983
"26",190.690002,211.360001,176.5,204.830002,14968900,195.090807
"27",205.809998,209.970001,197.160004,205.960007,7601200,196.93012
"28",206.130005,211.309998,200.970001,208.369995,9424900,199.234448
"29",208.899994,218.229996,196.199997,201.410004,13935500,192.579603
"30",201.830002,204.580002,184.779999,194.020004,17642100,186.247289
"31",194.690002,202.429993,186.589996,202.369995,9728900,194.262767
"32",205.389999,219.289993,201.490005,217.820007,9660800,209.09383
"33",219.360001,231.020004,215.089996,226.460007,7744200,218.188876
"34",225.429993,233.949997,218.289993,224.979996,6756400,216.762921
"35",224.399994,249.539993,216.639999,246.470001,9826900,237.468034
"36",246.240005,269.170013,240.809998,257.440002,6794800,248.954121
"37",257.230011,261,247.399994,252.179993,5793700,243.867494
"38",253.470001,267.290009,250.970001,262.140015,6333100,253.499209
"39",265.299988,270.470001,245.009995,247.350006,4545500,240.051557
"40",249.389999,276.380005,248.869995,261.709991,7036700,253.987829
"41",261.769989,274.369995,251.210007,268.970001,9392700,261.033621
"42",269.459991,273,252.550003,257.920013,6984400,251.178191
"43",257.910004,260,246.860001,255.419998,7834300,248.743524
"44",254.699997,267.48999,232.259995,234.479996,11533800,228.350876
"45",234.5,255.679993,228.190002,255.020004,11748400,249.358457
"46",253.160004,259.380005,243.990005,252.660004,9793100,247.050849
"47",253.949997,259.339996,245.229996,254.399994,9959600,248.752211
"48",255.240005,259.339996,248.330002,258.369995,6423600,253.72015
"49",258.73999,269.690002,252.979996,254.270004,7962000,249.693946
"50",255,256.420013,234.800003,235.149994,10908700,230.918035
"51",233.820007,250.660004,231.210007,246.199997,8017100,242.882422
"52",246.970001,254.75,244.679993,251.649994,7680700,248.25898
"53",251.419998,258.190002,223.919998,246.800003,15120400,243.474343
"54",246.800003,255.080002,241.979996,245.679993,7408900,243.407822
"55",244.910004,261.570007,239.699997,254.889999,10669900,252.53265
"56",256.019989,256.970001,229.039993,235.839996,10825400,233.658831
"57",233.75,245.240005,230.509995,236.910004,13307700,235.78369
"58",236.910004,241.470001,228.149994,235.809998,14143600,234.688913
"59",234.880005,252.869995,228.050003,248.429993,15100000,247.24891
"60",249.020004,251.899994,239.690002,240.330002,8962800,240.330002
"61",240.839996,244.050003,238.169998,242.289993,3194100,242.289993
