"","stock_data$ETFC.Open","stock_data$ETFC.High","stock_data$ETFC.Low","stock_data$ETFC.Close","stock_data$ETFC.Volume","stock_data$ETFC.Adjusted"
"1",13.29,14.49,11.73,11.82,65718500,11.82
"2",11.84,14.8,11.15,14.63,87209700,14.63
"3",14.75,15.6,12.24,12.4,72547200,12.4
"4",12.63,15.55,12.5,14.57,66321700,14.57
"5",14.67,15.19,13.73,14.3,67998400,14.3
"6",14.32,15.8,14.09,14.75,54873300,14.75
"7",14.96,16.24,14.88,16,50111800,16
"8",16.129999,17.049999,15.3,16.559999,70936500,16.559999
"9",16.68,18.129999,15.61,15.98,78755500,15.98
"10",16,16.139999,14.6,15.63,85263100,15.63
"11",15.77,16.83,15.36,16.24,81781000,16.24
"12",16.299999,16.530001,15.03,15.81,81500100,15.81
"13",15.75,15.75,13.23,13.8,96415700,13.8
"14",13.85,16.66,12.35,15.88,164976500,15.88
"15",15.98,16.200001,9.9,12.36,212467200,12.36
"16",12.35,12.4,9.07,9.11,127444100,9.11
"17",9.01,11.69,7.74,10.85,155678900,10.85
"18",10.18,10.87,8,9.18,178961100,9.18
"19",9.1,9.51,7.42,7.96,146476000,7.96
"20",8.18,9.8,7.77,8.19,143061100,8.19
"21",8.29,9.9,8.22,9.64,118271600,9.64
"22",9.7,11.5,9.23,10.95,125008800,10.95
"23",10.89,11.16,9.72,10.63,107210800,10.63
"24",10.63,10.93,8.31,8.49,86802200,8.49
"25",8.31,8.53,7.39,8.04,122432800,8.04
"26",8.11,8.2,7.08,7.63,119601900,7.63
"27",7.66,8.88,7.25,8.57,124425300,8.57
"28",8.53,10.09,8.41,8.8,84830900,8.8
"29",8.9,9.54,8.13,8.36,94128700,8.36
"30",8.27,8.89,7.7,8.42,73136900,8.42
"31",8.47,8.96,8.19,8.95,69315500,8.95
"32",9.17,10.7,9.06,10.6,117405700,10.6
"33",10.69,11.45,10.46,10.71,82504600,10.71
"34",10.64,11.82,10.34,10.71,153752900,10.71
"35",10.79,10.79,9.52,10.29,89705000,10.29
"36",10.31,11.99,10.02,11.62,87744500,11.62
"37",11.67,12.73,11.1,12.66,79761900,12.66
"38",12.66,15.31,12.66,14.9,84657000,14.9
"39",15.01,15.39,13.93,14.04,50617800,14.04
"40",14.27,17.73,14.27,16.5,83079200,16.5
"41",16.51,17.709999,15.54,16.91,85994700,16.91
"42",16.969999,18.049999,16.84,17.92,51615700,17.92
"43",17.959999,19.67,17.74,19.639999,52581700,19.639999
"44",19.709999,21.6,19.58,20.02,85365100,20.02
"45",20.030001,22.99,18.860001,22.469999,76682000,22.469999
"46",22.16,25.58,21.860001,23.02,76364200,23.02
"47",23.129999,23.870001,19.620001,22.450001,154064400,22.450001
"48",22.48,22.950001,19.4,20.370001,82967100,20.370001
"49",20.42,22.190001,19.24,21.26,111075800,21.26
"50",21.32,22.950001,20.129999,21.02,93412000,21.02
"51",20.940001,22.879999,20.370001,22.26,42141500,22.26
"52",22.379999,24.57,21.530001,22.59,60022800,22.59
"53",22.52,22.879999,18.200001,22.299999,102688100,22.299999
"54",22.309999,23.360001,21.940001,22.809999,43011600,22.809999
"55",22.66,24.58,21.530001,24.26,52895300,24.26
"56",24.379999,24.969999,21.01,23.049999,77160100,23.049999
"57",23.26,26.799999,23.02,26.040001,54092600,26.040001
"58",26.15,28.67,25.99,28.559999,78888000,28.559999
"59",28.450001,29.5,27.24,28.790001,60541100,28.790001
"60",29.030001,30.4,28.389999,29.459999,67467400,29.459999
"61",30.02,31.41,28.99,30.84,33582600,30.84
