"","stock_data$HAS.Open","stock_data$HAS.High","stock_data$HAS.Low","stock_data$HAS.Close","stock_data$HAS.Volume","stock_data$HAS.Adjusted"
"1",39,43.709999,39,41.099998,42777700,35.118471
"2",41.25,42.560001,37.650002,42.150002,49572200,36.233777
"3",42.799999,44.59,39.57,40.360001,31876500,34.695023
"4",40.669998,45.849998,40.639999,44.509998,26883200,38.262522
"5",45.119999,48.779999,44.240002,46.25,26063700,39.975935
"6",46.470001,47.990002,45.68,47.66,20605200,41.194661
"7",48.130001,50.169998,46.91,47.18,19341900,40.779776
"8",47.75,47.75,42.540001,44.09,39774400,38.321945
"9",44.360001,46.16,43.09,44.900002,27030700,39.025978
"10",44.849998,47.509998,44.119999,46.84,25507000,40.712177
"11",47.16,47.669998,44,46.84,29780600,40.978213
"12",47,48.43,45.450001,45.740002,22776000,40.015874
"13",45.549999,46.529999,42.630001,43.93,26574000,38.432385
"14",44.049999,46.009998,38.77,39.560001,50605300,34.871526
"15",39.790001,39.860001,33.82,38.740002,53720900,34.148709
"16",38.91,39.029999,32.560001,32.610001,45587500,28.745208
"17",32.299999,39.200001,31.360001,38.060001,48832300,33.810791
"18",37.099998,39.02,34.139999,35.810001,27078700,31.811992
"19",35.91,37.349998,31.51,31.889999,30584100,28.329639
"20",32.259998,35.400002,31.65,34.91,48730500,31.280129
"21",35.209999,37.630001,34.450001,35.32,40797600,31.647498
"22",35.66,37.700001,34.41,36.720001,26002700,32.90193
"23",36.860001,37.549999,33.810001,36.740002,42543500,33.247863
"24",36.889999,37.240002,33.419998,35.419998,36675400,32.053326
"25",34.950001,35.470001,32,33.869999,35079500,30.650654
"26",34.150002,36.57,32.290001,35.82,41997000,32.740365
"27",36.16,38.599998,35.009998,37.509998,26084700,34.285065
"28",37.48,39.98,36.75,38.169998,21294400,34.888322
"29",38.130001,39.959999,35.939999,35.990002,38486500,33.224799
"30",36.84,39.009998,35.470001,38.459999,32748900,35.50502
"31",38.599998,38.889999,34.91,35.900002,27499200,33.460639
"32",36.369999,39.099998,35,37.369999,54687100,34.830752
"33",37.689999,41.619999,37.220001,40.02,34752700,37.300689
"34",40.099998,44.139999,39.880001,43.939999,23147900,40.954328
"35",44,48.459999,42.57,47.369999,31935500,44.528061
"36",47.5,48.970001,44.220001,44.48,30803700,41.811446
"37",44.970001,45.330002,43.459999,44.830002,21777400,42.14045
"38",44.950001,48.349998,44.77,46,31090100,43.610224
"39",46.080002,47.610001,44.689999,45.580002,21260400,43.212046
"40",45.990002,49.75,45.740002,47.139999,26998100,44.690999
"41",47.049999,53.68,45.439999,51.650002,41941600,49.336399
"42",51.68,54.110001,50.169998,53.82,25317700,51.409195
"43",53.98,55.16,50.220001,55.009998,28312900,52.545889
"44",54.889999,55.18,47.720001,49.119999,29438300,47.28888
"45",47.48,55.580002,47.48,55.16,35846400,53.103719
"46",54.84,55.75,53.84,55.619999,22788700,53.54657
"47",55.880001,56.91,52.91,55.259998,25102400,53.613962
"48",55.139999,56.110001,53.02,53.700001,17629300,52.100432
"49",53.560001,53.93,50.82,53.049999,23154800,51.469792
"50",53.110001,54.990002,49.869999,49.950001,29051300,48.876752
"51",49.900002,52.990002,48.009998,52.66,17218900,51.528523
"52",52.73,55.779999,52.48,55,19613300,53.818245
"53",55.040001,58.060001,52.740002,57.529999,30396700,56.717145
"54",57.689999,59.419998,53.740002,59.200001,25161200,58.363551
"55",58.619999,59,54,54.990002,29525200,54.213036
"56",55.450001,55.900002,51.419998,54.919998,29249100,54.56473
"57",54.68,63.09,53.900002,62.32,28253400,61.916862
"58",62.450001,63.59,59.740002,63.240002,22251300,62.830913
"59",63.139999,74.75,62.560001,70.790001,37502900,70.790001
"60",71.150002,73.160004,69.900002,72.129997,15570500,72.129997
"61",71.949997,73.25,71.529999,72.690002,5668600,72.690002
