"","stock_data$RTN.Open","stock_data$RTN.High","stock_data$RTN.Low","stock_data$RTN.Close","stock_data$RTN.Volume","stock_data$RTN.Adjusted"
"1",51.110001,53.759998,48.310001,48.389999,37961400,41.052105
"2",47.849998,50,46,46.27,60725400,39.560156
"3",46.98,46.990002,42.650002,43.919998,78857700,37.55094
"4",44.5,47.66,44.310001,45.709999,63040800,39.081364
"5",45.68,47.939999,44.369999,46.080002,65013600,39.723598
"6",46.360001,48.669998,45.68,46.25,51807700,39.870146
"7",46.93,48.509998,44.5,46.34,60788000,39.947731
"8",46.299999,52.5,45.810001,49.990002,81165700,43.445824
"9",50.25,52.450001,49.41,51.209999,44708900,44.506111
"10",51.419998,53.119999,49.16,50.869999,57024500,44.210621
"11",51.52,51.75,47.650002,48.549999,52246100,42.551627
"12",48.68,50.599998,48.48,50.380001,56336300,44.155531
"13",50.259998,50.400002,47.82,49.849998,54276500,43.69101
"14",49.549999,50.25,44.259998,44.73,57899200,39.544698
"15",44.939999,44.939999,38.759998,43.23,114336000,38.218584
"16",43.18,43.720001,38.349998,40.869999,62020600,36.132166
"17",40.16,44.830002,38.68,44.189999,58382700,39.482701
"18",43.150002,45.869999,42,45.57,54454100,40.715699
"19",45.369999,49.110001,44.560001,48.380001,46057800,43.608509
"20",49.110001,50.700001,47.5,47.990002,44203200,43.256973
"21",48.34,51.200001,48.330002,50.52,45242000,45.53745
"22",50.259998,53,50.200001,52.779999,53741300,47.574555
"23",52.360001,54.689999,51.080002,54.139999,51250100,49.267146
"24",54,54.580002,49.419998,50.32,51366900,45.790964
"25",49.560001,56.700001,49.029999,56.59,44276900,51.496635
"26",56.09,56.919998,54.25,55.48,34842200,50.936588
"27",55.720001,56.830002,53.970001,56.52,34264300,51.89142
"28",56.52,58.68,56,57.16,30821900,52.479008
"29",55.450001,57.09,53.599998,56.560001,41792700,52.386391
"30",56.630001,57.959999,53.68,57.130001,41468000,52.91433
"31",57.290001,59.34,56.07,57.560001,28994500,53.777805
"32",58.52,59.080002,52.639999,52.68,43724500,49.218463
"33",52.790001,55.360001,52.240002,54.57,41557500,50.984273
"34",54.299999,58.849998,53.759998,58.790001,46789300,54.926983
"35",58.32,61.68,55.849998,61.380001,37608900,57.888363
"36",61.25,68.620003,61.240002,66.639999,34346400,62.849143
"37",66.300003,68.489998,65.029999,66.120003,35817300,62.358727
"38",66,72.339996,64.480003,71.839996,41735700,68.32165
"39",72.339996,77.93,72.199997,75.410004,49147200,71.716817
"40",76.360001,81.260002,74.699997,77.07,29236700,73.811084
"41",77.169998,83.099998,73.809998,82.370003,44413400,78.886975
"42",82.459999,89.559998,82.459999,88.68,29608900,84.930154
"43",88.629997,91.389999,85.209999,90.699997,33603500,87.393812
"44",90.160004,95.5,87.639999,95.07,45893600,91.60452
"45",95.190002,99.480003,89.470001,97.910004,44549500,94.341
"46",96.900002,102.150002,96.040001,98.790001,40628500,95.776294
"47",99.449997,102.330002,94.5,95.480003,40570500,92.567272
"48",95.360001,99.690002,94.620003,97.57,33306300,94.59351
"49",97.089996,100.309998,92.099998,92.25,28924400,90.012687
"50",91.669998,97.010002,90.370003,90.769997,34000200,88.568578
"51",90.870003,97.239998,89.169998,96.339996,28015800,94.00349
"52",96.709999,103.510002,95.910004,101.620003,38498800,99.749897
"53",100.970001,104.970001,92.959999,103.879997,44297100,101.968301
"54",104,107.809998,102.379997,106.699997,33106600,104.736404
"55",106,111.470001,101.230003,108.169998,33833500,106.179353
"56",108.730003,110.269997,98.209999,100.050003,39986000,98.758911
"57",100,110.459999,99.540001,108.769997,31108800,107.366378
"58",108.769997,113.360001,104.910004,109.25,36962800,108.501481
"59",108.440002,110.480003,103.550003,104,32238700,103.287451
"60",104.18,108.190002,103.089996,103.260002,29727700,102.552523
"61",103.660004,104.400002,99.309998,100.959999,17989300,100.268278
