"","stock_data$X.Open","stock_data$X.High","stock_data$X.Low","stock_data$X.Close","stock_data$X.Volume","stock_data$X.Adjusted"
"1",42.77,46.259998,38.389999,38.549999,188279800,37.272337
"2",38.549999,49.700001,36.93,44.330002,289118000,42.860773
"3",45.5,51.389999,41.5,42.490002,266072900,41.124152
"4",44.029999,49.139999,41.799999,43.84,277423800,42.430754
"5",44.720001,46.650002,39.779999,42.720001,257020100,41.346758
"6",43.099998,49.150002,42.860001,48.610001,216131000,47.095927
"7",49.459999,59.5,49.349998,58.419998,195877100,56.600369
"8",59.290001,61.18,51.330002,57.669998,239651300,55.87373
"9",58.27,64.029999,54.669998,57.490002,199358700,55.747255
"10",57.689999,57.849998,52.110001,53.939999,237846200,52.304866
"11",54.290001,55.75,46.889999,47.709999,212335100,46.263723
"12",47.91,47.970001,43.860001,46.110001,157738700,44.761243
"13",45.82,46.68,40.950001,46.040001,172857300,44.693291
"14",45.990002,47.330002,39.049999,39.990002,161941400,38.82026
"15",40.959999,41.040001,25.440001,30.110001,266922200,29.27329
"16",30,30.190001,21.73,22.01,240346700,21.398376
"17",22.049999,28.09,18.85,25.360001,303362000,24.655285
"18",24.049999,28.49,22.219999,27.299999,298582500,26.588991
"19",26.969999,29.23,23.67,26.459999,215282500,25.770868
"20",27.42,31.23,26.639999,30.190001,232638300,29.403725
"21",30.780001,32.52,26.9,27.219999,201234100,26.552929
"22",27.51,32.049999,24.780001,29.370001,246609000,28.650241
"23",29.18,30.66,26.389999,28.33,210178000,27.635727
"24",28.27,29.25,19.950001,20.299999,226833800,19.839613
"25",19.66,21.559999,17.67,20.6,239667900,20.13281
"26",20.530001,22.120001,17.799999,20.65,161003100,20.181675
"27",20.799999,23.84,19.059999,19.450001,180440300,19.050107
"28",19.459999,23.309999,18.290001,19.07,220631200,18.677919
"29",19.35,23.33,18.74,20.389999,214451400,19.970779
"30",20.629999,22.469999,19.559999,21.559999,159390500,21.166764
"31",21.84,24.780001,21.27,23.85,155069000,23.414997
"32",25.18,26.290001,22.17,22.35,167458100,21.942356
"33",22.700001,24,20.139999,20.84,136953200,20.505833
"34",20.6,21.360001,19.190001,19.5,144940900,19.187319
"35",19.5,19.559999,15.8,17.799999,228146600,17.514578
"36",17.620001,19.700001,16.9,17.690001,176887000,17.452343
"37",17.93,18.459999,16.120001,17.530001,136754700,17.294492
"38",17.67,19.4,17.25,17.35,161401100,17.11691
"39",17.549999,19.5,16.860001,17.9,129084700,17.706488
"40",18.309999,21.68,18.02,20.59,144596200,20.367407
"41",20.57,25.709999,20.440001,24.889999,171465900,24.62092
"42",24.950001,28.41,24.889999,26.809999,155992800,26.570544
"43",26.709999,30.469999,25.790001,29.5,128141200,29.236518
"44",29.969999,31.15,24.459999,26.110001,171994200,25.876797
"45",26.15,27.309999,23.32,24.219999,142143500,24.050669
"46",23.9,28.139999,23.74,27.610001,124179700,27.41697
"47",27.77,28.799999,25.35,26.02,109107400,25.838086
"48",26.01,26.52,22.93,23.040001,104778700,22.878921
"49",23.120001,26.35,22.469999,26.040001,104920900,25.857947
"50",26.32,33.849998,25.67,33.490002,212468200,33.255862
"51",33.5,39.580002,33.169998,38.650002,147511800,38.434072
"52",38.619999,46.549999,37.84,39.169998,164811600,38.951163
"53",38.939999,42.25,30.57,40.040001,229473800,39.816305
"54",39.799999,39.830002,32.759998,33.349998,128131800,33.209675
"55",32.540001,32.900002,26,26.74,148157400,26.627488
"56",27.190001,27.49,20.129999,24.440001,228050600,24.337167
"57",24.440001,26.6,22.91,23.950001,165180700,23.900761
"58",23.950001,25.75,21.280001,24.4,190353600,24.349835
"59",24.25,27.68,23.459999,24.02,177289100,23.970617
"60",24.299999,27.09,23.190001,24.4,145518700,24.4
"61",24.370001,26.950001,23.860001,24.370001,55936400,24.370001
