"","stock_data$LYB.Open","stock_data$LYB.High","stock_data$LYB.Low","stock_data$LYB.Close","stock_data$LYB.Volume","stock_data$LYB.Adjusted"
"1",16.969999,18,16.15,16.15,18699300,11.814639
"2",16.24,18.34,14.86,18,37936200,13.168019
"3",18.15,20.799999,17.4,20.5,66317600,14.99691
"4",20.5,23.950001,20.49,23.9,55470900,17.484202
"5",23.92,28.27,23.709999,26.860001,118777200,19.649611
"6",26.76,29.969999,25.700001,29.209999,91598800,21.368767
"7",29.690001,34.540001,29.41,34.400002,108713100,25.165548
"8",34.75,37,33.57,35.939999,72125400,26.292143
"9",36.189999,40,34.360001,38.080002,98688900,27.857676
"10",38.369999,41.119999,36.759998,39.549999,72826400,28.933063
"11",39.990002,45.360001,39.560001,44.5,57936400,32.554268
"12",48.09,48.119999,37.73,43.810001,115748000,32.119903
"13",43.669998,44.209999,35.84,38.52,122380900,28.241467
"14",39.41,41.349998,36.200001,39.459999,79760000,28.930639
"15",40.959999,41.93,26.52,34.650002,148510200,25.554891
"16",34.580002,34.73,24.41,24.43,80711200,18.017488
"17",24.299999,35.5,22.9,32.860001,109979000,24.234739
"18",30.9,36.959999,28.290001,32.669998,122412100,27.940354
"19",32.450001,34.189999,30.370001,32.490002,64516300,27.786416
"20",33.299999,43.119999,33.110001,43.099998,100726100,36.8604
"21",43.48,46.389999,41.970001,43.18,96526000,36.92882
"22",43.439999,44.98,38.91,43.650002,71130700,37.562074
"23",43.619999,46.130001,40.720001,41.779999,68677500,35.952883
"24",42.380001,43.709999,36.779999,39.459999,102479500,34.306343
"25",37.23,41.990002,35.970001,40.27,67797500,35.010555
"26",40.59,44.990002,38.439999,44.529999,62658200,38.714178
"27",44.810001,49.959999,43.349998,48.84,73589900,42.823494
"28",47.799999,53.77,46.66,51.66,122079600,45.296104
"29",52.060001,56,50.470001,53.389999,82533500,46.812988
"30",53.540001,55.25,44.869999,49.73,103019100,46.585881
"31",49.889999,57.16,48.459999,57.09,91748000,53.480555
"32",58.41,64.199997,57.349998,63.419998,70449800,59.410346
"33",61.900002,63.299999,55.939999,58.619999,91913600,55.28077
"34",58.189999,65.690002,57.43,63.290001,77956000,59.684751
"35",63.09,63.27,55.02,60.700001,99337600,57.242287
"36",60.549999,68.089996,57.330002,66.650002,98822400,63.331107
"37",66.82,69.449997,63.669998,66.260002,89633200,62.960528
"38",67,71.330002,64.739998,68.709999,72939100,65.288525
"39",68.300003,71.040001,67.519997,70.150002,73050700,66.656821
"40",71.190002,75.669998,68.940002,73.230003,82911700,70.060901
"41",73.290001,79.339996,72.269997,74.599998,64257300,71.371608
"42",74.260002,79.339996,73.599998,77.18,67448100,74.416006
"43",77.440002,80.330002,74.510002,80.279999,59512700,77.404986
"44",80.050003,82.970001,74.370003,78.760002,83772900,75.939424
"45",78.989998,89.190002,76.32,88.080002,68427600,85.512563
"46",87.279999,91.940002,87.040001,88.940002,65745500,86.347496
"47",89.150002,93.989998,85.400002,92.5,72773800,90.489997
"48",92.790001,100.489998,91.870003,99.57,55040700,97.406367
"49",99.93,102.629997,96.360001,97.650002,65868400,95.52809
"50",98.300003,110.379997,97.089996,106.25,54425100,103.941212
"51",106.25,114.379997,105.639999,114.349998,49850900,112.567683
"52",115.07,115.400002,107.669998,108.660004,54049500,106.966375
"53",107.769997,107.790001,81.150002,91.629997,169779400,90.201807
"54",91.889999,94.330002,78.580002,78.860001,98433700,78.243836
"55",76.209999,83.440002,70.059998,79.389999,139993300,78.769694
"56",79.940002,82.970001,71.739998,79.089996,104369200,78.472035
"57",79.25,91.989998,79.25,85.910004,96840100,85.910004
"58",85.910004,88.589996,81.760002,87.800003,84258800,87.800003
"59",88.330002,105.230003,87.029999,103.519997,86428500,103.519997
"60",104.309998,107.32,99.639999,101.099998,60648200,101.099998
"61",101.790001,104.910004,98.620003,104.059998,28205200,104.059998
