"","stock_data$APH.Open","stock_data$APH.High","stock_data$APH.Low","stock_data$APH.Close","stock_data$APH.Volume","stock_data$APH.Adjusted"
"1",39.799999,43.580002,39.080002,39.279999,28149000,19.05632
"2",39.09,46.32,38.360001,44.799999,52434800,21.734295
"3",45.57,46,39.610001,40.720001,55623200,19.754923
"4",41.400002,49.98,41.400002,48.98,50768600,23.769952
"5",49.5,50.439999,47.369999,50.130001,48183200,24.328046
"6",50.279999,53.040001,48.529999,50.029999,34321000,24.279515
"7",50.959999,54.07,50.740002,52.779999,26965800,25.621299
"8",53.240002,56.830002,50.540001,55.34,57056800,26.864015
"9",55.669998,58.810001,55.599998,57.48,43993800,27.902847
"10",57.41,59.110001,53.43,54.389999,57919200,26.40989
"11",54.580002,56.349998,51.25,55.91,58260200,27.147949
"12",56.119999,57.34,52.360001,54.060001,37704400,26.249655
"13",54.209999,54.48,49.41,53.990002,52541200,26.223324
"14",53.82,55.759998,48.450001,48.889999,49180600,23.746217
"15",49.330002,49.439999,41.099998,46.98,97688000,22.818517
"16",46.849998,47.360001,40.02,40.77,67529400,19.80919
"17",40.380001,50.509998,38.98,47.490002,81167400,23.074281
"18",45.73,48.360001,41.490002,45.330002,60903600,22.024788
"19",45.279999,46.389999,40.990002,45.389999,51125000,22.061297
"20",46.540001,55.5,45,54.43,51433000,26.455087
"21",55.23,56.959999,54.240002,55.959999,31108800,27.198726
"22",56.139999,60.119999,54.669998,59.77,28848000,29.104309
"23",59.830002,61.84,56.200001,58.139999,43431000,28.310599
"24",58.16,58.650002,51.049999,53.189999,35934200,25.900254
"25",52.099998,57.59,51.299999,54.919998,34602600,26.793939
"26",54.889999,60.459999,50.889999,58.880001,45470400,28.725915
"27",59.25,62.82,57.5,60.869999,28183400,29.696779
"28",61.150002,63.700001,58.599998,58.880001,25083400,28.774622
"29",59.18,62,57.419998,60.130001,40908000,29.385496
"30",60.060001,62.75,58.240002,61.919998,22793200,30.260266
"31",62.450001,65.260002,60.200001,64.699997,18134000,31.672811
"32",65.889999,69.230003,65.769997,67.57,31789200,33.077773
"33",68.120003,71.309998,67.330002,70.860001,27552600,34.688339
"34",70.580002,74.709999,70.18,74.650002,22530800,36.596137
"35",74.769997,75.860001,70.089996,75.519997,26348800,37.02264
"36",75.5,83.370003,75.160004,77.900002,29564600,38.189405
"37",78.18,79.68,74.879997,77.940002,26320800,38.260706
"38",78.589996,85.660004,75.080002,78.559998,38760200,38.565061
"39",79.279999,80.779999,74.059998,75.769997,22497600,37.195451
"40",76.25,78.790001,74.739998,77.379997,21130400,38.087162
"41",77.389999,82.949997,74.169998,80.290001,30497200,39.519494
"42",80.580002,85.620003,79.459999,85,20322000,41.837799
"43",85.029999,89.459999,84.339996,89.18,18720600,43.997424
"44",88.730003,92.419998,84.989998,86.879997,28317400,42.862705
"45",86.800003,89.730003,84.110001,88.019997,20137600,43.42513
"46",87.510002,93.620003,86.760002,91.650002,26852600,45.316259
"47",91.93,96.489998,90.300003,95.349998,27914600,47.145719
"48",95.489998,96.980003,94.129997,95.800003,23252400,47.368223
"49",95.949997,98.75,94.93,96.339996,17771000,47.733046
"50",96.940002,99.779999,94.470001,96.169998,21563200,47.648818
"51",95.760002,104.93,95.760002,103.010002,25986200,51.037797
"52",103.669998,105.940002,99.699997,99.860001,24915200,49.596167
"53",99.5,99.860001,45.27,50.580002,37133500,50.241822
"54",50.66,53.759998,49.720001,53.630001,21826000,53.271429
"55",53.41,55.66,51.169998,53.810001,25998700,53.57611
"56",54.029999,55.310001,51.189999,53.709999,23264700,53.476543
"57",53.959999,57.389999,53.049999,56.459999,15157400,56.21459
"58",56.459999,60.540001,56.32,58.93,26347700,58.801084
"59",58.66,59.610001,54.950001,55.369999,21805400,55.248871
"60",55.77,58.490002,55.419998,57.049999,16075600,56.925196
"61",57.110001,58.16,56.52,57.389999,5872800,57.389999
