"","stock_data$CL.Open","stock_data$CL.High","stock_data$CL.Low","stock_data$CL.Close","stock_data$CL.Volume","stock_data$CL.Adjusted"
"1",79.18,81.949997,77.419998,78.760002,73022800,34.953335
"2",78.620003,84.709999,76.660004,78.980003,136625000,35.276148
"3",79.57,79.57,73.120003,73.839996,133424000,32.980381
"4",74.739998,79.190002,74.120003,76.860001,131453000,34.329256
"5",77.110001,77.550003,73.620003,77.120003,146941200,34.683559
"6",76.93,79.110001,76.260002,76.550003,108222200,34.42721
"7",77.080002,81.32,76.919998,80.370003,97142600,36.145197
"8",80.339996,80.620003,76.400002,76.769997,125940000,34.759373
"9",77.010002,79.68,74.860001,78.519997,137726200,35.551725
"10",78.300003,81.360001,76.389999,80.760002,130333600,36.565939
"11",81,85,79.800003,84.349998,111984200,38.465912
"12",84.410004,87.580002,84,87.529999,98483400,39.916079
"13",87.050003,89.360001,83.610001,87.410004,122978000,39.861358
"14",87.32,89.43,84.339996,84.379997,83664800,38.732005
"15",84.970001,90.989998,78.620003,89.970001,161796400,41.297922
"16",90,94.889999,85.730003,88.68,135936600,40.705787
"17",88.360001,93.919998,86.389999,90.370003,107061600,41.745801
"18",88.93,91.639999,86.190002,91.5,95131600,42.267795
"19",91.209999,93.849998,89.129997,92.389999,78398000,42.678925
"20",91.389999,92.139999,87.220001,90.720001,136240800,42.179394
"21",91.089996,93.900002,90.769997,93.18,72865000,43.323147
"22",93,97.93,92.5,97.779999,82122200,45.461872
"23",97.68,99.839996,95.870003,98.940002,112798600,46.293544
"24",98.970001,101.940002,97.709999,98.300003,99108600,45.994092
"25",97.709999,104.330002,96.209999,104.099998,78887400,48.707881
"26",103.410004,108.5,101.519997,107.360001,71470400,50.529837
"27",107.809998,109.839996,104.5,106.309998,64602600,50.035645
"28",106.160004,108,102.5,107.220001,90476400,50.463945
"29",106.839996,110.970001,103.050003,104.959999,68836000,49.678695
"30",104.68,108.75,103.160004,108.5,55695400,51.354215
"31",108.629997,109,102.82,104.540001,59462800,49.479905
"32",105.610001,111.370003,105.230003,107.370003,60128800,51.110065
"33",108.839996,115.709999,107.370003,114.43,82093000,54.470751
"34",114.089996,118.449997,111.32,118.029999,68450400,56.184416
"35",117.870003,122.400002,116.019997,119.410004,65934400,57.169189
"36",119.440002,124.739998,57.830002,57.84,66651700,55.383399
"37",57.91,59.919998,55.470001,57.290001,75494900,54.856759
"38",57.599998,60.68,57.110001,59.869999,70012200,57.66059
"39",60.27,61.5,56.939999,57.77,57447000,55.638089
"40",58.349998,61.279999,57.259998,59.299999,56226400,57.111625
"41",59.23,66.040001,58.720001,64.730003,80995700,62.677317
"42",64.82,66.489998,64,65.809998,53964600,63.723063
"43",65.639999,65.989998,62.799999,65.209999,53782000,63.142091
"44",64.889999,65.459999,60,61.23,75954700,59.601314
"45",61.220001,63.150002,59.75,62.830002,72438400,61.158757
"46",62.23,65.919998,62,64.870003,64729700,63.144495
"47",64.870003,67.949997,63.869999,67.300003,78204100,65.862801
"48",67.18,68.470001,66.099998,68.400002,58331300,66.939309
"49",68.129997,69.470001,66.980003,68.18,54575600,66.724006
"50",68.5,70.110001,63.400002,63.400002,55878500,62.368402
"51",63.060001,65.699997,62.889999,64.730003,69051100,63.676762
"52",64.440002,66.360001,63.360001,65.220001,72310400,64.158787
"53",65.220001,67.120003,62.529999,66.879997,86218600,66.161564
"54",66.800003,69.900002,66.709999,69.589996,44724600,68.842452
"55",68.669998,71.309998,67.25,69.190002,62211300,68.446755
"56",69.169998,69.459999,64.870003,67.519997,77661700,67.145215
"57",67.360001,71.290001,66.980003,70.82,51724100,70.4269
"58",70.82,71.559998,66.879997,69.339996,66453100,68.955112
"59",69.339996,70.440002,66.779999,67.279999,54188000,67.279999
"60",67.279999,69.279999,66.739998,66.790001,54173100,66.790001
"61",66.709999,67.470001,64.830002,67.07,31148600,67.07
