"","stock_data$NOV.Open","stock_data$NOV.High","stock_data$NOV.Low","stock_data$NOV.Close","stock_data$NOV.Volume","stock_data$NOV.Adjusted"
"1",36.110005,38.909995,32.750001,33.070002,114178100,27.801817
"2",32.909996,39.289995,32.179996,39.159996,115761800,32.92165
"3",39.810004,42.030001,36.250005,37.629998,103041700,31.635387
"4",38.279993,45.240002,38.139993,44.47,89584400,37.480514
"5",45.019999,55,43.360002,53.759994,133634200,45.310371
"6",54.660003,63.879996,53.900003,61.290004,136673900,51.656866
"7",61.999996,67.719994,60.879996,67.250003,89458100,56.782026
"8",68.139998,74.139997,63.459996,73.9,98980600,62.396901
"9",74.259999,81.980008,72.449988,79.569995,100582300,67.184317
"10",80.680001,82.799998,72.349996,79.270001,103068100,67.023387
"11",79.999999,81.990001,73.340001,76.689998,88577900,64.841974
"12",77.019994,77.809997,65.08999,72.58,140965700,61.36694
"13",72.289999,78.389998,68.050003,78.209991,94486300,66.229432
"14",77.589994,86.710003,76.050008,80.57,90017600,68.227925
"15",81.930004,82.280002,59.990001,66.119998,157156200,55.991439
"16",66.339989,66.919998,49.570002,51.219994,130204500,43.448939
"17",50.619991,76.050008,47.970006,71.329998,141855500,60.50787
"18",66.730002,73.150001,62.900005,71.699997,111044600,60.929816
"19",71.349999,74.000001,63.630003,67.989993,85241600,57.777098
"20",69.949996,78.449995,69.300001,73.979999,79621900,62.867335
"21",74.46,87.72,73.42,82.52999,93981100,70.133017
"22",82.969996,84.689999,76.59999,79.469994,86153600,67.631816
"23",78.050002,81.610001,74.489994,75.759999,74011700,64.474476
"24",75.819996,77.099992,63.149998,66.75,128410200,56.806644
"25",64.659998,70.62999,59.069994,64.439995,109195900,54.939268
"26",64.239998,74.36,63.630003,72.3,86001000,61.640431
"27",72.660007,79.019996,71.580003,78.800001,72962300,67.182103
"28",78.550004,89.94999,77.160006,80.110001,71437200,68.397698
"29",80.839999,82.469993,72.919997,73.699991,67756800,62.924849
"30",73.309998,74.069999,67.999998,68.300004,86412200,58.314356
"31",69.369999,69.699995,64.819996,68.349996,100769100,58.467528
"32",70.080004,74.999989,68.860004,74.139997,69424300,63.420374
"33",72.980002,72.980002,65.999992,68.129993,113961900,58.279335
"34",67.779991,71.309996,65.559999,70.749996,88246500,60.637077
"35",70.759997,71.089993,63.079995,65.219998,95028800,55.89753
"36",64.679996,71.899998,63.249994,70.299998,100673200,60.251401
"37",70.56,71.99999,66.009997,68.899995,72642600,59.274322
"38",69.429996,74.37,68.069996,70.169999,79152800,60.3669
"39",70.889996,74.869995,70.380001,74.300003,67184900,63.919922
"40",75.089998,80.269998,75.089998,78.109999,62878900,67.42058
"41",77.999997,83.069997,77.459999,81.179996,73354500,70.070445
"42",81.199989,84.71,79.799998,81.499999,56642500,70.346656
"43",81.739995,82.660002,76.59999,79.529991,63728900,68.862959
"44",79.399996,80.320003,72.669991,75.009999,95435900,64.949215
"45",75.189998,77.400002,73.099996,77.039995,99123300,66.706936
"46",76.579996,79.120005,73.099996,77.869994,91342300,67.650884
"47",77.820006,83.819988,76.940003,78.529994,95080200,68.224271
"48",78.620002,83.220002,78.249994,81.870007,69791400,71.125964
"49",74.699997,82.75,73.790001,82.349998,70980600,79.80906
"50",82.660004,86.410004,80.900002,81.040001,68442100,78.539483
"51",80.529999,86.459999,80.300003,86.43,53795400,83.763172
"52",86.5,86.550003,75.230003,76.099998,74794000,74.169251
"53",76.199997,76.730003,67.25,72.639999,114324600,70.797036
"54",71.970001,74.650002,65.610001,67.040001,88686400,65.339116
"55",66.089996,67.919998,60.880001,65.529999,110824200,64.311618
"56",64.970001,66.019997,52.139999,54.43,127938500,53.417999
"57",55.16,57.66,49.25,54.349998,155087400,53.339484
"58",54.349998,56.169998,46.080002,49.990002,154640000,49.509932
"59",50.189999,56.639999,49.599998,54.41,126656500,53.887483
"60",54.349998,56.130001,49.080002,49.189999,93370000,48.717611
"61",49.16,50.700001,47.84,49.200001,28339400,49.200001
