"","stock_data$XYL.Open","stock_data$XYL.High","stock_data$XYL.Low","stock_data$XYL.Close","stock_data$XYL.Volume","stock_data$XYL.Adjusted"
"1",23.5,26.74,23,26.74,22514200,25.212277
"2",25.6,28.280001,22.67,23.9,38867400,22.630611
"3",23.809999,26.459999,22.93,25.690001,27639200,24.32554
"4",26.02,27.290001,24.82,25.91,18576800,24.533855
"5",26.02,28.120001,25.91,25.98,21314300,24.600137
"6",26.030001,28.870001,25.389999,27.75,21309100,26.378679
"7",27.709999,28.549999,26.5,27.879999,14242600,26.502254
"8",27.91,28.32,24.42,25.33,19062100,24.174508
"9",24.709999,26.629999,23.02,25.17,25124900,24.021807
"10",25.27,25.700001,23,23.98,17424100,22.886091
"11",24.059999,25.709999,22.43,24.290001,17330500,23.27591
"12",24.23,26,23.809999,25.15,20743800,24.100005
"13",25.25,25.5,23.41,24.26,22262400,23.34116
"14",24.34,26.309999,23.92,26.09,20322200,25.101849
"15",26.25,27.67,25.58,27.1,14561500,26.073596
"16",27.629999,28.26,26.389999,27.93,16767000,26.87216
"17",28,28.85,26.799999,27.5,18680000,26.566691
"18",27.32,29.49,26.940001,27.559999,21475300,26.624654
"19",27.559999,28.860001,26.379999,27.75,22214000,26.808206
"20",27.610001,29.190001,27.120001,28.139999,22610800,27.294411
"21",28.219999,28.469999,25.559999,26.940001,18978500,26.130472
"22",27.120001,29.790001,23.610001,24.93,32947800,24.180871
"23",25.18,25.48,24.139999,24.780001,38775800,24.147648
"24",25.030001,28.4,24.950001,27.93,38463000,27.217264
"25",27.959999,34.66,26.99,34.5,38044500,33.760325
"26",34.529999,34.93,32.98,34.560001,26021300,33.81904
"27",34.68,34.880001,32.790001,34.599998,21524700,33.85818
"28",34.389999,37.049999,32.619999,33.360001,25899900,32.644767
"29",33.360001,39.790001,32.630001,39.349998,26623400,38.637035
"30",39.139999,39.240002,35.34,36.419998,24437500,35.760122
"31",36.470001,37.93,34.5,37.59,25314000,36.908926
"32",37.529999,38.91,36.330002,37.299999,20804600,36.751665
"33",37.389999,40,36.830002,39.080002,23165400,38.5055
"34",39.330002,39.43,35.259998,35.290001,21178300,34.771215
"35",35.18,38.130001,34.77,37.259998,15835000,36.712252
"36",37.5,38.34,35.380001,35.490002,15051600,35.087185
"37",35.450001,36.740002,31.799999,36.360001,27654900,36.077982
"38",36.34,38.689999,35.790001,38.34,15070800,38.042624
"39",38.110001,39.23,35.689999,38.07,14342500,37.774718
"40",38.400002,38.59,33.540001,34.099998,20129800,33.835509
"41",34.25,36.279999,33.810001,35.700001,21383600,35.563918
"42",35.700001,36.380001,34.189999,35.02,21760500,34.88651
"43",35.48,37.48,34.799999,37.02,21440000,36.878886
"44",37.290001,37.48,36.16,36.57,17794800,36.57
"45",36.73,37.07,36.040001,36.52,4944700,36.52
