"","stock_data$MRK.Open","stock_data$MRK.High","stock_data$MRK.Low","stock_data$MRK.Close","stock_data$MRK.Volume","stock_data$MRK.Adjusted"
"1",34.139999,36.25,33.990002,34.970001,280341600,28.897228
"2",34.830002,36.799999,33.650002,34.459999,302902600,28.475791
"3",34.860001,35.990002,34.02,35.16,237706200,29.054232
"4",35.380001,37.580002,34.52,36.810001,271490900,30.736385
"5",36.759998,37.68,36.02,36.310001,215040400,30.318885
"6",36.439999,36.950001,33.939999,34.470001,344612500,28.782483
"7",34.75,36.990002,34.669998,36.040001,281068400,30.414566
"8",36.290001,37.619999,33,33.169998,477954200,27.992538
"9",33.34,34.040001,31.85,32.57,308279300,27.486192
"10",32.599998,33.48,31.059999,33.009998,403814500,28.183031
"11",33.049999,36.25,33,35.950001,308624500,30.693125
"12",36.439999,37.650002,36.07,36.75,294946000,31.376142
"13",36.599998,36.75,34.369999,35.290001,256501900,30.456103
"14",35.169998,36.560001,34.049999,34.130001,240770100,29.454996
"15",34.25,34.290001,29.469999,33.099998,509896300,28.566079
"16",33.049999,33.490002,30.709999,32.700001,369272200,28.560022
"17",32.59,35.5,30.540001,34.5,366412200,30.132133
"18",33.810001,36.25,33.130001,35.75,330471300,31.223876
"19",35.73,37.900002,34.860001,37.700001,374356600,33.322235
"20",37.880001,39.43,37.810001,38.27,283497600,33.826045
"21",38.549999,39.009998,37.779999,38.169998,249387800,33.737655
"22",38.150002,39,36.91,38.400002,370644100,34.319274
"23",38.299999,39.459999,37.77,39.240002,261500900,35.070008
"24",38.939999,39.5,37.02,37.580002,257387500,33.586415
"25",37.18,41.75,37.02,41.75,398750800,37.721066
"26",41.25,45.169998,41.060001,44.169998,350865700,39.907531
"27",44.450001,44.790001,42.610001,43.049999,234490400,38.895614
"28",43.139999,45.700001,42.869999,45.099998,222406300,41.135771
"29",44.970001,48,44.970001,45.630001,214635900,41.619187
"30",45.75,46.549999,42.360001,44.299999,240683900,40.406091
"31",44.470001,45.490002,40.02,40.939999,263124000,37.699602
"32",41.860001,43.77,40.939999,43.25,290067700,39.826767
"33",42.240002,43.450001,40.830002,42.73,323510800,39.347924
"34",42.330002,45.419998,42.330002,44.200001,385637800,41.093901
"35",44,48.790001,43.77,47,308632200,43.697133
"36",44.799999,48.639999,44.599998,46.700001,427841200,43.418216
"37",48.93,50.16,46.060001,46.450001,472136600,43.582408
"38",46.259998,49.080002,46.029999,48.169998,253298600,45.196222
"39",48.439999,48.849998,46.470001,47.290001,214828900,44.370551
"40",47.52,48.709999,47.009998,47.610001,293099200,45.073405
"41",48.919998,49.23,45.080002,45.09,356726300,42.687667
"42",44.869999,49.950001,44.619999,49.830002,258884700,47.175128
"43",49.740002,50.419998,47.610001,50.049999,211085000,47.813184
"44",49.880001,54.099998,49.299999,52.970001,313826100,50.602686
"45",52.91,57.459999,51.919998,56.990002,237342400,54.443026
"46",56.099998,57.650002,53.57,56.77,236574500,54.656175
"47",56.650002,59,54.700001,58.560001,231378100,56.379525
"48",58.549999,59.84,54.400002,57.860001,207700100,55.705589
"49",57.91,59.32,57.240002,57.849998,184139900,56.115804
"50",57.700001,59.650002,56.720001,56.740002,169185300,55.039082
"51",56.580002,60.580002,55.57,60.110001,163279900,58.308057
"52",59.73,61.330002,58.549999,59.279999,192370800,57.922389
"53",59.09,60.509998,52.490002,57.939999,301221500,56.613077
"54",57.950001,60.869999,57.57,60.400002,179362300,59.016742
"55",60.400002,62.200001,56.560001,56.790001,229003900,55.908872
"56",57.220001,63.619999,57.029999,60.279999,231751100,59.34472
"57",60.5,61.060001,57.73,58.540001,199210600,57.63172
"58",58.540001,59.709999,55.639999,57.48,269546900,57.04608
"59",57.259998,60.48,56.220001,59.560001,257490300,59.11038
"60",59.759998,61.380001,58.849998,60.889999,194743500,60.430338
"61",60.849998,61.700001,58.709999,59.610001,75891100,59.160002
