"","stock_data$JEC.Open","stock_data$JEC.High","stock_data$JEC.Low","stock_data$JEC.Close","stock_data$JEC.Volume","stock_data$JEC.Adjusted"
"1",40.650002,42.84,36.369999,36.439999,19668800,36.439999
"2",35.98,40,34.91,36.57,31394900,36.57
"3",37.25,37.720001,34.389999,34.68,28594400,34.68
"4",35.240002,39.279999,35.240002,38.700001,23495600,38.700001
"5",39.040001,40.82,37.75,38.610001,22218400,38.610001
"6",38.830002,43.220001,37.389999,38.5,28593300,38.5
"7",39.200001,47.970001,39.130001,45.849998,23889300,45.849998
"8",46.209999,55.73,44.919998,51.369999,33749500,51.369999
"9",52.099998,53.18,47.169998,50.060001,20482800,50.060001
"10",50.200001,51.490002,46.880001,51.43,31182500,51.43
"11",51.84,52.490002,47.52,49.610001,27296300,49.610001
"12",49.880001,50.189999,43.82,46.060001,31133400,46.060001
"13",45.849998,46.060001,40.529999,43.25,23984100,43.25
"14",43.25,43.959999,38.5,39.139999,23297200,39.139999
"15",39.650002,39.830002,31.690001,37.240002,49571900,37.240002
"16",37.169998,37.630001,31.950001,32.290001,29439800,32.290001
"17",32.040001,41.68,30.74,38.799999,32343500,38.799999
"18",37.459999,42.619999,37.110001,41.540001,36852900,41.540001
"19",41.369999,43.099998,38.389999,40.580002,26933000,40.580002
"20",41.59,46.439999,40.529999,44.759998,22924300,44.759998
"21",45.27,48.169998,44.439999,46.220001,19228000,46.220001
"22",46.529999,47.549999,44.029999,44.369999,22703800,44.369999
"23",44.209999,45,41.889999,43.830002,18886100,43.830002
"24",41.130001,42.07,35.16,35.52,29440700,35.52
"25",34.779999,37.860001,33.610001,37.860001,22585900,37.860001
"26",37.93,40.560001,36.07,38.57,16873100,38.57
"27",38.869999,41.790001,37.650002,39.540001,15600800,39.540001
"28",39.5,43.900002,38.799999,40.43,14935400,40.43
"29",40.540001,41.759998,38.279999,38.59,14334000,38.59
"30",38.700001,41.25,38.470001,40.939999,20402800,40.939999
"31",41.279999,43.560001,40.32,42.57,15570800,42.57
"32",43.509998,49.41,43.299999,48.110001,17836300,48.110001
"33",48.650002,50.48,46.919998,48.84,16601400,48.84
"34",48.240002,56.529999,47.34,56.240002,21539600,56.240002
"35",56.110001,56.330002,48.860001,50.48,23383200,50.48
"36",50.450001,57.810001,48.990002,57.009998,19593100,57.009998
"37",57.16,57.970001,54.580002,55.130001,17982900,55.130001
"38",55.48,60.84,53.990002,59.200001,14696400,59.200001
"39",60.049999,62.330002,57.73,58.279999,17300400,58.279999
"40",59.330002,60.470001,57.169998,58.18,19198600,58.18
"41",58.200001,61.200001,55.799999,60.82,14927600,60.82
"42",60.790001,64.269997,58.860001,59.77,18236300,59.77
"43",59.700001,63.060001,56.43,62.990002,16229200,62.990002
"44",63.669998,66.879997,60.459999,60.709999,21247300,60.709999
"45",60.73,62.02,58.200001,60.650002,18031600,60.650002
"46",59.900002,65.580002,59.360001,63.5,19399600,63.5
"47",63.82,65.019997,55.5,57.700001,19854100,57.700001
"48",57.68,58.5,52.57,55.07,31810100,55.07
"49",55.049999,57.18,52.84,53.279999,20102800,53.279999
"50",53.330002,55,50.73,50.810001,23620400,50.810001
"51",50.580002,54.740002,49.57,53.91,16898100,53.91
"52",54.07,54.700001,48.59,48.82,22310400,48.82
"53",48.810001,48.810001,45.040001,47.450001,35693700,47.450001
"54",47.43,49.900002,45.900002,46.450001,26762000,46.450001
"55",46.25,47.959999,39.779999,44.689999,36168600,44.689999
"56",44.810001,45.029999,37.869999,38.099998,29058300,38.099998
"57",38.400002,44.880001,38.220001,44.34,27288400,44.34
"58",44.34,45.43,42.639999,45.16,25840900,45.16
"59",45.189999,48.25,41.68,42.860001,26552000,42.860001
"60",42.75,44.66,42.5,43.259998,20609000,43.259998
"61",43.380001,44.560001,42.560001,43.669998,10460700,43.669998
