"","stock_data$MAT.Open","stock_data$MAT.High","stock_data$MAT.Low","stock_data$MAT.Close","stock_data$MAT.Volume","stock_data$MAT.Adjusted"
"1",20.969999,22.959999,20.9,21.16,88941500,17.156601
"2",21.24,23.17,20.57,21.16,124748800,17.156601
"3",21.42,22.540001,20.6,20.99,93115500,17.018765
"4",21.27,23.84,21.110001,23.459999,93175400,19.021449
"5",23.68,24.440001,22.01,23.33,125794500,18.916045
"6",23.49,26.049999,23.219999,25.84,128286900,20.951162
"7",25.360001,26.700001,25.040001,25.43,81894900,21.303001
"8",25.67,25.93,23.4,23.68,81056000,19.837006
"9",23.879999,25.889999,23.77,25.059999,72487900,21.183817
"10",25.049999,25.790001,24.18,24.93,79585300,21.073926
"11",25.049999,27.73,25.02,26.719999,91663700,22.587055
"12",26.84,27.049999,25.940001,26.4,68199400,22.510535
"13",26.42,27.610001,25.17,27.49,74518100,23.439948
"14",27.549999,28.49,26.139999,26.66,78907800,22.73223
"15",26.790001,27.49,22.700001,26.870001,110102800,23.119659
"16",27,27.290001,25.24,25.889999,94298000,22.27644
"17",26.01,29.4,24.66,28.24,91256600,24.298442
"18",27.82,29.200001,27.219999,28.809999,57625700,24.997576
"19",28.700001,29.299999,27.129999,27.76,51638900,24.086523
"20",28.309999,31.49,27.73,31,69314300,26.897774
"21",30.440001,32.790001,30.32,32.439999,81873100,28.41879
"22",32.619999,34.619999,32.189999,33.66,46658400,29.487562
"23",33.619999,34.560001,30.549999,33.599998,74332100,29.434998
"24",33.669998,34.07,30.58,31.129999,76502500,27.545481
"25",30.75,32.77,30.15,32.439999,47254400,28.704638
"26",32.560001,35.5,30.74,35.169998,68907100,31.120287
"27",35.150002,35.880001,34.150002,35.139999,37975700,31.366495
"28",35.119999,36.25,34.580002,35.470001,44273500,31.66106
"29",35.700001,37.959999,35.07,36.779999,46496100,32.830384
"30",37,37.59,34.849998,37.509998,36102400,33.765893
"31",37.75,37.93,35.549999,36.619999,39444500,32.96473
"32",37.18,38.48,35.470001,37.630001,62142200,33.873917
"33",37.009998,41.310001,36.75,40.75,58261400,37.005843
"34",40.59,43.990002,40.18,43.77,45361500,39.748362
"35",43.73,45.720001,41.91,45.66,58851600,41.464706
"36",45.700001,48.48,44.66,44.75,35424700,40.957675
"37",44.700001,45.790001,43.779999,45.310001,38477900,41.470219
"38",45.459999,47.41,41.900002,42.029999,65301700,38.468179
"39",42.25,43.139999,40.040001,40.5,47468100,37.390402
"40",41,43.900002,40.400002,41.880001,38583100,38.664446
"41",41.799999,45.18,40,44.380001,68776000,40.972496
"42",44.650002,46.5,43.790001,46.27,40929900,43.056485
"43",46.110001,47.939999,44.240002,47.580002,42057000,44.275504
"44",47.57,47.720001,37.189999,37.84,88552500,35.211959
"45",37.41,37.52,34.98,37.310001,102209400,35.082516
"46",37.459999,40.150002,36.84,40.110001,76675600,37.715349
"47",40.119999,40.790001,36.799999,39.220001,87545100,36.878485
"48",39.549999,39.799999,38.040001,38.830002,44000400,36.875452
"49",38.869999,39.549999,38.279999,38.970001,41913300,37.008405
"50",38.970001,40,35.09,35.419998,78388500,33.637095
"51",35.400002,35.98,34.400002,34.490002,50830900,33.113532
"52",34.529999,35.150002,29.959999,30.65,72771200,29.426781
"53",30.620001,32.169998,28.67,31.07,124141600,29.83002
"54",31.17,31.91,30.65,31.549999,59671200,30.661334
"55",31.360001,31.530001,28.9,30.950001,108452300,30.078235
"56",31.16,31.25,24.879999,26.9,138611800,26.14231
"57",27.059999,28.450001,25.16,26.32,92618000,25.935471
"58",26.51,27.129999,22.440001,22.85,119545900,22.516167
"59",22.85,30.440001,22.32,28.16,194974400,27.748589
"60",28.15,28.379999,25.360001,25.809999,84174600,25.809999
"61",25.84,26.57,25.23,26.35,23885200,26.35
