"","stock_data$D.Open","stock_data$D.High","stock_data$D.Low","stock_data$D.Close","stock_data$D.Volume","stock_data$D.Adjusted"
"1",40.369999,42.540001,38.610001,38.740002,45642700,31.913705
"2",38.93,43.419998,38.59,41.990002,63352100,34.591029
"3",42.419998,44.939999,42.200001,42.73,72391000,35.567439
"4",43.169998,44.669998,42.950001,43.66,62987900,36.341549
"5",43.939999,45.119999,43.200001,43.459999,54287200,36.175073
"6",43.669998,43.669998,41.130001,41.529999,67657600,34.945263
"7",41.93,45,41.32,42.720001,49428700,35.946586
"8",42.93,44,42.060001,43.540001,41335400,36.636572
"9",43.700001,45.630001,43.18,45.630001,59793800,38.395195
"10",45.720001,46.560001,42.91,44.700001,66560500,38.024014
"11",44.740002,46.5,43.27,46.419998,44245800,39.487128
"12",46.5,48.549999,46.240002,47.720001,45448500,41.015022
"13",47.689999,48.52,46.549999,48.27,53942300,41.487743
"14",48.380001,50.450001,47.810001,48.450001,38995900,41.642452
"15",48.830002,50.669998,44.5,48.740002,114752700,42.316595
"16",48.700001,51.439999,46.700001,50.77,70681600,44.079062
"17",50.580002,52.349998,48.209999,51.59,59512700,44.790995
"18",50.5,52.68,49.060001,51.619999,57454900,45.255803
"19",51.43,53.59,50,53.080002,51845000,46.535803
"20",53.470001,53.68,48.869999,50.040001,60164900,43.870602
"21",50.110001,51.650002,49.560001,50.470001,68018800,44.708192
"22",50.439999,51.470001,50.130001,51.209999,42940800,45.36371
"23",51.169998,52.240002,49.869999,52.189999,52726800,46.23183
"24",52.25,52.740002,51.57,52.060001,55975100,46.585189
"25",51.700001,54.689999,51.279999,54,47425400,48.32117
"26",54,55.169998,52.599998,54.310001,31654700,48.598571
"27",54.349998,55.619999,52.290001,52.48,41633100,47.425159
"28",52.349998,53.849998,52.150002,52.939999,34720000,47.840851
"29",53.130001,53.889999,51.02,52.779999,42585300,47.696262
"30",52.880001,52.91,48.939999,51.110001,50643300,46.673803
"31",51.16,52.400002,50.360001,51.799999,40529600,47.303912
"32",52.360001,54.540001,51.919998,54.110001,42139300,49.413412
"33",54.32,57.189999,53.900002,56,37739200,51.661453
"34",55.830002,58.25,55.450001,58.18,42641500,53.67256
"35",58.169998,61.720001,57.939999,61.68,43714800,56.9014
"36",61.759998,61.849998,56.549999,56.549999,60375800,52.168841
"37",56.459999,57.25,53.790001,56.82,77562600,52.953546
"38",57.139999,60.380001,55.509998,59.310001,45608200,55.27411
"39",59.68,60.439999,57.029999,58.349998,64278700,54.379433
"40",58.889999,64.040001,56.580002,62.48,62634100,58.80135
"41",62.919998,65.029999,61.360001,63.75,46715200,59.996577
"42",63.959999,67.970001,63.639999,64.910004,69247800,61.088282
"43",64.800003,65.07,63,64.690002,42672500,61.414907
"44",64.610001,68.470001,63.139999,67.910004,51101800,64.471888
"45",67.839996,72.220001,65.059998,69.400002,46663000,66.445917
"46",68.970001,71.519997,67.589996,70.989998,57945800,67.968233
"47",70.849998,73.75,68.790001,72.540001,45974200,69.452259
"48",72.580002,73,68.18,68.959999,41789900,66.600271
"49",69,71.699997,67.059998,71.519997,59292200,69.072669
"50",71.529999,71.620003,67.580002,67.639999,46026600,65.325441
"51",67.330002,70.379997,64.709999,70.220001,45470600,68.40833
"52",70.330002,71.330002,67.290001,69.089996,44168500,67.307479
"53",69.419998,72.239998,65.529999,71.300003,74430100,69.460468
"54",71.529999,74.589996,71.339996,72.550003,46044600,71.263545
"55",72.160004,80.889999,71.339996,76.900002,60105400,75.536409
"56",77.260002,79.889999,75.330002,76.889999,47551200,75.526584
"57",77.18,78.879997,71.610001,72.089996,61052700,71.436739
"58",72.089996,72.620003,68.25,70.870003,66536500,70.2278
"59",71.110001,74.339996,70.129997,71.68,47545800,71.030458
"60",71.800003,72.57,70.07,70.519997,46505800,70.519997
"61",70.599998,70.910004,66.720001,66.849998,24067300,66.849998
