"","stock_data$DVA.Open","stock_data$DVA.High","stock_data$DVA.Low","stock_data$DVA.Close","stock_data$DVA.Volume","stock_data$DVA.Adjusted"
"1",63.110001,67.050003,62.34,62.439999,27708200,31.219999
"2",62.529999,62.860001,56.580002,57.32,63497600,28.66
"3",58.200001,65.800003,57.34,64.620003,46977400,32.310001
"4",65.040001,69.419998,63.060001,69.029999,43450200,34.514999
"5",69.160004,72.959999,67.879997,71.75,43837000,35.875
"6",72.07,73.790001,66.68,72.699997,37134600,36.349998
"7",73.339996,74.610001,68.809998,69.489998,32953400,34.744999
"8",69.879997,76.099998,68.139999,73.849998,33990600,36.924999
"9",74.129997,80.419998,73.959999,79.370003,29681600,39.685001
"10",79.510002,85.889999,79,85.510002,38299400,42.755001
"11",86.07,88.989998,85.330002,88.089996,32159400,44.044998
"12",88.480003,89.580002,82.870003,84.050003,43206600,42.025002
"13",83.959999,86.739998,82.510002,86.610001,33342800,43.305
"14",86.669998,89.760002,82.190002,83.540001,23977800,41.77
"15",83.879997,83.910004,67.720001,73.580002,74860200,36.790001
"16",73.739998,75.339996,59.610001,62.669998,61645000,31.334999
"17",62.200001,72.919998,59.139999,70,60438600,35
"18",68.089996,76.260002,66.910004,76.18,42664800,38.09
"19",76.379997,78.139999,72.459999,75.809998,23707600,37.904999
"20",77.309998,83.129997,76.599998,81.809998,21165200,40.904999
"21",82.720001,88.900002,82.349998,86.550003,31191800,43.275002
"22",86.669998,90.419998,85.309998,90.169998,26288000,45.084999
"23",90,90.099998,84.349998,88.580002,25664200,44.290001
"24",88.75,90.080002,77.809998,81.25,64137800,40.625
"25",80.029999,98.209999,80.010002,98.209999,39482800,49.105
"26",98.639999,100.519997,94.209999,98.419998,25960000,49.209999
"27",99.639999,100.239998,95.169998,97.269997,27764600,48.634998
"28",97.150002,103.970001,96.230003,103.610001,33464000,51.805
"29",104.220001,114.849998,102.860001,112.519997,36630600,56.259998
"30",113,116.5,106.339996,108,53883400,54
"31",108.129997,112.790001,104.459999,110.529999,45002800,55.264999
"32",109.529999,115.870003,107.989998,115.410004,29510400,57.705002
"33",115.629997,120.099998,113.040001,119.620003,29647600,59.810001
"34",119.220001,124.290001,116.830002,118.589996,31150600,59.294998
"35",118.639999,128.740005,117.650002,118.650002,32518600,59.325001
"36",118.650002,131.330002,117.150002,124.07,41439600,62.035
"37",124.300003,131,120.110001,120.800003,25610000,60.400002
"38",121.629997,122.459999,112.309998,116.410004,48372200,58.205002
"39",117,118.449997,107.110001,107.510002,36537000,53.755001
"40",108.730003,112.150002,55.049999,56.900002,28517600,56.900002
"41",56.889999,58.950001,55.23,56.209999,26028200,56.209999
"42",56.200001,62.139999,52.75,59.549999,58679000,59.549999
"43",59.439999,63.740002,56.849998,63.369999,40711600,63.369999
"44",63.360001,66.760002,63.189999,64.93,29545700,64.93
"45",64.940002,70,62.52,68.730003,37341900,68.730003
"46",68.269997,70.68,67.529999,68.849998,25637700,68.849998
"47",69,70.099998,66.809998,69.300003,30398700,69.300003
"48",69.389999,70.709999,66.599998,70.589996,20758600,70.589996
"49",70.809998,73.610001,69.830002,72.32,18267200,72.32
"50",72.669998,74.839996,70.410004,70.440002,20193200,70.440002
"51",71.360001,74.989998,70.489998,74.68,15776800,74.68
"52",74.949997,75.269997,72.779999,73.139999,16540700,73.139999
"53",73.300003,78.519997,71.5,78.07,20555500,78.07
"54",78.080002,78.410004,72.699997,76.529999,36908500,76.529999
"55",76.470001,76.769997,72.139999,75.739998,19011300,75.739998
"56",75.839996,76.599998,73.43,75.059998,17564000,75.059998
"57",75.07,77.099998,71.889999,74.599998,29315000,74.599998
"58",74.599998,83.040001,74.440002,81.279999,31188400,81.279999
"59",81.25,85.169998,79.830002,81.099998,19007400,81.099998
"60",81.690002,84.400002,80.410004,83.779999,18863400,83.779999
"61",83.940002,84.400002,81.43,81.68,6147100,81.68
