"","stock_data$HOG.Open","stock_data$HOG.High","stock_data$HOG.Low","stock_data$HOG.Close","stock_data$HOG.Volume","stock_data$HOG.Adjusted"
"1",26.66,27.99,22,22.23,74904600,20.653638
"2",22.15,29.17,21.26,27.23,97369500,25.29908
"3",27.75,28.709999,23.66,24.33,53972200,22.604724
"4",24.790001,29.24,24.66,28.440001,46333100,26.515895
"5",28.709999,32.669998,28.27,30.66,62942000,28.5857
"6",30.92,33.740002,30.309999,31.280001,40561400,29.163755
"7",31.940001,35.59,31.9,34.669998,31165900,32.419112
"8",35.029999,40.59,34.560001,39.650002,50066400,37.075798
"9",40,43.139999,39.73,40.82,39541800,38.259606
"10",40.900002,42.509998,39.009998,42.490002,46855600,39.824859
"11",42.700001,43.150002,37.060001,37.259998,58838000,34.922902
"12",37.619999,38.75,35.900002,37.16,46868700,34.947689
"13",37.009998,41.139999,34.700001,40.970001,55588300,38.530863
"14",41.080002,46.880001,40.560001,43.389999,62301000,40.806788
"15",44,44.080002,31.5,38.66,88907100,36.358387
"16",38.549999,38.889999,33,34.330002,42142800,32.398109
"17",33.880001,40.919998,31.93,38.900002,69996000,36.710936
"18",37.470001,40.290001,34.389999,36.77,39583000,34.700799
"19",36.779999,39.349998,36.060001,38.869999,35265900,36.806132
"20",39.740002,45.630001,38.93,44.189999,43947500,41.843658
"21",44.709999,47.860001,44.130001,46.580002,33219400,44.257129
"22",46.599998,50.959999,44.900002,49.080002,36780000,46.632458
"23",49.16,53.98,46.599998,52.330002,49527000,49.720385
"24",52.330002,54.32,45,48.18,53897300,45.927143
"25",47.009998,50.889999,43.790001,45.73,46696600,43.591702
"26",46.119999,47.619999,41.830002,43.23,42334800,41.2086
"27",43.34,43.549999,37.84,41.959999,63546800,39.997984
"28",41.849998,46.549999,41.169998,42.369999,39025400,40.537
"29",42.529999,47.360001,40.59,46.759998,49638900,44.737081
"30",46.740002,48.490002,44.48,46.959999,40420200,44.928429
"31",47.310001,49.759998,45.689999,48.830002,30432200,46.868881
"32",49.939999,54.619999,48.400002,52.419998,37042300,50.314695
"33",52.970001,54.110001,50.049999,52.630001,32287200,50.714848
"34",52.299999,55.509998,51.68,53.299999,25877000,51.360466
"35",53.369999,55.68,49.75,54.650002,38109300,52.661343
"36",54.599998,59.84,53.790001,54.540001,29103100,52.755177
"37",54.709999,55.5,49.150002,54.82,31584600,53.026013
"38",55.080002,59.52,53.349998,56.77,29401900,54.9122
"39",57.330002,60.32,57.299999,59.98,26784600,58.017152
"40",60.66,65.150002,60.52,64.239998,20821500,62.345492
"41",64.510002,66.589996,62.759998,64.040001,28940800,62.151393
"42",64.309998,67.75,63.119999,67.019997,21278500,65.043505
"43",66.93,69.75,65.599998,69.239998,20978400,67.405502
"44",69.190002,70.040001,61.57,61.689999,27561000,60.055538
"45",61.810001,66.720001,60.549999,66.059998,27328400,64.584005
"46",65.379997,68.959999,64.290001,66.610001,23313300,65.121719
"47",67.339996,73.949997,63.740002,73.940002,35012700,72.287945
"48",74,74.129997,69.989998,71.239998,24128000,69.920196
"49",71.150002,72.779999,68.550003,69.849998,30705400,68.555948
"50",70.150002,70.650002,61.759998,61.82,49377400,60.674714
"51",61.799999,64.660004,60.509998,63.560001,24624400,62.38248
"52",63.970001,65.879997,58.080002,58.200001,36342100,57.36369
"53",58.27,65.879997,54.220001,65.699997,55745500,64.755914
"54",65.860001,70.139999,64.029999,69.68,24517000,68.678726
"55",69.690002,70.410004,61.59,65.910004,31283100,65.229085
"56",65.910004,66.580002,61.209999,61.700001,40681000,61.062576
"57",61.630001,64.620003,60.779999,63.57,28754300,63.223963
"58",63.560001,65.199997,58.240002,60.740002,49129500,60.40937
"59",60.700001,62.959999,55.509998,56.209999,66190100,55.904026
"60",56.689999,57.889999,53.040001,53.490002,48376400,53.490002
"61",53.68,55.060001,53.099998,54.689999,13758900,54.689999
