"","stock_data$UNM.Open","stock_data$UNM.High","stock_data$UNM.Low","stock_data$UNM.Close","stock_data$UNM.Volume","stock_data$UNM.Adjusted"
"1",22.6,24.34,21.65,21.700001,46857700,19.742866
"2",21.77,23.1,20.92,22.82,79882200,20.846587
"3",23.17,23.57,19.299999,20.049999,75844800,18.316129
"4",20.41,22.799999,20.32,22.15,57240600,20.234527
"5",22.26,23.08,21.66,22.42,58042300,20.567067
"6",22.540001,23.27,21.34,21.49,52098300,19.713928
"7",21.91,24.59,21.530001,24.219999,45681500,22.218303
"8",24.440001,25.76,24.360001,24.940001,39109900,22.962118
"9",25.15,27.040001,24.629999,26.530001,39997300,24.426022
"10",26.65,26.809999,24.75,26.25,59784500,24.168227
"11",26.51,27.16,25.17,26.48,34185800,24.469157
"12",26.65,26.959999,25.6,26.309999,41687800,24.312066
"13",26.18,26.219999,24.290001,25.48,58692500,23.545095
"14",25.549999,26.41,24.16,24.389999,46510200,22.632507
"15",24.68,24.76,20.389999,23.540001,111490900,21.843758
"16",23.57,23.74,20.24,20.959999,68078800,19.449666
"17",20.709999,25,19.719999,23.84,81360700,22.218985
"18",22.68,23.709999,20.639999,22.51,70959800,20.979419
"19",22.01,22.610001,19.879999,21.07,60610800,19.637332
"20",21.6,23.370001,20.84,22.83,53263800,21.374272
"21",23.08,23.83,22.030001,23.049999,55033400,21.580244
"22",23.09,24.809999,22.98,24.48,48676900,22.919062
"23",24.4,24.77,22.92,23.74,41108600,22.32449
"24",23.799999,24,19.709999,19.950001,68458100,18.760472
"25",19.5,20.280001,18.370001,19.129999,69604100,17.989363
"26",19.24,19.639999,18.280001,18.889999,49662400,17.889245
"27",18.99,19.790001,18.389999,19.51,63957600,18.4764
"28",19.51,20.92,18.969999,19.219999,48343200,18.201763
"29",19.360001,20.870001,19.290001,20.280001,47895700,19.328598
"30",20.370001,21.110001,19.040001,20.389999,41043400,19.433437
"31",20.51,21.35,20.35,20.82,38431900,19.843264
"32",21.219999,23.42,21.18,23.309999,35781900,22.341913
"33",23.5,24.860001,22.940001,24.469999,45285700,23.453737
"34",24.32,28.34,24,28.25,61201800,27.07675
"35",28.26,28.35,25.549999,27.889999,47595100,26.859557
"36",27.629999,29.219999,26.709999,28.48,48703900,27.427759
"37",28.49,29.92,27.309999,29.370001,46933400,28.284878
"38",29.610001,32.009998,29.52,31.639999,30007700,30.611561
"39",32.040001,32.939999,29.139999,29.530001,42499100,28.570146
"40",29.969999,31.74,29.5,30.440001,29997600,29.450567
"41",30.41,32.43,29.450001,31.74,30888800,30.851876
"42",31.790001,34.040001,31.43,33.57,29252700,32.63067
"43",33.560001,35.400002,33.139999,35.080002,34109800,34.098421
"44",34.93,35.119999,31.73,32.200001,25908200,31.440102
"45",32.080002,34.93,30.66,34.779999,32520500,33.959214
"46",34.25,36.299999,34.18,35.310001,33414900,34.476709
"47",35.610001,35.669998,32.07,33.220001,32153400,32.574872
"48",33.200001,34.290001,32.279999,33.91,30216400,33.251471
"49",34.049999,35.779999,33.799999,34.759998,27199700,34.084962
"50",34.830002,35.66,34.18,34.330002,24613700,33.822767
"51",34.200001,36.389999,33.599998,36.27,28130500,35.734101
"52",36.380001,37.150002,34.279999,34.380001,30534400,33.872027
"53",34.290001,34.740002,31.25,33.459999,38749600,33.123531
"54",33.459999,34.990002,32.639999,33.220001,34110900,32.885946
"55",33.02,35.77,31.57,34.880001,52459100,34.529253
"56",35.130001,35.209999,30.719999,31.059999,33906800,30.907836
"57",31.129999,34.889999,31.02,33.560001,34427400,33.39559
"58",33.560001,34.66,32.709999,33.73,35321000,33.564755
"59",33.68,34.900002,33.049999,34.16,26532100,34.16
"60",34.41,36,34.23,34.959999,30194100,34.959999
"61",35.07,36.810001,34.830002,36.790001,12299500,36.790001
