"","stock_data$ETN.Open","stock_data$ETN.High","stock_data$ETN.Low","stock_data$ETN.Close","stock_data$ETN.Volume","stock_data$ETN.Adjusted"
"1",68.629997,76.290001,65.309998,65.440002,50764600,28.351236
"2",65.290001,78.900002,62.950001,78.459999,84798000,33.992021
"3",79.940002,80.75,68.730003,69.480003,75282200,30.319572
"4",70.660004,84.339996,70.610001,82.489998,70455400,35.996852
"5",84.410004,89.5,80.970001,88.830002,63040800,38.763493
"6",89.25,98.339996,87.879997,96.400002,66451200,42.334613
"7",98,102.699997,97.940002,101.510002,51671000,44.578699
"8",102.470001,109.080002,100.010002,107.959999,64403200,47.411252
"9",109.010002,112.980003,103.389999,110.779999,60283200,48.955502
"10",55.82,56.209999,48.57,55.439999,60012700,48.999693
"11",55.970001,56.419998,50.630001,53.560001,52281800,47.33809
"12",53.759998,53.959999,49.220001,51.669998,64476400,45.966643
"13",51.580002,51.849998,45.790001,51.450001,89324400,45.770929
"14",51.259998,53.23,47.32,47.950001,69200100,42.65726
"15",48.860001,48.98,37.720001,42.950001,129186800,38.496957
"16",42.799999,43.07,33.970001,35.5,108760700,31.81937
"17",35.299999,47.439999,33.09,44.82,102055800,40.173075
"18",43.16,46.73,40.52,44.91,69140700,40.558288
"19",44.669998,46.639999,41.380001,43.529999,65569000,39.312007
"20",44.779999,50.200001,44.73,49.029999,73547200,44.279066
"21",49.639999,53.060001,49.200001,52.189999,60004000,47.495134
"22",52.299999,52.700001,47.959999,49.830002,70597900,45.347436
"23",49.82,50.290001,45.91,48.18,70318300,43.845863
"24",48.119999,48.48,41.75,42.66,109671400,39.134649
"25",41.41,42.75,36.939999,39.630001,128085400,36.355044
"26",39.549999,44.330002,36.380001,43.84,112486500,40.217136
"27",44.200001,46.77,42.400002,44.720001,76395200,41.384863
"28",44.75,49.18,43.060001,47.27,79915100,43.744688
"29",47.080002,47.990002,44.360001,47.220001,82930700,44.057374
"30",47.740002,52.68,47.740002,52.16,94402200,48.666509
"31",51.48,54.75,50.740002,54.18,69021200,50.551217
"32",55.549999,57.860001,55,56.950001,60751300,53.135693
"33",57.650002,62.560001,55.599998,61.970001,80060800,57.819472
"34",61.450001,63.810001,60.349998,61.25,64317200,57.533578
"35",61.25,62.880001,55.41,61.41,83421100,57.68387
"36",61.02,69.919998,59.18,66.059998,69638100,62.494575
"37",66.400002,67.010002,61.23,65.809998,68196900,62.258069
"38",65.760002,69.440002,65.510002,68.949997,49066700,65.228594
"39",69.529999,70.07,63.189999,63.32,60022600,60.269587
"40",64.279999,71.360001,62.889999,68.839996,48698300,65.52366
"41",68.720001,72.540001,65.199997,70.559998,78399100,67.558816
"42",70.550003,73.440002,68.790001,72.660004,42735900,69.569501
"43",72.660004,77,70.089996,76.120003,48183700,72.882333
"44",75.739998,78.190002,72.120003,73.089996,62461000,69.981204
"45",73.440002,76.160004,66.889999,74.709999,74077100,71.532302
"46",73.949997,76.650002,71.18,75.120003,62027400,72.401707
"47",74.769997,77.709999,70.260002,72.639999,61181600,70.011446
"48",72.269997,74.949997,71.18,73.690002,48114700,71.505803
"49",73.75,79.650002,72.949997,77.18,54202400,74.892356
"50",77.489998,79.980003,67.760002,67.919998,75442000,66.372092
"51",67.540001,70.690002,66.540001,69.809998,59231200,68.219018
"52",70,70.599998,62.84,63.369999,61624100,61.925788
"53",63.029999,68.419998,57.110001,68.389999,93911500,66.831382
"54",68.370003,69.599998,66.169998,67.830002,45891900,66.762133
"55",67.57,70.510002,64.029999,67.959999,55440200,66.890083
"56",68.389999,68.57,62.799999,63.09,61954900,62.096754
"57",63.619999,72.779999,62.84,71.010002,51145900,69.892069
"58",71.010002,71.489998,66.040001,67.940002,50409700,67.402657
"59",67.949997,70.379997,66.949997,68.730003,55276300,68.730003
"60",69.269997,73.82,68.949997,71.589996,50526600,71.589996
"61",71.790001,73.279999,71.279999,72.540001,13674000,72.540001
