"","stock_data$L.Open","stock_data$L.High","stock_data$L.Low","stock_data$L.Close","stock_data$L.Volume","stock_data$L.Adjusted"
"1",31.610001,34.610001,31.610001,33.310001,51150300,32.306632
"2",33.369999,37.529999,32.950001,37.150002,66843700,36.030963
"3",37.709999,38.549999,34.77,35.139999,52587100,34.141322
"4",35.5,38.419998,35.450001,37.900002,48213700,36.822885
"5",38.189999,40.299999,37.369999,39.490002,33591900,38.367697
"6",39.759998,40.34,37.23,37.41,35136900,36.407152
"7",37.889999,39.490002,37.700001,38.91,22348100,37.866941
"8",39.259998,40.889999,39.060001,40.049999,24005800,38.976381
"9",40.349998,45.310001,40.299999,43.25,25825000,42.152603
"10",43.34,43.349998,40.73,43.09,33315500,41.996663
"11",43.119999,44.459999,41.779999,44.259998,23671500,43.136974
"12",43.34,43.380001,41.27,42.02,24970700,41.01535
"13",41.900002,42.43,39.990002,42.09,35320900,41.083677
"14",42.18,42.639999,39.580002,39.869999,26985000,38.916753
"15",39.220001,40.099998,34.299999,37.619999,79215000,36.782909
"16",37.599998,37.93,33.790001,34.549999,43956100,33.781221
"17",34.330002,41.66,32.900002,39.700001,45238900,38.816629
"18",38.490002,39.939999,35.59,38.43,38032800,37.64109
"19",38.25,39.43,36.419998,37.650002,31785800,36.877104
"20",38.48,39.029999,37.02,37.310001,24876600,36.544083
"21",37.549999,39.470001,37.400002,39.139999,22214300,38.398115
"22",39.16,40.16,37.990002,39.869999,21111800,39.114278
"23",39.889999,41.349998,38.310001,41.130001,25113500,40.350397
"24",41.040001,41.799999,38.189999,38.889999,22080800,38.213556
"25",38.279999,41.209999,38.139999,40.91,23977900,40.198421
"26",40.93,41.779999,39.110001,39.59,23809000,38.901381
"27",39.790001,40.779999,39.040001,40.650002,17963000,40.005609
"28",40.599998,42.860001,40.419998,41.259998,17725100,40.605936
"29",41.369999,43.360001,41.060001,42.279999,15351800,41.609767
"30",42.27,43.130001,39.57,40.880001,23758500,40.294272
"31",41.02,41.779999,39.919998,40.75,21666700,40.166134
"32",41.400002,43.73,41.060001,43.369999,16152700,42.748593
"33",43.630001,44.209999,42.09,43.110001,19707500,42.49232
"34",42.959999,44.779999,42.5,44.07,20405500,43.502183
"35",44,45.200001,42.59,44.669998,27727900,44.09445
"36",44.630001,47.099998,44.610001,45.82,19806900,45.291423
"37",46,46,42.849998,44.400002,18117000,43.887806
"38",44.830002,47,44.029999,45.549999,16559600,45.024537
"39",45.880001,47.709999,44.23,44.459999,15969500,44.008626
"40",44.93,47.939999,44.09,46.740002,15605800,46.265481
"41",46.810001,49.43,46.099998,48.310001,17832200,47.819542
"42",48.27,49.049999,47.279999,47.349998,17588600,46.930819
"43",47.459999,48.299999,46.25,48.240002,12933300,47.812944
"44",48.119999,48.150002,44.380001,44.59,17587800,44.195255
"45",44.509998,45.18,42.630001,43.48,21086100,43.157598
"46",43.16,45.200001,42.900002,44.049999,22635300,43.723371
"47",44.200001,45.43,43.299999,43.970001,21517600,43.643966
"48",44.029999,44.66,42.290001,43.130001,24575300,42.872631
"49",43.220001,44.18,42.959999,44.009998,25388500,43.747377
"50",44.200001,44.59,42.110001,42.130001,23199600,41.878598
"51",41.990002,43.75,41.57,43.740002,23805400,43.541807
"52",43.810001,43.889999,41.630001,41.66,24112000,41.47123
"53",41.66,43.740002,39.380001,43.599998,29128700,43.402438
"54",43.490002,43.77,41.5,41.639999,18443300,41.512056
"55",41.529999,42.889999,39.040001,42.02,34781000,41.890889
"56",42.259998,42.299999,38.009998,38.259998,24436500,38.14244
"57",38.400002,42.779999,38.220001,41.009998,20235000,40.945777
"58",40.970001,41.5,39.349998,40.830002,23229800,40.766062
"59",40.830002,42.59,40.27,41.639999,17464900,41.574791
"60",41.889999,41.990002,39.830002,40.119999,19798300,40.119999
"61",40.209999,40.91,39.59,40.59,8478700,40.59
