"","stock_data$TYC.Open","stock_data$TYC.High","stock_data$TYC.Low","stock_data$TYC.Close","stock_data$TYC.Volume","stock_data$TYC.Adjusted"
"1",36.000042,39.190049,35.12004,35.230038,226876400,15.901056
"2",35.130036,38.390048,34.230035,38.28005,232359800,17.376441
"3",38.520044,39.050039,36.030036,37.280051,499734900,16.922512
"4",37.850058,40.050038,36.370052,36.730039,251203400,16.672845
"5",36.880048,39.04004,36.280048,38.28005,197466200,17.471765
"6",38.480051,40.200048,37.110043,37.890046,170652000,17.29376
"7",38.390048,42.650063,38.290049,41.440041,173963600,18.914047
"8",41.670058,45.370062,41.550061,44.830049,181769900,20.557849
"9",45.240047,47.330052,44.340047,45.340046,152242700,20.79172
"10",45.550046,46.260063,42.900052,44.770062,152076500,20.530341
"11",45.000053,53.380069,44.940047,48.740049,429002800,22.465095
"12",48.810058,51.800064,47.600059,49.350049,163371100,22.746254
"13",48.970067,49.61006,45.820053,49.430053,164099600,22.78313
"14",49.70006,50.590065,43.900051,44.290055,145260200,20.524062
"15",44.740045,44.780057,37.390049,41.580055,249350300,19.268244
"16",41.640042,46.180059,38.210045,40.750041,284586900,18.883615
"17",40.380055,47.150068,38.300048,45.550046,140710300,21.225528
"18",43.960061,48.520054,43.76006,47.960065,150561000,22.348554
"19",47.700058,48.110056,44.370059,46.710054,107842300,21.766071
"20",47.470063,51.350051,47.410057,50.950071,118186300,23.862982
"21",51.140054,52.500063,48.120055,51.820059,113909700,24.270449
"22",51.960073,56.660076,51.250071,56.180072,145386300,26.312506
"23",55.980071,57.750078,53.020059,56.130062,122394100,26.409967
"24",56.000069,56.670075,52.120059,53.160073,117912400,25.012547
"25",52.350073,54.310063,50.470068,52.850055,108389400,24.866679
"26",53.100063,55.700069,50.710058,54.94006,126288400,25.97695
"27",55.190069,58.120068,53.380069,56.380074,105014100,26.657823
"28",56.300069,57.300068,54.230058,56.260077,233749400,26.601085
"29",27.82,29.26,26.43,26.870001,115502800,25.698146
"30",26.879999,28.85,26.17,28.370001,81635700,27.132728
"31",28.389999,29.68,27.68,29.25,63671300,27.974349
"32",29.76,31.459999,29.58,30.23,65054300,29.051054
"33",30.4,32.43,29.959999,32.009998,57678000,30.761634
"34",31.799999,32.490002,30.809999,32,49162400,30.752026
"35",32.099998,32.950001,30.620001,32.119999,83123900,31.027227
"36",31.98,34.689999,31.49,33.810001,70705100,32.659733
"37",33.82,34.82,31.700001,32.950001,105324200,31.82899
"38",33.630001,35.75,33.470001,34.810001,63555600,33.780046
"39",35.040001,35.950001,32.91,33.040001,55985200,32.062416
"40",33.459999,35.849998,32.84,34.98,49339200,33.945014
"41",35.009998,36.93,34.080002,36.549999,56707500,35.625893
"42",36.560001,38.77,34.779999,38.139999,63226800,37.175693
"43",38.200001,41.439999,37.099998,41.040001,58377100,40.002373
"44",40.880001,42.080002,39.150002,40.490002,59829500,39.619508
"45",40.66,42.91,39.400002,42.18,53087000,41.273173
"46",42.419998,44.099998,41.610001,42.400002,61109800,41.488445
"47",42.619999,43.049999,40.16,40.900002,74091100,40.190474
"48",40.959999,44.259998,40.150002,43.639999,58229500,42.882938
"49",43.639999,46.639999,43.110001,45.599998,92074300,44.808936
"50",45.689999,46.09,43.119999,43.150002,60866300,42.570559
"51",43.110001,45.240002,42.439999,44.619999,41298100,44.020816
"52",44.619999,45.220001,43.5,44.57,67653600,43.971488
"53",44.470001,44.790001,38.150002,42.93,100963600,42.540731
"54",42.91,44.099998,41.259998,42.900002,60802600,42.511004
"55",42.700001,44.84,41.209999,43.860001,49627800,43.462299
"56",43.990002,44.23,39.889999,40.810001,55192500,40.613478
"57",40.77,43.41,40.459999,42.220001,61068100,42.016687
"58",42.220001,44,41.470001,43.060001,43965700,42.852643
"59",42.98,43.689999,39.259998,39.380001,59435200,39.380001
"60",39.43,41.139999,39.029999,40.360001,60935500,40.360001
"61",40.389999,40.709999,39.939999,40.470001,14514400,40.470001
