"","stock_data$MRO.Open","stock_data$MRO.High","stock_data$MRO.Low","stock_data$MRO.Close","stock_data$MRO.Volume","stock_data$MRO.Adjusted"
"1",31.610069,34.400084,31.040075,31.090066,178127100,16.479295
"2",31.210084,33.740082,30.500075,33.450091,197935900,17.730226
"3",33.960081,34.980085,30.040072,30.490067,189437800,16.285549
"4",30.860074,33.630072,30.730083,33.100081,167231000,17.679627
"5",33.43009,36.430096,33.090088,35.570079,183799000,18.998918
"6",35.900088,36.110095,32.450087,33.470091,233146100,18.010715
"7",33.970074,37.210099,33.830074,37.030082,159739000,19.926395
"8",37.3901,45.750102,36.970083,45.700111,359313200,24.591857
"9",46.030104,50.560124,44.950101,49.600119,274633100,26.834845
"10",52.35012,53.740128,47.180115,53.310121,306327100,28.842044
"11",53.810123,54.190122,49.760123,54.040131,178959100,29.236997
"12",54.110126,54.330138,49.08012,54.170125,265881500,29.451418
"13",53.290139,53.490122,48.630125,52.680129,286499200,28.641332
"14",33.279999,34.970001,30.5,30.969999,194226200,28.227806
"15",31.41,31.43,23.32,26.92,304286200,24.675294
"16",27.049999,27.469999,21.58,21.58,186261600,19.780566
"17",21.309999,28.129999,19.129999,26.030001,166914200,23.859506
"18",24.959999,28.49,24.51,27.959999,156217000,25.764993
"19",27.690001,29.82,26.360001,29.27,136991400,26.972153
"20",29.959999,32.880001,29.92,31.389999,148031400,28.925721
"21",31.629999,35.490002,31.129999,33.889999,140486300,31.389995
"22",34.029999,34.700001,31.02,31.700001,121632100,29.361549
"23",31.610001,32.439999,28.690001,29.34,114161900,27.175641
"24",29.52,30.540001,23.870001,24.91,196124900,23.223234
"25",24.25,25.73,23.17,25.57,159195000,23.838543
"26",25.559999,27.190001,23.93,26.469999,144495800,24.677599
"27",26.790001,28.040001,25.51,27.82,152032400,26.097222
"28",27.75,31.209999,27.08,29.57,143584600,27.738851
"29",29.709999,31.59,28.629999,30.059999,133872400,28.198507
"30",30.059999,31.93,29.23,30.85,159802200,29.09989
"31",31.040001,31.559999,29.6,30.66,103153200,28.920668
"32",31.43,34.25,31.030001,33.610001,93868700,31.703316
"33",33.889999,35.860001,32.200001,33.5,116161400,31.752298
"34",33.299999,35.27,32.09,33.720001,92270900,31.960821
"35",33.82,34.119999,29.469999,32.669998,110613000,30.965597
"36",32.299999,36.68,31.780001,34.389999,114826200,32.757466
"37",34.610001,36.470001,33.150002,34.580002,103504400,32.938449
"38",34.709999,37.77,34.400002,36.360001,78093200,34.633949
"39",36.759998,37.869999,32.540001,34.43,131161300,32.978461
"40",34.860001,36.669998,34.470001,34.880001,121812500,33.40949
"41",34.950001,36.369999,33.82,35.259998,112353100,33.773467
"42",35.34,38.18,34.900002,36.040001,109867300,34.700085
"43",36.02,37,34.169998,35.299999,117005900,33.987596
"44",35.25,35.330002,32.400002,32.790001,95105900,31.570915
"45",32.779999,34.330002,31.57,33.5,130919500,32.439777
"46",33.380001,35.639999,32.619999,35.52,122413000,34.395847
"47",35.720001,36.990002,34.790001,36.150002,135729600,35.00591
"48",36.23,36.779999,35.349998,36.66,127259500,35.688912
"49",36.75,40.220001,36.279999,39.919998,136644400,38.862557
"50",40.049999,40.740002,38.720001,38.75,104391500,37.72355
"51",38.700001,41.740002,37.900002,41.689999,117475100,40.805281
"52",41.700001,41.919998,37.310001,37.59,107340700,36.79229
"53",37.59,38.040001,31.35,35.400002,157652000,34.648766
"54",35.560001,35.779999,28.549999,28.92,143420100,28.491172
"55",28.52,31.01,24.280001,28.290001,222559600,27.870514
"56",28.059999,28.799999,24.809999,26.6,158069900,26.205573
"57",27.059999,29.67,26.860001,27.860001,151556600,27.648635
"58",27.860001,28.040001,25.07,26.110001,138276200,25.911911
"59",26.299999,31.450001,26.23,31.1,147638000,30.864053
"60",31.110001,31.530001,26.99,27.190001,140555700,27.190001
"61",27.23,27.389999,26.440001,27.059999,39587900,27.059999
