"","stock_data$MUR.Open","stock_data$MUR.High","stock_data$MUR.Low","stock_data$MUR.Close","stock_data$MUR.Volume","stock_data$MUR.Adjusted"
"1",51.950001,56.899997,49.249994,49.549999,31380700,36.774082
"2",49.499994,56.480002,48.140003,54.749995,45734500,40.633317
"3",55.690004,57.829997,52.799996,53.56,44321800,39.95434
"4",54.420001,62.380001,54.420001,61.919997,40382200,46.190676
"5",62.560002,67.240001,60.559993,65.159997,41694500,48.607631
"6",65.710002,69.19,64.55,67.520004,39656200,50.569946
"7",68.979996,76.000005,68.339996,74.550004,27030400,55.835152
"8",75.460002,76.740002,63.599999,66.300005,61703400,49.656213
"9",66.879999,76.400002,66.750003,73.53,46723900,55.289257
"10",73.960001,74.870002,66.890005,73.420002,41297700,55.206546
"11",74.819997,78.159999,72.189998,77.479999,38099600,58.259372
"12",77.929993,77.959996,65.149996,68.89,50961200,52.003712
"13",68.709999,69.1,61.809999,65.660001,42130300,49.565449
"14",66.079996,70.269998,62.259997,64.220006,50952000,48.478425
"15",65.100005,65.249998,47.239998,53.579998,71264600,40.67505
"16",53.630003,54.519993,43.029994,44.160005,58489800,33.523899
"17",43.47,59.290007,40.409996,55.370002,48742000,42.033925
"18",53.250003,59.999997,49.400001,55.920006,48012700,42.664434
"19",55.719994,56.890005,50.679997,55.740005,33778400,42.527101
"20",57.349996,64.499995,56.2,59.599999,44239200,45.472102
"21",60.550001,65.600003,59.019992,63.939999,35156700,49.002909
"22",64.049997,64.530003,54.460001,56.269998,48285700,43.124705
"23",56.169992,57.660006,51.849995,54.970005,40592000,42.128405
"24",54.949994,56.469997,45.670003,46.620004,58773100,35.933438
"25",45.650005,50.359995,43.289999,50.289996,52495200,38.762168
"26",50.249997,54.630005,48.470002,53.659993,48474000,41.35967
"27",54.189999,56.039997,50.830004,51.329994,44276200,39.794168
"28",51.379995,56.739994,50.03,53.69,31521300,41.62379
"29",54.139998,64.909998,54.020003,59.999997,74613600,46.515688
"30",59.999997,61.129999,54.729998,56.739994,58676100,46.262242
"31",57.259995,61.849994,55.339999,59.549999,54298500,48.553344
"32",60.749999,64.100002,59.400005,59.519995,38148000,48.528881
"33",60.010002,62.479993,59.190001,60.879995,33857500,49.897689
"34",60.420005,63.889998,59.879993,63.729995,31199800,52.23357
"35",63.670002,64.870003,58.959999,62.090001,41289600,50.889419
"36",61.419994,65.679998,59.850003,63.319997,40031600,52.150088
"37",63.380003,66.279994,59.290007,60.890001,34977100,50.148754
"38",61.410002,68.76,60.289996,67.720002,29029600,55.773915
"39",68.150003,72.38,65.300003,67.419998,31961900,55.781007
"40",59.060001,63.23,58.009998,60.32,33673900,57.791971
"41",60.080002,62.990002,58.369999,60.32,34987700,57.791971
"42",59.900002,65.599998,58.720001,64.93,30805200,62.525079
"43",65.18,66.199997,62.48,64.879997,24505300,62.476928
"44",64.559998,64.760002,55.889999,56.610001,32131700,54.513241
"45",56.25,60.419998,54.669998,59.369999,46891700,57.490747
"46",59.23,63.139999,58.860001,62.860001,30295400,60.870279
"47",62.93,65.339996,59.41,63.43,32398900,61.422236
"48",61,62.490002,59.57,61.669998,30633100,60.025996
"49",61.959999,67.07,61.490002,66.480003,23168200,64.707776
"50",66.779999,68.43,61.029999,62.130001,27615400,60.473736
"51",61.509998,62.91,59.580002,62.470001,22609100,61.161328
"52",62.299999,62.450001,56,56.91,23673300,55.717802
"53",56.919998,56.98,49.380001,53.389999,45482200,52.271542
"54",53.810001,55.360001,47.860001,48.419998,32172900,47.71423
"55",48,51.41,43.57,50.52,45631500,49.783623
"56",49.91,50.77,42.189999,44.91,43887100,44.255394
"57",46.200001,52,45.689999,50.889999,41591700,50.495242
"58",50.52,50.619999,45.599998,46.599998,34763000,46.238519
"59",46.880001,51.09,46.619999,47.610001,46007100,47.240687
"60",47.509998,47.720001,42.59,43.459999,44083100,43.459999
"61",43.48,44.060001,41.779999,43.939999,14740700,43.939999
