"","stock_data$EIX.Open","stock_data$EIX.High","stock_data$EIX.Low","stock_data$EIX.Close","stock_data$EIX.Volume","stock_data$EIX.Adjusted"
"1",32.419998,34.669998,31.629999,31.719999,28761900,27.334887
"2",31.66,33.970001,31.059999,33.150002,51919600,28.5672
"3",33.66,34.349998,32.689999,33.75,56307100,29.084252
"4",34.32,35.150002,33.619999,34.389999,55633400,29.908138
"5",34.630001,37.049999,34.380001,36.900002,48967100,32.091026
"6",37.150002,38.220001,36.619999,36.939999,45452000,32.12581
"7",37.32,39.369999,37.060001,38.599998,47628300,33.845836
"8",38.919998,39.200001,36.139999,36.279999,48545600,31.811579
"9",36.57,37.48,35.18,37.119999,35618000,32.54812
"10",37.369999,38.380001,35.119999,36.59,70965400,32.370017
"11",36.540001,39.59,36.540001,39.27,46158400,34.740929
"12",39.349998,40.150002,38.529999,39.360001,65596300,34.820549
"13",39.279999,39.610001,38.130001,38.75,51984700,34.565241
"14",38.75,39.25,37.700001,38.07,42690400,33.958676
"15",38.259998,38.400002,32.639999,37.189999,70591900,33.17371
"16",37.139999,38.77,35.060001,38.25,52837100,34.410777
"17",38.110001,41.57,35.630001,40.599998,52171900,36.524902
"18",39.630001,41.240002,37.509998,39.310001,43392200,35.364384
"19",39.18,41.57,38.380001,41.400002,34941700,37.539373
"20",41.810001,41.900002,39.599998,41.040001,46202100,37.212944
"21",41.139999,42.439999,40.310001,41.869999,28437600,37.965543
"22",42.27,44.5,41.830002,42.509998,41008400,38.837364
"23",42.41,44.049999,41.419998,44.009998,38613600,40.207772
"24",44.009998,45.32,43.139999,44.959999,44748200,41.075698
"25",44.490002,46.549999,44.240002,46.200001,43438900,42.512701
"26",46.450001,46.939999,45,46.18,41862600,42.494296
"27",45.869999,46.799999,43.099998,43.790001,40257800,40.295047
"28",43.75,46.200001,43.740002,45.689999,29706900,42.343811
"29",45.810001,47.959999,45.66,46.919998,36372100,43.483729
"30",47.060001,47.32,43.130001,45.48,41015000,42.149192
"31",45.040001,46.220001,42.57,45.189999,43916700,42.198161
"32",45.09,48.240002,44.919998,48.189999,38535100,44.999544
"33",48.040001,48.310001,45.169998,48.029999,54559100,44.850137
"34",47.849998,51.240002,47.639999,50.32,49973800,47.3037
"35",50.360001,54.189999,49.650002,53.799999,46472300,50.5751
"36",51.75,53.080002,45.939999,45.939999,68335600,43.186246
"37",45.93,48.400002,44.860001,48.16,62949900,45.604022
"38",48.23,50.34,45.619999,49.849998,40144100,47.204328
"39",50,50.169998,45.540001,45.889999,35874200,43.454496
"40",46.099998,47.360001,44.259998,46.060001,39713300,43.93407
"41",46.119999,49.950001,45.490002,49.029999,40994700,46.766985
"42",49.189999,49.849998,45.27,46.209999,47227400,44.077145
"43",46.209999,46.98,44.970001,46.299999,41748700,44.505265
"44",46.060001,48.419998,44.740002,48.16,48722600,46.293166
"45",48.389999,52.799999,47.209999,52.369999,38418800,50.339972
"46",52.200001,56.610001,50.549999,56.610001,53268500,54.776997
"47",56.619999,57.700001,55.580002,56.560001,55931200,54.728616
"48",56.77,57.220001,53.630001,55.139999,33731500,53.354593
"49",55.040001,58.240002,53.779999,58.110001,36689800,56.575247
"50",58.02,58.110001,54.720001,54.799999,33532700,53.352667
"51",55.200001,59.18,54.32,59.139999,48694900,57.578042
"52",59.25,59.540001,54.119999,55.919998,38793100,54.790293
"53",56.009998,62.900002,55.880001,62.580002,58845400,61.315751
"54",62.669998,63.66,61.389999,63.560001,42445800,62.275952
"55",63.130001,68.739998,62.779999,65.480003,44842800,64.555739
"56",65.010002,69.589996,64.779999,68.150002,43280600,67.18805
"57",68.029999,68.459999,62.310001,64.25,37833900,63.343097
"58",64.099998,65.989998,61.02,62.470001,51393900,62.003707
"59",62.43,64.550003,59.779999,60.939999,54519500,60.485125
"60",61.02,62.310001,58.57,60.810001,38662200,60.356098
"61",60.91,61.220001,57.25,57.419998,13669800,56.991399
