"","stock_data$TMO.Open","stock_data$TMO.High","stock_data$TMO.Low","stock_data$TMO.Close","stock_data$TMO.Volume","stock_data$TMO.Adjusted"
"1",50.560001,54.869999,48.970001,49.049999,47877200,47.913698
"2",49.049999,51.360001,44.560001,44.860001,112044900,43.820766
"3",45.389999,46.200001,41.740002,42.119999,88189800,41.144239
"4",42.759998,48.900002,42.700001,47.880001,58840100,46.770804
"5",48.16,52.080002,47.169998,51.419998,64309400,50.228793
"6",51.580002,53.049999,49.91,50.860001,53061900,49.681769
"7",51.639999,56.25,51.349998,55.360001,52495100,54.077521
"8",55.639999,58.09,54.799999,57.27,48296000,55.943273
"9",57.509998,58.16,54.43,55.82,50538800,54.526864
"10",56.290001,57.470001,52.41,55.549999,81072500,54.263118
"11",55.66,60.369999,54.119999,59.990002,56400700,58.600263
"12",60.25,65.860001,59.529999,65.449997,63384300,63.933771
"13",65.449997,65.5,60.490002,64.389999,51583400,62.898329
"14",64.529999,65.68,59.099998,60.09,52571600,58.697944
"15",60.599998,60.720001,48.889999,54.93,91939600,53.657482
"16",55.02,55.84,48.779999,50.639999,65727300,49.466864
"17",50.189999,55.259998,47.77,50.27,104384300,49.105437
"18",49.09,50.509998,44.290001,47.25,79203600,46.155398
"19",47.25,47.700001,43.060001,44.970001,58232400,43.928218
"20",45.790001,54.09,45.669998,52.900002,68507700,51.674511
"21",54.110001,57.57,53,56.619999,46961300,55.30833
"22",56.919998,58.369999,54.900002,56.380001,48211600,55.203453
"23",56.360001,56.709999,51.689999,55.650002,51256200,54.488687
"24",55.59,56.91,49.919998,50.48,49301200,49.426574
"25",49.549999,52.130001,48.139999,51.91,44419000,50.95841
"26",52.290001,56.459999,49.630001,55.669998,47013700,54.649482
"27",56.07,57.75,53.77,57.349998,39653700,56.298685
"28",57.27,61,56.639999,58.830002,31550900,57.878376
"29",59.09,61.990002,57.209999,61.060001,42313300,60.072303
"30",61.330002,63.779999,59.610001,63.549999,38318100,62.522023
"31",63.889999,65.540001,62.299999,63.779999,42297200,62.893108
"32",64.790001,72.480003,64.540001,72.139999,36236100,71.136859
"33",72.800003,75.790001,71.599998,73.800003,40944500,72.77378
"34",73.279999,78.040001,72.870003,76.489998,39369300,75.572257
"35",76.300003,84.550003,75.269997,80.68,80843100,79.711987
"36",80.440002,89.5,80.269997,88.300003,44494400,87.240564
"37",88.82,89,81.040001,84.629997,64120600,83.763551
"38",85.029999,92.290001,84.410004,91.110001,37863600,90.177212
"39",92.32,92.720001,88.129997,88.830002,26734500,87.920556
"40",89.970001,94.739998,89.410004,92.150002,30980500,91.357484
"41",92.209999,98.519997,89.709999,97.779999,36899600,96.939062
"42",98.18,103.120003,95.519997,100.849998,26722300,99.982659
"43",101.089996,111.440002,99.120003,111.349998,31727200,110.556223
"44",110.690002,117.68,109.080002,115.139999,51967200,114.319206
"45",115.169998,125.82,111.209999,124.540001,62462800,123.652198
"46",123.07,127.629997,116.620003,120.239998,44725200,119.524594
"47",120.540001,123.370003,112.019997,114,50810000,113.321723
"48",113.720001,119.370003,112.75,116.910004,37248500,116.214413
"49",116.989998,120.459999,115.849998,118,36851300,117.444471
"50",118.449997,127.209999,116.360001,121.5,46360600,120.927993
"51",121.089996,122.889999,118.709999,120.209999,25405900,119.644066
"52",120.889999,125.25,120.25,121.699997,30128500,121.274216
"53",122.300003,122.309998,107.330002,117.57,56075200,117.158668
"54",116.82,129.770004,115.610001,129.289993,35625300,128.837658
"55",129.339996,129.479996,121.150002,125.290001,29126500,124.998911
"56",126.300003,131.119995,121.540001,125.209999,48344900,124.919095
"57",125.489998,132,122.93,130,28605200,129.697967
"58",130,139.029999,126.18,134.339996,37933200,134.185199
"59",134.669998,135.179993,125.25,125.68,33209100,125.535182
"60",126.5,133.479996,126.150002,129.630005,31940200,129.480635
"61",129.839996,130.479996,127.449997,130.179993,10325800,130.029989
