"","stock_data$JNJ.Open","stock_data$JNJ.High","stock_data$JNJ.Low","stock_data$JNJ.Close","stock_data$JNJ.Volume","stock_data$JNJ.Adjusted"
"1",58.720001,60.09,57.939999,59.060001,244255800,50.250064
"2",59.07,61.73,56.860001,58.09,310708000,49.424757
"3",58.5,60.25,56.990002,57.02,239384600,48.971893
"4",57.669998,62.700001,57.439999,61.959999,209239500,53.214633
"5",62.09,64.230003,61.299999,63.740002,208721800,54.743397
"6",63.880001,64.919998,61.25,61.549999,221392600,53.317414
"7",62.18,63.16,61.560001,61.849998,212152900,53.577287
"8",62.630001,63.540001,59.689999,59.77,257253400,51.775498
"9",59.700001,61.450001,59.360001,61.439999,199932400,53.703452
"10",61.25,61.5,57.5,59.25,254534800,51.789219
"11",59.630001,65.970001,59.060001,65.720001,270819500,57.444515
"12",65.919998,67.370003,64.800003,67.290001,270892200,59.326949
"13",67.019997,67.360001,64.690002,66.519997,231770300,58.648067
"14",66.480003,68.050003,64.129997,64.790001,202614600,57.122798
"15",65.279999,66.230003,59.080002,65.800003,491488700,58.53012
"16",65.660004,66.139999,61,63.689999,264862000,56.653238
"17",63.650002,65.860001,60.830002,64.389999,251590300,57.2759
"18",63.68,65.489998,61.049999,64.720001,236914800,58.103706
"19",64.68,66.32,62.849998,65.580002,210285200,58.875789
"20",65.589996,66,64.339996,65.910004,212136100,59.172055
"21",65.970001,66.32,64.019997,65.080002,192370000,58.942994
"22",65.110001,66.18,64.120003,65.959999,208163900,59.740008
"23",66.040001,66.300003,62.759998,65.099998,229665900,58.961105
"24",64.910004,65.489998,62,62.43,278010100,57.093337
"25",62.040001,67.699997,61.709999,67.559998,451142100,61.78481
"26",67.419998,69.699997,67,69.220001,273347200,63.302912
"27",69.480003,69.75,66.849998,67.43,224101500,62.226273
"28",67.489998,69.639999,66.970001,68.910004,200224200,63.592062
"29",68.919998,72.739998,67.800003,70.82,267146700,65.354659
"30",71.099998,71.900002,68.510002,69.730003,211662500,64.917826
"31",69.800003,71.620003,69.18,70.099998,232603000,65.262288
"32",71.019997,74.800003,70.300003,73.919998,209813800,68.818663
"33",74.139999,77.019997,73.559998,76.110001,177978400,71.424312
"34",75.790001,81.589996,75.730003,81.529999,193396300,76.51063
"35",81.389999,85.889999,80.309998,85.230003,218722300,79.982845
"36",84.5,89.989998,83.879997,84.18,220724300,79.591319
"37",84.279999,87.82,82.120003,85.860001,210552200,81.179741
"38",85.720001,94.419998,85.5,93.5,200315600,88.403282
"39",94.160004,94.400002,85.849998,86.410004,204260800,82.315308
"40",86.889999,90.720001,86,86.690002,158876500,82.582038
"41",86.589996,93.449997,85.5,92.610001,173024000,88.221507
"42",92.379997,95.989998,92.279999,94.660004,131026200,90.803892
"43",94.410004,94.790001,89.769997,91.589996,151086000,87.858946
"44",91.139999,95.379997,88.150002,88.470001,192804300,84.866049
"45",88.75,92.989998,86.089996,92.120003,162234700,89.003238
"46",91.129997,98.599998,90.830002,98.230003,181324400,94.906515
"47",98.309998,101.980003,96.050003,101.290001,180242400,97.862981
"48",100.769997,101.540001,98.879997,101.459999,124656300,98.710412
"49",101.540001,106,101.010002,104.620003,123993600,101.784779
"50",105.150002,106.739998,100.050003,100.089996,148795100,97.377537
"51",99.760002,104.419998,98.800003,103.730003,120163600,101.601504
"52",103.300003,108.769997,103.019997,106.589996,130571800,104.402811
"53",105.980003,108.18,95.099998,107.779999,232503800,105.568395
"54",107.830002,109.489998,106.599998,108.25,125651100,106.719299
"55",107.889999,108.989998,102.5,104.57,175439900,103.091335
"56",105.050003,106.5,100.089996,100.139999,195021200,98.723977
"57",100.489998,103.330002,97.150002,102.510002,191270200,101.767891
"58",102.510002,103.410004,98.220001,100.599998,177464600,99.871715
"59",100.459999,102.139999,98.040001,99.199997,171578200,98.481848
"60",99.620003,104.480003,98.660004,100.139999,143410400,100.139999
"61",100.279999,100.599998,97.800003,98.879997,61248100,98.879997
