"","stock_data$ECL.Open","stock_data$ECL.High","stock_data$ECL.Low","stock_data$ECL.Close","stock_data$ECL.Volume","stock_data$ECL.Adjusted"
"1",46.09,47.650002,44.52,44.91,34195000,42.283322
"2",44.799999,49.77,44.66,48.91,46551800,46.049372
"3",49.330002,49.529999,46.07,47.400002,30115400,44.627689
"4",48.029999,51.23,47.799999,50.740002,26135600,47.920452
"5",50.959999,52.459999,48.650002,49.32,29975700,46.579358
"6",49.450001,50.060001,47.259998,47.810001,30037400,45.153268
"7",48.419998,50.900002,46.639999,50.419998,38589600,47.786255
"8",50.630001,50.740002,48.490002,49.689999,27558200,47.094388
"9",49.900002,50.68,47,48.639999,36041500,46.099236
"10",48.68,51.080002,46.799999,51.02,40086300,48.528193
"11",51.189999,53,49.970001,52.759998,24887800,50.18321
"12",52.919998,54.880001,51.240002,54.880001,26574000,52.199672
"13",54.5,56.450001,53.400002,56.380001,36858200,53.799197
"14",56.43,57.189999,49.490002,50,82593800,47.711241
"15",50.41,53.709999,43.810001,53.599998,118316200,51.146449
"16",53.709999,53.77,48.400002,48.889999,57519200,46.8109
"17",47.959999,55.599998,47.27,53.84,58963900,51.550397
"18",52.650002,57.599998,52.209999,57.02,66287700,54.595164
"19",55.939999,58.130001,54,57.810001,67199000,55.556009
"20",58.310001,61.419998,57.439999,60.439999,35569400,58.083463
"21",60.849998,62.860001,59.880001,60,33683900,57.66062
"22",59.709999,62.07,58.75,61.720001,39918300,59.511567
"23",61.59,64.139999,59.810001,63.689999,27153500,61.411075
"24",63.5,65.599998,62.610001,63.209999,34647000,60.94825
"25",62.259998,68.550003,61.450001,68.529999,36543800,66.276144
"26",68.68,68.959999,61.66,65.449997,28846600,63.297439
"27",65.769997,67.410004,63.330002,64.029999,29121400,61.924142
"28",64.040001,65.489998,62.98,64.809998,30912600,62.87224
"29",64.989998,70.75,63.419998,69.599998,30181500,67.519024
"30",69.550003,72.269997,67.970001,72.080002,24617800,69.924877
"31",72,72.790001,70.019997,71.900002,25443100,69.977977
"32",72.940002,74.739998,71.989998,72.400002,19059800,70.464611
"33",72.790001,77.779999,72.029999,76.550003,23114900,74.503675
"34",76.220001,80.690002,75.489998,80.18,20874900,78.271806
"35",80,84.699997,78.739998,84.620003,23595500,82.606141
"36",84.75,89.470001,83.970001,84.470001,23951100,82.45971
"37",84.720001,86.849998,82.580002,85.190002,27402900,83.388859
"38",85.540001,95.190002,85.480003,92.139999,24020000,90.191915
"39",92.870003,94.160004,90.18,91.349998,17515200,89.418616
"40",92.540001,99.449997,91.949997,98.760002,17541300,96.904119
"41",98.870003,108.339996,96.440002,106,22163300,104.008063
"42",106.199997,108.139999,104.529999,107.169998,15059900,105.156075
"43",106.900002,106.980003,101.379997,104.269997,22418900,102.584887
"44",103.580002,106,97.940002,100.540001,23522500,98.915171
"45",100.290001,108.199997,97.650002,107.75,22001200,106.00865
"46",106.199997,111.830002,105.730003,107.989998,25690600,106.511384
"47",108.449997,109.830002,101.82,104.639999,19717700,103.207254
"48",104.620003,109.330002,103.910004,109.190002,17106500,107.694958
"49",109.120003,111.57,106.309998,111.339996,17817200,110.094971
"50",111.720001,112.269997,108.510002,108.529999,18117500,107.316396
"51",107.669998,115.459999,107.309998,114.82,14369600,113.536061
"52",114.940002,118.459999,113.870003,114.830002,16662500,113.818837
"53",114.889999,115.389999,103.400002,111.230003,35578000,110.25054
"54",111.639999,115.190002,108.089996,108.949997,18008900,107.99061
"55",106.599998,110.410004,101.260002,104.519997,38884400,103.927373
"56",104.690002,107.440002,97.779999,103.769997,39115300,103.181626
"57",102.529999,117,101.57,115.540001,29589900,114.884895
"58",115.519997,116.889999,112.75,114.379997,27865900,114.05379
"59",114.379997,117.309998,110.029999,111.980003,23988000,111.660641
"60",112.279999,116.309998,112.019997,114.650002,22501200,114.323024
"61",114.989998,116.580002,113.230003,115.610001,7078700,115.280285
