"","stock_data$FISV.Open","stock_data$FISV.High","stock_data$FISV.Low","stock_data$FISV.Close","stock_data$FISV.Volume","stock_data$FISV.Adjusted"
"1",46.389999,49.400002,45.450001,45.66,38650400,22.83
"2",45.720001,50.299999,44.849998,50.099998,55423800,25.049999
"3",50.5,51.77,48.759998,50.009998,50356000,25.004999
"4",50.650002,55.09,50.310001,53.82,42691800,26.91
"5",54.380001,55.900002,53.110001,54.52,50101800,27.26
"6",54.860001,56.779999,53.880001,55.299999,38276000,27.65
"7",56.200001,60.639999,55.93,58.560001,39128200,29.280001
"8",59.189999,63.27,57.75,61.77,35208000,30.885
"9",62.16,63.880001,59.849998,63.27,37320400,31.635
"10",63.060001,63.400002,57.939999,62.720001,46529200,31.360001
"11",62.950001,64.709999,61.18,61.310001,45152200,30.655001
"12",61.209999,64.519997,61.119999,64.519997,40017800,32.259998
"13",64.660004,64.889999,60.459999,62.630001,45110200,31.315001
"14",62.77,65.410004,60.119999,60.360001,37374800,30.18
"15",60.880001,61.060001,50.959999,55.830002,74299600,27.915001
"16",55.950001,56.400002,48.75,50.77,47055400,25.385
"17",50.580002,61.27,49.349998,58.869999,52703800,29.434999
"18",57.509998,59.139999,53.91,57.66,48698200,28.83
"19",57.509998,59.349998,56.290001,58.740002,34731400,29.370001
"20",59.959999,63.779999,57.52,62.889999,30571200,31.445
"21",63.5,67,63.040001,66.300003,32587600,33.150002
"22",66.519997,70,65.809998,69.389999,30995200,34.695
"23",69.32,70.900002,67.550003,70.290001,26802600,35.145
"24",70.650002,71.739998,64.480003,67.43,34613200,33.715
"25",66.239998,72.300003,65.550003,72.220001,32332800,36.110001
"26",72.400002,72.93,68.57,70.129997,26478600,35.064999
"27",70.910004,72.089996,67.949997,71.309998,29275400,35.654999
"28",70.449997,74.360001,70.370003,74.029999,23759800,37.014999
"29",74.400002,76.25,72.730003,74.860001,32929800,37.43
"30",75.160004,77.019997,72.190002,76.989998,23348800,38.494999
"31",77.129997,81.260002,76.660004,79.029999,37072400,39.514999
"32",80.279999,83.43,79.029999,80.309998,36212600,40.154999
"33",81.080002,82.449997,79.279999,82.239998,30753000,41.119999
"34",82.080002,87.910004,81.18,87.860001,21140200,43.93
"35",87.959999,91.160004,84.379997,91.110001,20566000,45.555
"36",86.830002,90.730003,86.25,87.160004,31448000,43.580002
"37",87.669998,89.339996,84.599998,87.410004,24514000,43.705002
"38",87.699997,99.879997,86.279999,96.239998,26135800,48.119999
"39",96.580002,102.230003,94.809998,96.269997,23419200,48.134998
"40",97.860001,103.209999,92.690002,101.050003,20592600,50.525002
"41",101.370003,108,97.900002,104.730003,21082400,52.365002
"42",104.830002,116.370003,103.639999,109.889999,17778000,54.945
"43",110.470001,113.620003,55.900002,59.049999,20399900,59.049999
"44",59.049999,59.220001,53.68,56.049999,26298000,56.049999
"45",56.389999,58.34,54.040001,58.049999,29548500,58.049999
"46",57.689999,59.290001,55.369999,56.689999,22113900,56.689999
"47",57.049999,60.810001,54.91,60.779999,31596600,60.779999
"48",60.790001,62.27,58.759998,60.110001,24843500,60.110001
"49",60.09,61.5,59.189999,60.32,17444000,60.32
"50",60.619999,63.099998,59.68,61.669998,19301100,61.669998
"51",61.560001,64.809998,60.540001,64.470001,20547500,64.470001
"52",64.57,66.110001,63.459999,64.639999,17123600,64.639999
"53",64.580002,70.07,60.549999,69.480003,29426800,69.480003
"54",69.620003,71.919998,69.129997,71.489998,21627500,71.489998
"55",71.220001,73.269997,68.050003,70.970001,28780400,70.970001
"56",71.489998,74.610001,69.129997,72.529999,23022000,72.529999
"57",73.110001,79.550003,71.779999,78.07,24115900,78.07
"58",78.32,80.970001,76.339996,79.400002,22407100,79.400002
"59",79.370003,80.440002,76.919998,77.599998,17613200,77.599998
"60",78.07,81.660004,77.07,80.150002,20214000,80.150002
"61",80.599998,81.489998,79.169998,80.419998,6587800,80.419998
