"","stock_data$SWK.Open","stock_data$SWK.High","stock_data$SWK.Low","stock_data$SWK.Close","stock_data$SWK.Volume","stock_data$SWK.Adjusted"
"1",53.970001,57.419998,49.669998,50.52,36107700,44.782066
"2",50.34,58.610001,48.759998,58.02,44052000,51.430235
"3",59.049999,59.400002,52.32,53.639999,29618900,47.547703
"4",54.349998,61.759998,54.16,61.279999,31794900,54.666479
"5",61.950001,64.209999,58.880001,61.970001,36749300,55.282015
"6",60.549999,63.369999,58.34,59.529999,38063600,53.105344
"7",60.169998,67.699997,59.889999,66.870003,40669300,59.995853
"8",67.400002,73.489998,64.830002,72.68,35058500,65.208591
"9",73.040001,76.800003,71.519997,75.830002,26844900,68.40819
"10",76.010002,77.440002,72.220001,76.599998,30547100,69.102824
"11",77.330002,78.190002,72.059998,72.650002,36402700,65.53943
"12",73.110001,76.389999,71.029999,73.879997,38833400,67.020524
"13",73.739998,73.809998,66.529999,72.050003,38951700,65.360437
"14",72.169998,75.669998,63.91,65.769997,39227200,59.663505
"15",66.559998,66.599998,55.799999,61.98,48251600,56.59932
"16",61.779999,62.59,47.27,49.099998,47910500,44.837473
"17",48.610001,66.830002,47.07,63.849998,39743700,58.306979
"18",61.900002,68.32,60,65.43,31781300,60.140959
"19",65.110001,69,62.25,67.599998,29994900,62.135546
"20",69.029999,73.290001,68.690002,70.18,35740300,64.506993
"21",71.370003,77.400002,70.610001,76.800003,29316500,70.591867
"22",76.989998,81.900002,73.419998,76.959999,43273300,71.122211
"23",76.559998,79.239998,71.419998,73.160004,46945200,67.610463
"24",73.019997,74.540001,65.230003,66.25,45359600,61.224617
"25",64.629997,65.690002,59.529999,64.360001,40683200,59.863409
"26",64.639999,69.089996,58.59,66.889999,49912900,62.216647
"27",67.32,69.18,64.339996,65.779999,25812000,61.184198
"28",65.720001,78.470001,65.010002,76.25,32401700,71.453675
"29",76.5,77.449997,67.029999,69.300003,37424500,64.940851
"30",69.559998,73.870003,66.18,71.910004,26636900,67.386675
"31",72.25,75.089996,68.870003,73.970001,22712200,69.805663
"32",75.230003,78.389999,73.879997,76.830002,34185300,72.504653
"33",77.480003,79.5,75.080002,78.699997,26231000,74.269371
"34",78.190002,82.43,76.120003,80.970001,31836900,76.891414
"35",80.769997,81.160004,73.879997,74.809998,34806000,71.041699
"36",74.610001,83.260002,74.230003,79.220001,25902300,75.229564
"37",79.150002,81.379997,73.769997,77.300003,19705700,73.863148
"38",77.910004,85.120003,77.010002,84.620003,19361900,80.857692
"39",85.220001,89.5,84.330002,85.260002,24803700,81.469236
"40",86.459999,92.360001,85.510002,90.57,14912800,87.047943
"41",91.230003,92.760002,74.129997,79.089996,52470700,76.01437
"42",79.330002,84,78.169998,81.389999,27550000,78.224931
"43",81.379997,81.550003,78.870003,80.690002,30286400,78.041012
"44",80.57,83.220001,76.18,77.400002,36655200,74.859019
"45",78,83.760002,75,83.040001,24261200,80.313862
"46",81.620003,82.959999,78.5,81.239998,23904000,79.048924
"47",81.120003,86.010002,75.900002,85.889999,33324200,83.573513
"48",85.690002,88.059998,84.190002,87.400002,18216600,85.04279
"49",87.089996,89.050003,86.029999,87.82,16458500,85.943125
"50",88.129997,91.25,84.830002,87.449997,24958600,85.581029
"51",86.970001,91.959999,86.010002,91.5,17493400,89.544477
"52",91.279999,95.400002,88.489998,88.790001,21353400,87.388543
"53",88.790001,93.709999,79.029999,93.639999,33957900,92.161989
"54",93.75,96.550003,92.779999,94.440002,18691600,92.949365
"55",94.18,97.720001,92.540001,96.080002,23253500,95.086818
"56",96.57,96.809998,90.080002,93.650002,29779300,92.681936
"57",93.440002,100.440002,93.120003,98.339996,22035900,97.32345
"58",97.82,98.989998,93.279999,95.360001,27199000,94.875937
"59",95.349998,101.059998,94.599998,98.699997,20683000,98.198979
"60",98.989998,104.470001,98.82,102.440002,20915100,101.92
"61",102.360001,106.519997,101.940002,106.389999,9549700,106.389999
