"","stock_data$CBS.Open","stock_data$CBS.High","stock_data$CBS.Low","stock_data$CBS.Close","stock_data$CBS.Volume","stock_data$CBS.Adjusted"
"1",14,15.4,12.86,12.93,146455400,12.213919
"2",12.89,15.28,12.26,14.78,194906800,13.961462
"3",14.98,15.76,13.01,13.82,231087800,13.054629
"4",14.06,16.23,14.06,15.86,210098600,15.032643
"5",15.98,18.200001,15.89,16.93,210978300,16.046826
"6",17.120001,17.76,15.99,16.84,230699800,15.961521
"7",17.16,19.65,16.969999,19.049999,157727900,18.106697
"8",19.27,20.860001,18.98,19.83,201298500,18.848075
"9",19.93,24.02,19.75,23.860001,220421700,22.678521
"10",23.950001,26.17,22.32,25.040001,256226000,23.850408
"11",25.16,25.700001,23.35,25.219999,163669900,24.021855
"12",25.43,28.34,24.950001,27.950001,226210000,26.62216
"13",27.76,29.129999,25.030001,28.49,198924000,27.239102
"14",28.59,29.68,26.91,27.370001,171249900,26.168278
"15",27.610001,27.9,20.940001,25.049999,329511500,23.95014
"16",25.040001,25.540001,20.07,20.379999,211295800,19.570457
"17",20.26,26.77,17.99,25.809999,187958900,24.784765
"18",24.5,26.84,23.35,26.040001,189911600,25.00563
"19",26.120001,27.719999,24.49,27.139999,137757600,26.161673
"20",27.85,29.360001,27.18,28.48,119522500,27.45337
"21",28.92,30.379999,28.219999,29.9,134729700,28.822182
"22",29.950001,33.939999,28.85,33.91,156313300,32.797729
"23",33.799999,34.560001,31.25,33.380001,150953700,32.285115
"24",33.540001,35,29.809999,31.92,184388100,30.873003
"25",31.219999,32.779999,29.950001,32.779999,133512200,31.804399
"26",32.759998,33.889999,29.85,33.459999,114198700,32.464162
"27",33.599998,36.75,32.66,36.34,110354500,35.258448
"28",36.23,38.32,35.310001,36.330002,134476600,35.3681
"29",36.400002,36.650002,31.84,32.400002,157817300,31.542153
"30",32.560001,36.07,32.529999,35.98,138562300,35.027364
"31",36.209999,38.099998,34.720001,38.049999,115567400,37.167667
"32",38.82,43.139999,37.43,41.720001,178841600,40.752566
"33",42.099998,45.869999,41.330002,43.389999,137014800,42.383839
"34",42.93,47.419998,42.799999,46.689999,134986000,45.729778
"35",46.73,47.150002,43.77,45.779999,137838400,44.838493
"36",45.75,52.459999,45.470001,49.5,130157400,48.48199
"37",49.5,50.130001,45.610001,48.869999,121854200,47.984358
"38",48.889999,53.84,48.450001,52.84,85051300,51.882414
"39",54.240002,55.580002,50.509998,51.099998,79773900,50.173945
"40",52.619999,57.470001,52.549999,55.16,80130000,54.281127
"41",55.290001,60.189999,53.009998,59.139999,91852400,58.197713
"42",59.279999,61.080002,56.630001,58.560001,94520500,57.626956
"43",58.599998,64.059998,57.52,63.740002,83984500,62.852478
"44",63.25,63.84,57.369999,58.720001,104291200,57.902377
"45",58.59,67.470001,55.709999,67.080002,127181500,66.145972
"46",65.82,68.099998,60.759998,61.799999,114110000,61.047936
"47",62.25,63.959999,56.5,57.759998,170066200,57.057099
"48",57.849998,61.259998,55.009998,59.610001,159240600,58.884589
"49",59.619999,63.75,57.759998,62.139999,205672600,61.505833
"50",62.34,65.239998,56.810001,56.830002,552479000,56.250026
"51",56.470001,61.369999,56.450001,59.290001,116464200,58.68492
"52",59.299999,59.700001,53.490002,53.5,166718400,53.088071
"53",53.5,54.860001,48.830002,54.220001,181083400,53.802528
"54",54.650002,55.040001,50.52,54.880001,153204800,54.457447
"55",54.560001,56.669998,51.389999,55.34,130218100,55.067984
"56",55.75,57.450001,52.939999,54.810001,127672200,54.540591
"57",54.849998,60.790001,54.389999,59.099998,117154800,58.809501
"58",59.25,63.709999,59.119999,60.630001,126526000,60.481715
"59",60.43,63.310001,59.09,62.130001,75019700,61.978046
"60",62.41,63.950001,58.759998,61.720001,72627500,61.569049
"61",61.959999,62.509998,59.130001,59.490002,28690800,59.490002
