"","stock_data$LM.Open","stock_data$LM.High","stock_data$LM.Low","stock_data$LM.Close","stock_data$LM.Volume","stock_data$LM.Adjusted"
"1",30.610001,33.5,27.99,28.030001,38804600,26.313784
"2",28.129999,30.299999,26.82,28.889999,71568000,27.121127
"3",29.280001,29.709999,24.940001,25.33,55532500,23.779098
"4",25.719999,31.040001,25.549999,30.309999,31018800,28.454183
"5",30.639999,31.99,29.68,31.030001,33734800,29.168746
"6",31.35,35.57,30.940001,32.619999,42379500,30.663372
"7",33.349998,37.720001,33.049999,36.27,32578200,34.152752
"8",36.75,37.189999,32.939999,33.130001,43958100,31.196049
"9",33.380001,37.290001,33.330002,36.25,30555300,34.133919
"10",36.400002,36.52,32.209999,36.09,32067700,34.041617
"11",36.450001,37.82,35.849998,37.150002,30818000,35.041456
"12",37.290001,37.580002,32.560001,33.84,39375400,31.919322
"13",33.529999,33.650002,30.860001,32.759998,41947600,30.978748
"14",32.889999,34.32,28.190001,29.42,35575600,27.820354
"15",29.610001,29.99,24.110001,28.469999,82769100,26.922008
"16",28.440001,29.35,24.26,25.709999,57847700,24.312076
"17",25.389999,29.559999,22.610001,27.5,58113600,26.092978
"18",26.059999,27.870001,23.049999,26.530001,49529100,25.172608
"19",26.32,27.299999,22.84,24.049999,35506900,22.889599
"20",24.67,28.27,23.75,25.469999,44395700,24.241085
"21",25.74,27.889999,25.58,27.389999,35405900,26.068446
"22",27.459999,29.49,26.49,27.93,36467700,26.659359
"23",27.9,28.469999,24.99,26.07,35865500,24.883977
"24",26.35,27,22.360001,25.450001,66526200,24.292184
"25",24.57,26.370001,23.93,26.370001,35202400,25.27895
"26",26.4,27,23.309999,24.52,31819300,23.505493
"27",24.620001,26.690001,24.129999,24.58,31646300,23.56301
"28",24.59,27.139999,24.370001,24.68,34230700,23.658873
"29",24.68,25.879999,23.879999,25.48,28570000,24.536845
"30",25.59,26.129999,24.6,25.530001,29905900,24.584995
"31",25.6,26.629999,24.91,25.719999,26550600,24.873602
"32",26.309999,28.52,25.43,27.65,40143800,26.74009
"33",27.450001,28.98,26.360001,28.5,42073000,27.562118
"34",28.299999,32.59,27.879999,32.150002,34885500,31.204583
"35",32.119999,32.459999,29.610001,31.860001,27438600,30.92311
"36",32,37.040001,31.139999,35.040001,33056600,34.009598
"37",35.150002,35.52,29.280001,31.01,44539100,30.213593
"38",31.09,35.849998,30.280001,34.389999,36645400,33.506786
"39",34.869999,35.150002,32.110001,32.52,25418600,31.684813
"40",33.02,35.330002,32.509998,33.439999,22356000,32.581184
"41",33.360001,39.389999,32.439999,38.470001,28870000,37.628288
"42",38.560001,40.66,38.209999,39.110001,24083300,38.254284
"43",39.139999,44.09,38.150002,43.48,31105800,42.667685
"44",43.43,45.75,40.950001,42.349998,38860000,41.558795
"45",42.189999,46.240002,39.599998,45.959999,25148800,45.101352
"46",45.25,49.5,44.830002,49.040001,26159600,48.258671
"47",48.990002,49.5,43.25,46.889999,24907600,46.142924
"48",46.5,49.400002,44.540001,48.84,20324500,48.061857
"49",48.91,51.799999,48.32,51.310001,14238200,50.654274
"50",51.48,52,47.41,47.450001,16219500,46.843603
"51",47.200001,50,45.68,49.32,15503300,48.689704
"52",49.48,52,48.389999,51.16,18634300,50.50619
"53",51.150002,52.880001,45.779999,52,29379800,51.495256
"54",52.009998,57.150002,51.75,56.75,20404700,56.19915
"55",56.400002,56.450001,49.369999,53.369999,30278500,53.020676
"56",53.93,56.68,52.16,55.439999,20018800,55.077127
"57",55.82,59.189999,54.610001,57.27,15405200,56.895151
"58",57.330002,58.790001,54.66,55.200001,17691800,54.994299
"59",54.959999,55.77,52.380001,52.650002,17983700,52.453802
"60",53.720001,55.880001,52.84,53.360001,19477800,53.161156
"61",53.73,55.130001,53.139999,53.849998,9436400,53.649327
