"","stock_data$APD.Open","stock_data$APD.High","stock_data$APD.Low","stock_data$APD.Close","stock_data$APD.Volume","stock_data$APD.Adjusted"
"1",68.489998,72.940002,64.620003,64.809998,26540400,56.82517
"2",64.540001,73.989998,64.129997,72.580002,30369100,63.637882
"3",73.580002,77.839996,72.809998,74.029999,31360300,64.909234
"4",74.970001,84.43,74.040001,82.82,33595500,73.042508
"5",83.220001,86.5,80.900002,84.970001,24589600,74.938687
"6",85.5,87.68,82.860001,86.220001,18401600,76.041115
"7",87.889999,91.389999,86.019997,90.949997,22235300,80.645761
"8",91.540001,91.709999,85.540001,87.25,30596600,77.364958
"9",88.440002,95,87.870003,92,28948200,81.576803
"10",92.459999,92.5,83.220001,90.18,36831000,80.480042
"11",90.529999,96,89.18,95.519997,21336400,85.245657
"12",96,96,89.25,95.089996,19947200,84.861909
"13",94.93,95.93,89.25,95.580002,28499100,85.824068
"14",95.470001,98,87.75,88.730003,23437100,79.673255
"15",89.970001,90.110001,74.580002,81.870003,43017100,73.513461
"16",81.639999,83.139999,75.040001,76.370003,33665100,69.082035
"17",75.900002,90.199997,72.260002,86.139999,30581300,77.919683
"18",82.980003,87.760002,76.639999,83.75,21619200,75.757761
"19",83.709999,86.629997,80.029999,85.190002,21041100,77.589905
"20",86.620003,92.230003,85.599998,88.029999,22026100,80.176535
"21",88.989998,92.440002,88.519997,90.239998,15791900,82.189373
"22",90.669998,92.480003,88.150002,91.800003,19841100,84.201548
"23",91.830002,92.790001,81.580002,85.489998,29378700,78.413834
"24",84.82,86.849998,77.580002,79.040001,25569700,72.497715
"25",77.779999,81.720001,76.110001,80.730003,29595200,74.666833
"26",79.949997,82,77.209999,80.43,23640800,74.389362
"27",80.830002,85.169998,79.389999,82.580002,17920800,76.377889
"28",82.459999,85.830002,81.160004,82.699997,16591600,77.081951
"29",82.529999,85.949997,76.779999,77.529999,26045200,72.263165
"30",78.07,83.339996,77,82.940002,30645400,77.305652
"31",83.199997,86.309998,81.160004,84.019997,18848900,78.907808
"32",85.459999,89.989998,85.040001,87.43,20555100,82.110331
"33",88.150002,89.129997,84.150002,86.339996,18575000,81.086648
"34",85.849998,90.339996,85.32,87.120003,18734900,82.485306
"35",86.690002,87.32,84.040001,86.959999,23948000,82.333815
"36",86.690002,96.150002,85.629997,94.410004,27969100,89.387487
"37",94.389999,97.120003,91.309998,91.57,36465400,87.343676
"38",91.510002,109.980003,90.120003,108.639999,64006300,103.625826
"39",109.489998,111,99.760002,102.139999,31512800,97.425828
"40",103.300003,114.75,102.029999,106.57,21807900,102.313073
"41",105.720001,111.949997,102.230003,109.010002,28526200,104.65561
"42",108.949997,111.610001,107.43,108.830002,18344700,104.4828
"43",108.949997,113.989998,105.739998,111.779999,19269300,107.990914
"44",111.559998,113.220001,103.809998,105.139999,24021500,101.575995
"45",105.470001,122.239998,102.730003,121.32,31160800,117.207531
"46",120.589996,124.400002,117.279999,119.040001,25201600,115.757379
"47",118.93,122.919998,114.279999,117.519997,24206700,114.27929
"48",117.57,120.849998,116.290001,119.970001,14331800,116.661734
"49",120,131.479996,119.32,128.619995,30454100,125.825235
"50",128.300003,136.910004,127.260002,131.949997,26260200,129.08288
"51",131.460007,135.529999,130.679993,133.210007,23162000,130.315511
"52",133.169998,137.449997,126.82,130.179993,46376900,128.083134
"53",129.440002,136.080002,118.199997,134.660004,52988200,132.490984
"54",134.610001,146.460007,133.070007,143.830002,23303700,141.513277
"55",143.630005,149.610001,135.410004,144.229996,24322400,142.647277
"56",143.389999,149,137.070007,145.610001,25187900,144.012139
"57",144.369995,157.729996,141.880005,156.139999,16902000,154.426586
"58",156.139999,158.199997,148.910004,151.279999,20741500,150.417551
"59",150.889999,153.929993,142.270004,143.429993,23659600,142.612298
"60",143.75,149.369995,143.509995,146.759995,18179100,145.923315
"61",147.649994,149.089996,143.660004,145.940002,7263500,145.107998
