"","stock_data$OKE.Open","stock_data$OKE.High","stock_data$OKE.Low","stock_data$OKE.Close","stock_data$OKE.Volume","stock_data$OKE.Adjusted"
"1",43.990006,48.220008,43.07999,43.249997,25468700,15.995482
"2",43.119993,47.98999,41.789991,46.530005,27767800,17.375384
"3",47.100012,47.980007,42.53,42.910009,32671600,16.023593
"4",43.590007,45.160005,43.289996,45.040005,33658800,16.818983
"5",45.349998,50.809992,45.059995,49.82,37100100,18.783982
"6",50.110003,52.429997,49.590008,51.109999,24796000,19.270359
"7",51.73999,56.089991,51.310001,55.470004,29907900,20.914243
"8",55.840009,59.500008,54.529998,58.890003,29667300,22.400703
"9",59.170002,64.989992,58.48,64.570006,29477600,24.561275
"10",64.850005,66.999987,61.600009,66.879992,37187600,25.439952
"11",67.350006,69.989997,63.429998,69.93999,27869300,26.80748
"12",70.109993,71.130001,66.369996,71.090002,41104100,27.248271
"13",70.829994,74.659996,68.099997,74.009988,46424400,28.36748
"14",74.080007,76.269997,71.509988,72.790009,36261700,28.11308
"15",73.600007,73.699994,58.610004,70.900009,71978800,27.383121
"16",71.140009,72.11001,63.259991,66.039995,48511100,25.506078
"17",65.89,77.279992,62.430002,76.050004,46101500,29.372161
"18",73.800008,83.67001,73.129992,83.159997,35849300,32.357722
"19",82.78001,87.179988,80.310005,86.69001,34769100,33.731257
"20",88.010007,89.630012,82.810005,83.159997,36534800,32.583535
"21",81.61999,84.420006,80.110003,82.639998,35689200,32.37979
"22",82.669992,85.280011,80.680005,81.659988,29911700,31.995805
"23",81.359999,86.459996,79.129993,85.889994,28040300,33.898311
"24",86.049988,87.730008,81.09999,82.98999,28527800,32.753763
"25",81.939987,82.290006,39.319994,42.309999,37686100,33.397081
"26",42.580003,45.940004,42.03,44.510001,24066500,35.133636
"27",44.239998,46.069995,41.919995,44.530005,27353600,35.410969
"28",44.519997,49.360003,44.390006,48.31,18650500,38.416882
"29",48.43,49.790005,46.229998,47.299996,18952300,37.61371
"30",47.279997,47.499998,43.829995,44.870002,30462300,35.932033
"31",44.990002,45.339994,41.42,42.749997,40262700,34.234327
"32",43.340003,47.639997,43.240002,47.010006,30296500,37.934044
"33",47.270006,48.219995,44.110007,44.990002,30460200,36.304031
"34",44.830003,47.790001,44.439999,47.670001,25933500,38.466617
"35",47.650001,52.46,47.050005,51.360003,34194400,41.736184
"36",48.500007,49.830004,45.130002,45.139997,41308900,36.68168
"37",45.179996,45.580003,40.420004,41.310004,32388900,33.56935
"38",41.579999,55.489995,39.390001,52.950005,59409300,43.028252
"39",53.230004,53.519998,49.830004,51.440005,39306800,42.103351
"40",51.880003,55.22,50.550001,53.319996,27145600,43.642113
"41",53.299997,57.560001,52.280002,56.499995,34976400,46.556227
"42",56.499995,59.510003,55.650007,58.069997,26946800,47.849916
"43",58.160002,62.230001,57.029998,62.179998,30272200,51.236573
"44",62.150003,68.549999,61,68.490001,43865500,56.436042
"45",60.709999,61.779999,57.91,59.139999,34229500,56.03879
"46",58.59,60.48,57.299999,59.25,22358400,56.143023
"47",59.43,63.360001,58.110001,63.220001,21627500,60.444789
"48",63.240002,65.309998,61.5,64.489998,21569300,61.659036
"49",64.629997,68.139999,63.650002,68.080002,22749400,65.091447
"50",68.07,68.459999,64.059998,64.43,17290000,62.142325
"51",64.080002,70.230003,60.889999,70.199997,20816900,67.70745
"52",70.220001,71.190002,65.050003,65.550003,18831900,63.222561
"53",65.599998,66.199997,52.060001,58.939999,43636500,57.417854
"54",59.130001,59.66,54.009998,54.16,28794000,52.7613
"55",54.099998,55.259998,43.360001,49.790001,63032400,48.504158
"56",49.900002,50.349998,39.529999,44.029999,53115900,43.481551
"57",44.400002,48.669998,43.580002,44.259998,41259200,43.708685
"58",44.259998,48.720001,43.59,48.240002,47664500,47.639113
"59",48.220001,51.529999,47.259998,48.099998,31800400,48.099998
"60",48.119999,48.970001,41.610001,41.919998,46702700,41.919998
"61",41.880001,42.07,38.639999,39.32,18001600,39.32
