"","stock_data$FSLR.Open","stock_data$FSLR.High","stock_data$FSLR.Low","stock_data$FSLR.Close","stock_data$FSLR.Volume","stock_data$FSLR.Adjusted"
"1",106.300003,126.489998,104.5,113.830002,34226000,113.830002
"2",113.610001,140,112.059998,125.449997,39912400,125.449997
"3",126.339996,132,121.720001,127.849998,26952900,127.849998
"4",129.300003,151.389999,127.709999,147.350006,29118700,147.350006
"5",148.960007,153.300003,136.199997,137.679993,38537500,137.679993
"6",137.839996,142.419998,120.900002,122.849998,44339400,122.849998
"7",124.989998,140.729996,124.559998,130.139999,29625100,130.139999
"8",131.850006,158.710007,130.240005,154.580002,31614000,154.580002
"9",155.899994,175.449997,146.789993,147.389999,36134500,147.389999
"10",148.300003,161.009995,137.100006,160.839996,44598400,160.839996
"11",163,163,132.169998,139.570007,33306700,139.570007
"12",140.839996,140.869995,114.400002,124.25,44185500,124.25
"13",125.830002,142.220001,111.400002,132.270004,39912100,132.270004
"14",130.660004,134.210007,115.620003,118.230003,23793400,118.230003
"15",121.349998,123.860001,87.290001,99.980003,51323800,99.980003
"16",99.5,99.5,61.549999,63.209999,67697500,63.209999
"17",61.830002,67.720001,42.5,49.77,115942500,49.77
"18",47.5,52.700001,40.049999,47.860001,66853600,47.860001
"19",47.630001,51.889999,29.870001,33.759998,99366800,33.759998
"20",35,47.099998,33.5,42.279999,89373600,42.279999
"21",43.490002,50.200001,31.860001,32.299999,110332700,32.299999
"22",32.459999,32.549999,24.5,25.049999,136783300,25.049999
"23",25.139999,25.16,17.809999,18.4,145729000,18.4
"24",19.17,19.48,12.19,12.56,133657300,12.56
"25",12.13,16.42,11.43,15.06,157435400,15.06
"26",15.19,16.190001,13.81,15.54,69338800,15.54
"27",15.6,26.309999,14.59,19.99,219640300,19.99
"28",19.799999,24.93,18.299999,22.15,153937900,22.15
"29",22.43,25.940001,19.68,24.299999,115687500,24.299999
"30",24.5,27.75,22.200001,26.99,94949700,26.99
"31",27.23,33.380001,26.92,30.860001,90973700,30.860001
"32",32.02,35.599998,27.67,28.18,80737400,28.18
"33",28.41,36.98,25.5,25.84,132689900,25.84
"34",25.48,29.709999,24.459999,26.959999,91384300,26.959999
"35",27.27,47.459999,25.66,46.560001,199864900,46.560001
"36",46.700001,59,42.610001,54.389999,166858000,54.389999
"37",54.240002,56.700001,40.459999,44.810001,153512700,44.810001
"38",45.380001,51.599998,44.169998,49.220001,94275700,49.220001
"39",49.639999,49.900002,36.599998,36.720001,103041600,36.720001
"40",37.150002,41.919998,35.59,40.209999,73094400,40.209999
"41",40.310001,56.25,40,50.310001,141424400,50.310001
"42",55.639999,65.989998,54.77,59.82,117602300,59.82
"43",59.77,61.849998,53.07,54.639999,67799700,54.639999
"44",54.279999,58.299999,47.75,50.580002,88341300,50.580002
"45",50.41,58.849998,47.040001,57.07,89680600,57.07
"46",55.709999,74.839996,52.419998,69.790001,139517400,69.790001
"47",70.040001,74.18,63.310001,67.489998,82968200,67.489998
"48",66.959999,70,57.799999,61.779999,63850100,61.779999
"49",62.290001,72.68,61.119999,71.059998,66401000,71.059998
"50",71.519997,71.800003,60.75,63.110001,50951900,63.110001
"51",62.490002,71.75,60.150002,69.68,52394500,69.68
"52",69.709999,73.779999,64.93,65.809998,37839000,65.809998
"53",65.82,65.870003,50.130001,58.900002,62668500,58.900002
"54",58.779999,59.779999,45.939999,48.799999,57834500,48.799999
"55",48.290001,48.779999,40.540001,44.599998,50723100,44.599998
"56",44.720001,45.34,39.18,42.32,46963400,42.32
"57",42.68,60.209999,42.59,59.75,100770100,59.75
"58",59.41,63.099998,58.610001,59.790001,50132000,59.790001
"59",59.84,65.5,59.009998,59.669998,34395100,59.669998
"60",57.5,59.970001,49.700001,49.709999,40988000,49.709999
"61",49.759998,51.740002,49.009998,50.290001,15982100,50.290001
