"","stock_data$LTD.Open","stock_data$LTD.High","stock_data$LTD.Low","stock_data$LTD.Close","stock_data$LTD.Volume","stock_data$LTD.Adjusted"
"1",20.375,20.875,17.97,17.97,0,16.814
"2",17.905,20.09,17.81,19.33,0,18.087
"3",19.64,20.14,18.825,18.825,0,17.751
"4",18.575,20.765,18.575,20.13,0,18.982
"5",19.16,21.21,19.16,20.9,0,19.708
"6",21.065,25.42,20.775,25.335,0,24.04
"7",25.75,26.22,22.765,23.09,0,21.91
"8",23.13,23.13,20.705,21.14,0,20.06
"9",21.21,24.545,20.98,23.32,0,22.312
"10",23.16,23.175,21.59,23.125,0,22.126
"11",22.885,27.325,22.825,27.23,0,26.053
"12",27.42,30.06,26.95,27.425,0,26.24
"13",27.26,27.26,24.035,26.16,0,25.218
"14",26.62,28.635,25.905,25.905,0,24.972
"15",26.575,26.575,22.165,26.45,0,25.717
"16",26.16,31.235,24.695,29.205,0,28.396
"17",28.75,31.63,28.45,30.94,0,30.082
"18",30.515,32.365,28.84,30.44,0,29.796
"19",31.28,32.39,28.965,31.345,0,30.681
"20",30.91,32.215,29.81,31.015,200,30.358
"21",31.885,35.19,31.74,34.84,0,34.348
"22",34.645,37.165,34.34,36.105,0,35.595
"23",35.915,38.375,35.5,38.375,0,37.833
"24",38.375,39.165,35.305,36.93,0,36.408
"25",35.6,35.6,32.515,32.96,0,32.737
"26",33.46,37.035,33.46,36.87,0,36.62
"27",36.87,36.87,36.87,36.87,0,36.87
"28",36.87,36.87,36.87,36.87,0,36.87
"29",36.87,36.87,36.87,36.87,0,36.87
"30",36.87,36.87,36.87,36.87,0,36.87
"31",36.87,36.87,36.87,36.87,0,36.87
"32",36.87,36.87,36.87,36.87,0,36.87
"33",36.87,36.87,36.87,36.87,0,36.87
"34",36.87,36.87,36.87,36.87,0,36.87
"35",36.87,36.87,36.87,36.87,0,36.87
"36",36.87,36.87,36.87,36.87,0,36.87
"37",36.87,36.87,36.87,36.87,0,36.87
"38",36.87,41.745,36.87,41.65,0,41.65
"39",42.125,46.1,42.125,43.44,0,43.44
"40",43.61,45.075,42.865,45.075,0,45.075
"41",45.14,45.555,41.295,45.145,0,45.145
"42",46.19,48.105,46.085,47.94,500,47.94
"43",47.725,48.295,43.82,44.14,0,44.14
"44",44.14,45.325,38.17,38.81,0,38.81
"45",38.705,41.335,37.625,40.8,200,40.8
"46",40.405,42.515,40.405,41.17,0,41.17
"47",41.16,42.99,38.885,39.265,200,39.265
"48",39.265,42.16,38.255,41.62,100,41.62
"49",42.05,43.475,41.89,42.75,0,42.75
"50",42.84,45.19,42.01,43.77,0,43.77
"51",43.34,48.64,43.16,48.36,0,48.36
"52",48.53,53.69,48.42,53.36,0,53.36
"53",52.92,58.12,51.51,58.12,0,58.12
"54",57.56,64.77,57.56,64.27,0,64.27
"55",64.72,70.97,64.72,70.83,0,70.83
"56",70.83,76.28,68.94,76.28,0,76.28
"57",74.94,82.95,74.54,81.87,0,81.87
"58",82.22,87.35,81.59,86.96,0,86.96
"59",86.98,89.12,80.17,80.17,0,80.17
"60",80.17,81.67,76.35,79.6,0,79.6
"61",79.13,79.13,74.07,74.15,0,74.15
