"","stock_data$T.Open","stock_data$T.High","stock_data$T.Low","stock_data$T.Close","stock_data$T.Volume","stock_data$T.Adjusted"
"1",25.200001,25.66,24.110001,24.190001,446435600,18.166634
"2",24.26,26.41,23.879999,25.940001,617312000,19.821938
"3",26.5,27.389999,26.200001,27.030001,609417100,20.654856
"4",27.24,29.15,27.059999,28.6,514857600,21.854565
"5",28.85,29.43,27.860001,28.52,522207600,22.109716
"6",28.83,29.49,27.49,27.790001,435126100,21.543795
"7",28.120001,29.559999,28.030001,29.379999,459726000,22.776418
"8",29.68,30.1,27.200001,27.52,693889800,21.644932
"9",27.92,28.59,27.559999,28.379999,442158800,22.321336
"10",28.450001,30.969999,27.27,30.610001,820979500,24.075268
"11",30.870001,31.82,29.91,31.120001,592424500,24.82409
"12",31.6,31.940001,30.9,31.559999,465616200,25.175073
"13",31.43,31.58,30.110001,31.41,483674000,25.05542
"14",31.42,31.780001,28.77,29.26,482818300,23.662066
"15",30.059999,30.08,27.33,28.48,942937600,23.031293
"16",28.59,29.18,27.290001,28.52,790385600,23.063641
"17",28.639999,29.799999,27.549999,29.309999,559009100,24.068069
"18",29.030001,29.549999,27.41,28.98,495011600,23.797087
"19",28.93,30.299999,28.51,30.24,507085200,24.831744
"20",30.459999,30.68,29.02,29.41,598734600,24.50486
"21",29.91,30.639999,29.58,30.59,475436400,25.488054
"22",30.540001,31.969999,30.440001,31.23,684160200,26.021311
"23",31.280001,32.950001,29.950001,32.91,493379500,27.808692
"24",32.93,34.41,32.470001,34.169998,592937500,28.873381
"25",34.099998,36,33.779999,35.66,696778300,30.13242
"26",35.700001,38.110001,34.240002,37.919998,549411700,32.441154
"27",38.139999,38.279999,36.43,36.639999,480850300,31.346095
"28",36.580002,38.580002,36.540001,37.700001,503306500,32.252943
"29",37.630001,38.43,33,34.59,555546200,29.93584
"30",34.84,35.380001,32.709999,34.130001,579795500,29.537735
"31",34.23,34.689999,33.099998,33.709999,489829700,29.174245
"32",34.389999,35.5,32.759998,34.790001,587300900,30.496708
"33",35.16,36.25,35,35.91,462409500,31.478493
"34",35.689999,36.869999,35.630001,36.689999,463199400,32.162235
"35",36.709999,39,36.630001,37.459999,675237900,33.230526
"36",37.459999,37.970001,34.98,34.990002,453516300,31.039407
"37",34.990002,36.389999,34.099998,35.400002,646004600,31.403115
"38",35.400002,36.310001,34.93,35.27,416285700,31.685743
"39",35.650002,35.849998,33.189999,33.830002,413327000,30.392081
"40",34.009998,35.009998,33.209999,33.82,417438100,30.383096
"41",33.790001,36.490002,33.09,36.200001,669464500,32.957436
"42",36.5,36.799999,34.560001,35.209999,394306900,32.056112
"43",35.18,35.299999,33.599998,35.16,434511200,32.010591
"44",35.240002,35.290001,32.009998,33.32,621799500,30.739996
"45",33.32,33.5,31.74,31.93,609197800,29.457626
"46",31.799999,35.5,31.76,35.07,653901300,32.354492
"47",35.009998,36.41,34.32,35.700001,607424800,33.36821
"48",35.75,36.860001,35,35.470001,538690500,33.153233
"49",35.5,35.75,34.619999,35.360001,402529100,33.050418
"50",35.23,37.48,35.029999,35.59,518705600,33.69571
"51",35.779999,35.82,34.169998,34.959999,379739700,33.099241
"52",34.93,35.549999,34.360001,35.240002,343246700,33.364341
"53",35.09,36.16,33.099998,34.84,606426800,33.420772
"54",34.970001,36.150002,34.220001,35.380001,364231700,33.938775
"55",35.279999,35.369999,32.07,33.59,575975900,32.221691
"56",33.59,34.23,32.41,32.919998,594245600,32.026978
"57",33.310001,35.07,32.799999,34.560001,443420200,33.622493
"58",34.560001,34.650002,32.52,32.650002,576704000,31.764306
"59",32.619999,35.23,32.369999,34.639999,608103800,34.184848
"60",34.560001,35.220001,33.029999,34.540001,637840200,34.086163
"61",34.529999,35.48,34.240002,34.720001,261020300,34.263798
