"","stock_data$AES.Open","stock_data$AES.High","stock_data$AES.Low","stock_data$AES.Close","stock_data$AES.Volume","stock_data$AES.Adjusted"
"1",10.05,10.82,9.15,9.24,118681600,8.82089
"2",9.2,10.71,8.82,10.31,136687900,9.842358
"3",10.46,11.4,10.03,10.24,120193000,9.775532
"4",10.36,11.57,10.29,11.35,86202500,10.835185
"5",11.44,12.54,11.3,11.94,96323600,11.398423
"6",12.06,12.14,10.7,10.81,117331600,10.319678
"7",10.95,12.46,10.87,12.18,110305500,11.627538
"8",12.34,13.27,12.19,12.4,135406600,11.837558
"9",12.49,12.92,11.99,12.37,83902600,11.808919
"10",12.41,13.4,12.09,13,124019400,12.410344
"11",13.06,13.5,12.42,13.24,113398400,12.639457
"12",13.3,13.42,12.3,12.96,143400400,12.372158
"13",12.93,13,12.03,12.74,131170600,12.162137
"14",12.73,13.2,12.16,12.31,114079800,11.751641
"15",12.39,12.43,9.22,10.86,209428000,10.36741
"16",10.85,11.15,9.69,9.76,168814900,9.317304
"17",9.68,11.7,9,11.22,136301600,10.711081
"18",10.8,12.14,10.8,12.08,122324900,11.532073
"19",12.01,12.24,11.43,11.84,111064900,11.302959
"20",12.03,13.15,11.85,12.76,109505500,12.18123
"21",12.84,14.01,12.68,13.56,83139800,12.944943
"22",13.46,13.72,12.75,13.07,106842000,12.477168
"23",13,13.25,11.97,12.52,102754700,11.952116
"24",12.48,12.8,11.66,12.09,137113800,11.54162
"25",11.88,12.88,11.64,12.83,107504100,12.248054
"26",12.94,12.94,11.65,12.06,119275700,11.512981
"27",12.12,12.34,11.32,11.39,115967900,10.873371
"28",11.36,11.6,10.83,10.97,125913600,10.472421
"29",10.96,11.25,10.34,10.45,99865200,10.014339
"30",10.49,10.8,9.52,10.67,140350700,10.225167
"31",10.76,11.08,10.41,10.7,89392500,10.253916
"32",10.89,11.36,10.66,10.84,134687000,10.42706
"33",10.93,11.8,10.8,11.62,110608400,11.177346
"34",11.56,12.73,11.52,12.57,122002100,12.091157
"35",12.57,13.94,12.36,13.86,127288300,13.371724
"36",13.86,14,12.07,12.2,134043200,11.770204
"37",12.21,12.61,11.17,11.99,112291200,11.567602
"38",12.11,12.9,11.62,12.44,84568100,12.040589
"39",12.53,13.38,12.38,12.71,84208800,12.301921
"40",12.87,13.77,12.55,13.29,84767100,12.863299
"41",13.33,14.49,13.16,14.09,80178200,13.675868
"42",14.08,15.3,13.61,14.57,109967800,14.141759
"43",14.57,15.54,13.49,14.51,168918200,14.083523
"44",14.51,14.8,13.42,14.06,120461400,13.696555
"45",14.06,14.94,13.57,13.65,103676800,13.297153
"46",13.58,14.44,13.53,14.28,102973600,13.910868
"47",14.33,14.64,14.01,14.45,104476400,14.125692
"48",14.46,14.77,13.42,14.1,107821400,13.783547
"49",14.09,15.65,13.96,15.55,129681600,15.201004
"50",15.57,15.64,14.58,14.61,90038300,14.32955
"51",14.52,15.21,14.01,15.18,71515200,14.888609
"52",15.17,15.21,14.05,14.18,74229400,13.907805
"53",14.19,14.45,12.38,14.07,125977700,13.851562
"54",14.15,14.25,13.01,13.87,123099200,13.654667
"55",13.8,14.49,12.78,13.77,132372100,13.55622
"56",13.86,13.87,12.17,12.22,118950800,12.127774
"57",12.24,13.01,11.53,12.97,133892900,12.872114
"58",12.91,13.02,11.83,12.85,137959800,12.75302
"59",12.86,13.67,12.64,13.25,103745000,13.15
"60",13.24,13.84,13.05,13.6,156321700,13.6
"61",13.59,13.73,12.9,13.32,52958900,13.32
