"","stock_data$PCG.Open","stock_data$PCG.High","stock_data$PCG.Low","stock_data$PCG.Close","stock_data$PCG.Volume","stock_data$PCG.Adjusted"
"1",40.34,43.790001,40.34,41.099998,33520500,33.502057
"2",40.970001,45.459999,40.52,44.400002,47762700,36.192006
"3",44.880001,47.73,44.5,46.759998,70553100,38.115722
"4",47.02,48.34,43.18,45.419998,125763700,37.394044
"5",45.580002,48.110001,45.380001,47.82,45311500,39.369952
"6",47.98,48.630001,46.16,46.93,38870200,38.63722
"7",47.349998,48.630001,46.610001,47.84,41249000,39.760665
"8",47.990002,47.990002,45.91,46.279999,50189600,38.46412
"9",46.48,46.91,44.810001,46.060001,42275200,38.281276
"10",46.259998,46.959999,41.450001,44.18,73564600,37.103507
"11",44.259998,46.470001,43.599998,46.080002,47527800,38.699178
"12",46.32,46.709999,42.599998,43.380001,69766300,36.431647
"13",43.299999,43.439999,41.18,42.029999,58643400,35.687747
"14",42.139999,43.34,41.330002,41.43,37885400,35.178287
"15",41.709999,42.48,37.57,42.349998,91449300,35.959459
"16",42.32,43.82,40.02,42.299999,59085800,36.30606
"17",42.16,43.560001,40.32,42.900002,66188000,36.821042
"18",42.130001,42.630001,36.84,38.84,71787800,33.336346
"19",38.73,41.799999,37.830002,41.220001,88062700,35.769292
"20",41.419998,42.27,39.849998,40.66,53922100,35.283342
"21",40.790001,42.68,40.77,41.68,58591900,36.168463
"22",41.82,43.959999,41.240002,43.41,83415000,38.065854
"23",43.43,44.209999,41.880001,44.18,42822600,38.741061
"24",44.220001,44.939999,43.25,43.700001,46793800,38.320154
"25",43.439999,45.560001,43.290001,45.27,61755600,40.100631
"26",45.549999,46.540001,44.169998,46.16,39308100,40.889001
"27",46.330002,47.029999,43.220001,43.41,47572000,38.453023
"28",43.450001,43.669998,42.119999,42.669998,41295500,38.201749
"29",42.68,44.110001,41.830002,42.52,56575200,38.067458
"30",42.52,42.669998,39.599998,40.950001,51077000,36.661863
"31",40.93,41.919998,39.400002,40.18,51913900,36.383687
"32",40.610001,42.709999,40.290001,42.639999,53993600,38.611259
"33",42.709999,43.290001,41,42.639999,56633200,38.611259
"34",42.57,44.57,42.380001,44.529999,63266100,40.748021
"35",44.509998,48.5,44.380001,48.439999,55505600,44.32594
"36",48.369999,48.450001,44.75,44.91,55246100,41.095748
"37",44.900002,46.330002,43.200001,45.73,70324400,42.270393
"38",46.080002,47.299999,44.110001,45.889999,59240000,42.418288
"39",46.240002,46.900002,41.080002,41.360001,50040400,38.230997
"40",41.560001,42.470001,40.560001,40.919998,73975400,38.239833
"41",40.900002,42.450001,39.950001,41.849998,52644900,39.10892
"42",42.009998,42.950001,39.91,40.369999,57669500,37.725857
"43",40.439999,41.459999,40.040001,40.279999,60967400,38.068807
"44",40.360001,42.389999,39.419998,42.150002,58763300,39.836155
"45",42.25,44.450001,40.919998,44.060001,51480200,41.641305
"46",43.869999,44.970001,41.57,43.200001,73699600,41.252403
"47",43.189999,46.110001,42.299999,45.580002,58789800,43.525106
"48",44.279999,45.990002,42.849998,45.869999,68688000,43.802029
"49",45.82,48.639999,45.27,48.02,57308800,46.298593
"50",48.040001,48.09,44.650002,44.669998,51834700,43.06868
"51",44.82,46.48,42.919998,46.48,48329200,44.813797
"52",46.459999,48.240002,43.759998,45.040001,65231300,43.872195
"53",45.189999,50.360001,44.169998,50.32,85505100,49.015293
"54",50.5,51.459999,48.919998,50.5,73359600,49.190626
"55",50.209999,55.240002,49.790001,53.240002,69283100,52.293296
"56",53.48,60.209999,53.060001,58.810001,69239900,57.764251
"57",58.849998,59.029999,53.380001,53.73,63108400,52.774581
"58",53.529999,54.790001,51.110001,53.07,67739300,52.583168
"59",53.169998,54.689999,51.400002,52.919998,67850400,52.434542
"60",52.939999,54.32,50.75,53.470001,48812000,52.9795
"61",53.790001,53.959999,50.240002,50.43,24808000,49.967386
