"","stock_data$FLS.Open","stock_data$FLS.High","stock_data$FLS.Low","stock_data$FLS.Close","stock_data$FLS.Volume","stock_data$FLS.Adjusted"
"1",88.199999,97.869987,84.120003,84.800011,53995800,26.769021
"2",84.399988,100.749985,83.600012,99.159988,59447700,31.302069
"3",101.700005,104.549995,87.759991,89.379988,47526600,28.214793
"4",90.600002,110.979984,90.600002,109.419994,41372100,34.634734
"5",110.619987,116.979984,99.189995,99.999985,60581100,31.653016
"6",100.470005,110.480015,96.27,105.459995,64258800,33.381274
"7",107.349987,119.829987,106.880013,119.220005,27357000,37.829811
"8",120,125.840012,112.220009,124.98999,49086600,39.66069
"9",125.790001,133.940014,120.299995,124.970009,33806700,39.65435
"10",125.300011,130.389988,117.500015,128.799992,35778900,40.974248
"11",129.540001,135.720005,123.849987,126.620007,35639100,40.280744
"12",127.629993,129.309986,114.879993,121.23,36269400,38.566059
"13",120.519985,121.179989,99.200008,109.890003,47665200,35.065485
"14",109.839993,112.569992,96.26001,99.380013,40542900,31.711787
"15",101.499985,101.640003,80.769991,94.340012,62564100,30.103542
"16",94.449989,95.180008,72.879988,74.00001,48386700,23.706842
"17",73.119987,99.180004,66.840002,92.690008,44699400,29.69442
"18",89.159998,102.860012,87.410007,102.770016,34872300,32.923678
"19",102.189995,106.740005,95.349993,99.320011,28686300,31.919712
"20",102.48,110.990009,100.880013,110.169994,28159200,35.406706
"21",111.660004,122.450008,111.089996,118.569992,30378000,38.106318
"22",119.73,120.020016,110.52,115.509991,31923300,37.23771
"23",115.100006,118.389988,108.519985,114.930004,25407000,37.050736
"24",115.109997,119.589993,101.169994,102.779995,43422600,33.133858
"25",101.120007,115.620003,98.409988,114.75,41802900,37.115731
"26",114.959999,122.450008,105.909988,119.979984,36797100,38.807363
"27",120.899998,130.149994,116.990009,127.659988,34321500,41.291449
"28",127.359993,135.569996,126.200008,127.740005,29298600,41.43328
"29",128.360012,137.900013,126.849987,135.48999,27927600,43.947037
"30",135.75,147.099987,131.600006,138.549992,34533300,44.939568
"31",139.620003,146.919994,138.330002,146.799992,23785200,47.73488
"32",150.099987,158.630013,149.960014,156.770016,27610200,50.976828
"33",157.070011,162.609993,152.930008,160.5,25265100,52.189705
"34",159.249985,169.539986,156.920013,167.709995,23393700,54.673937
"35",167.229984,167.600006,151.959995,158.120007,25544400,51.547574
"36",156.920013,173.289986,150.009991,168.129993,21687300,54.810858
"37",168.600002,169.689995,50.900002,54.009998,20220700,52.958232
"38",54.349998,57.939999,53.959999,56.68,28194600,55.576239
"39",57.330002,58.25,55.639999,55.790001,19813600,54.703571
"40",56.619999,63.700001,55.98,62.389999,22161000,61.311749
"41",62.25,71.489998,59.860001,69.470001,28077000,68.269391
"42",69.730003,73.040001,68.25,71.379997,17968100,70.146378
"43",71.529999,78.889999,68.790001,78.830002,24862900,77.610406
"44",78.169998,78.489998,71.279999,72.330002,25516400,71.210968
"45",72.07,82.239998,69.349998,81.209999,29693800,79.953581
"46",80.379997,81.519997,74.349998,78.339996,21447100,77.289884
"47",78.5,79.980003,71.18,73.050003,24239200,72.070801
"48",73.019997,77.410004,72.589996,73.739998,14050200,72.751547
"49",73.980003,78.970001,72.099998,74.349998,17692800,73.507333
"50",74.599998,78.480003,71.419998,74.040001,20629000,73.200849
"51",73.739998,76.540001,71.260002,75.889999,11428400,75.02988
"52",76.470001,77.769997,70.230003,70.519997,15567200,69.874989
"53",70.239998,71.059998,59.349998,67.989998,39126500,67.368131
"54",67.949997,68.650002,58.799999,58.869999,22430000,58.331547
"55",59.27,62.639999,53.93,59.830002,42098500,59.44381
"56",60.240002,60.360001,52.75,54.490002,42270100,54.138278
"57",55.130001,64.410004,55.009998,62.130001,31269300,61.728963
"58",62.130001,62.27,55.299999,56.490002,31861700,56.302049
"59",56.049999,59.990002,55.389999,58.529999,29935900,58.335258
"60",57.380001,58.369999,54.84,55,29791500,54.817005
"61",55.049999,56.220001,53.82,54.43,6760300,54.248901
