"","stock_data$PBI.Open","stock_data$PBI.High","stock_data$PBI.Low","stock_data$PBI.Close","stock_data$PBI.Volume","stock_data$PBI.Adjusted"
"1",22.209999,23.59,21.870001,21.959999,28321600,16.117718
"2",21.93,24.93,21.92,24.41,37943700,17.915916
"3",24.77,25,19.059999,19.24,60604600,14.373334
"4",19.5,21.790001,19.450001,21.379999,37390900,15.972031
"5",21.440001,22.389999,21.190001,21.940001,36354000,16.390383
"6",22.07,23.639999,21.9,21.940001,46816000,16.653988
"7",22.190001,24.790001,22.120001,24.18,41364700,18.354304
"8",24.370001,24.6,23.459999,24.280001,38354800,18.430211
"9",24.41,26.15,23.99,25.18,44654900,19.392786
"10",25.219999,25.700001,23.6,25.690001,52409800,19.785571
"11",25.83,26.360001,24.41,24.559999,44939600,18.915282
"12",24.74,25.08,23.549999,23.889999,46319700,18.675559
"13",23.91,23.93,22.049999,22.99,51487700,17.972001
"14",22.99,23.469999,21.5,21.549999,47833500,16.846308
"15",21.76,21.76,18.120001,20.309999,91820200,16.185981
"16",20.33,20.59,18,18.799999,60951600,14.982592
"17",18.76,21.200001,17.950001,20.379999,61340600,16.241767
"18",20.120001,20.459999,17.33,18.629999,68978400,15.135329
"19",18.389999,19.110001,17.959999,18.540001,53619300,15.062212
"20",18.91,19.639999,18.5,18.969999,44651700,15.411551
"21",19.049999,19.65,17.620001,18.129999,81541600,15.033692
"22",18.200001,18.629999,17.450001,17.58,62299600,14.577624
"23",17.52,17.84,16.530001,17.129999,53531500,14.204476
"24",17.219999,17.870001,12.81,13.64,107271700,11.581617
"25",13.37,15.4,13.05,14.97,83080700,12.710909
"26",15.11,15.13,13,13.36,89351000,11.343871
"27",13.37,14.34,12.64,13.36,78295700,11.650462
"28",13.37,15.27,13.1,13.82,54479600,12.0516
"29",13.89,14.73,13.3,14.36,66494100,12.522502
"30",14.45,14.67,10.79,11.19,107544200,10.082109
"31",11.25,11.69,10.34,10.64,101060800,9.586564
"32",10.98,14.49,10.71,14.41,103702500,12.983306
"33",14.39,14.59,12.85,13.1,65802500,12.130504
"34",13.06,15.56,12.89,14.86,64967000,13.76025
"35",14.9,16.43,13.12,13.67,113284200,12.658319
"36",13.37,15.96,13.37,14.68,93783900,13.761459
"37",14.68,15.19,13.63,14.68,65497800,13.761459
"38",14.71,17,13.76,16.51,165092900,15.476954
"39",16.65,18.030001,16.18,16.32,77037600,15.46132
"40",16.559999,18.82,16.25,18.190001,60465700,17.232931
"41",18.219999,22,18.209999,21.34,100764400,20.217193
"42",21.35,24.18,21.16,23.17,88152200,22.13779
"43",23.25,23.84,21.360001,23.299999,78515500,22.261998
"44",23.299999,26,21.01,25.18,69127900,24.058246
"45",25.16,25.74,24.110001,25.450001,64357000,24.499135
"46",25.26,26.629999,24.809999,25.99,53759600,25.018959
"47",25.99,27.59,24.059999,26.799999,62488900,25.798695
"48",26.68,27.75,25.280001,27.629999,42985500,26.780433
"49",27.629999,28.23,27.01,27.620001,28473800,26.770742
"50",27.200001,28.370001,26.34,27.059999,40435200,26.22796
"51",26.950001,27.24,25.379999,27.059999,35294900,26.413386
"52",27.059999,27.5,24.629999,24.99,31408000,24.39285
"53",24.92,25.450001,22.379999,24.74,52077000,24.148824
"54",24.719999,25.389999,24.08,24.620001,28057100,24.216009
"55",24.51,25.68,22.9,24.370001,46832300,23.970111
"56",24.5,24.6,23.299999,23.98,28405100,23.586509
"57",22.93,23.440001,21.15,23.17,44529800,22.979784
"58",23.200001,24.17,22.030001,23.32,36419000,23.128552
"59",23.27,23.93,21.77,22.370001,38218700,22.186352
"60",22.559999,23.139999,21.809999,21.85,33145500,21.85
"61",21.879999,22.27,21.5,22.030001,9031800,22.030001
