"","stock_data$HRS.Open","stock_data$HRS.High","stock_data$HRS.Low","stock_data$HRS.Close","stock_data$HRS.Volume","stock_data$HRS.Adjusted"
"1",45.630001,49.209999,41.459999,41.650002,19350500,36.444268
"2",41.549999,46.59,40.240002,44.529999,21989500,38.964301
"3",45.389999,48.950001,41.130001,42.07,26477200,36.811771
"4",42.919998,45.73,42.380001,44.290001,17163600,38.978572
"5",44.779999,46.299999,43.02,45.189999,20986600,39.770638
"6",45.240002,47.419998,44.240002,44.240002,18654300,39.149392
"7",44.98,46.720001,44.5,45.299999,15195800,40.087418
"8",45.66,51.27,44.259998,46.540001,22750700,41.184735
"9",46.669998,49.709999,45.560001,46.66,22744600,41.290926
"10",46.869999,49.700001,43.139999,49.599998,27016800,44.133107
"11",49.98,53.34,49.07,53.130001,15811300,47.274034
"12",53.330002,53.389999,47.349998,49.439999,28595300,44.219429
"13",49.299999,49.299999,43.75,45.060001,23131400,40.301934
"14",45.23,45.669998,39.599998,39.869999,23759600,35.659965
"15",40.41,41.299999,34.150002,40.349998,47468500,36.089279
"16",40.48,41.209999,34.130001,34.169998,31266800,30.779041
"17",33.860001,39.919998,32.68,37.75,27735900,34.003771
"18",36.549999,38.5,33.240002,35.599998,20457800,32.303229
"19",35.450001,37.110001,33.75,36.040001,18336400,32.702485
"20",36.759998,41.330002,35.98,41,21934800,37.203159
"21",41.209999,44.009998,40.619999,43.630001,19805700,39.589606
"22",43.849998,45.419998,42.52,45.080002,14736200,41.215929
"23",45.110001,45.790001,42.93,45.540001,15035900,41.636499
"24",43.98,45.549999,38.330002,39.779999,24456000,36.671103
"25",39.060001,42.490002,38.799999,41.849998,15851900,38.579327
"26",41.5,43.330002,39.02,41.650002,14631400,38.394961
"27",41.650002,47.599998,41.200001,47.029999,17668700,43.354499
"28",46.990002,51.68,46.07,51.220001,18068300,47.593316
"29",51.27,52.23,45.619999,45.779999,22322800,42.538499
"30",45.790001,49.470001,45.740002,47.130001,19054600,44.143483
"31",47.169998,50.349998,46.25,48.959999,15994400,45.857518
"32",49.869999,50.529999,46.150002,46.200001,16824800,43.272415
"33",46.040001,48.490002,45.610001,48.07,16196800,45.023916
"34",47.849998,48.169998,43.700001,46.34,20016800,43.745521
"35",46.290001,46.66,41.080002,46.200001,24678900,43.61336
"36",45.919998,51.459999,45.200001,50.130001,18447100,47.6676
"37",50.23,50.700001,47.689999,49.25,13099500,46.830825
"38",49.68,57.700001,48.75,57.07,15331400,54.266704
"39",57.360001,58.5,55.459999,56.630001,14262300,53.848318
"40",57.32,59.75,56.5,59.299999,13236600,56.795417
"41",59.040001,62.810001,57.209999,61.959999,14907200,59.343069
"42",62,65.870003,61.279999,64.510002,11202200,62.192298
"43",64.620003,70.730003,63.650002,69.809998,12698200,67.301876
"44",69.629997,72.330002,67.010002,69.339996,16779400,66.848761
"45",69.339996,74.230003,66.339996,73.82,14454300,71.167807
"46",73.029999,75.330002,71.779999,73.160004,11846800,70.92974
"47",73.25,75.260002,68.629997,73.519997,11135500,71.278759
"48",73.339996,79.32,72.739998,77.25,11730300,75.303465
"49",77.25,77.900002,74.550003,75.75,10842500,73.841262
"50",76,76.5,66.849998,68.269997,15344200,66.549739
"51",68.050003,71.900002,67.93,71.389999,10219300,69.591124
"52",71.260002,71.580002,66.400002,66.400002,9978100,65.163015
"53",66.339996,70.050003,60.779999,69.599998,14757800,68.303398
"54",69.699997,72.129997,69.550003,71.669998,9630900,70.807692
"55",71.599998,74.269997,68.309998,71.82,16397300,70.955889
"56",72.349998,72.57,66.57,67.129997,11917600,66.322315
"57",67.540001,78.910004,66.150002,77.68,24926500,76.745384
"58",77.68,79.349998,69.839996,78.760002,30679100,78.29379
"59",78.5,82.790001,77.769997,80.239998,22993400,79.765025
"60",80.769997,81.43,77.169998,79.220001,23583000,79.220001
"61",79.919998,79.989998,77.419998,78.910004,7554200,78.910004
