"","stock_data$TSO.Open","stock_data$TSO.High","stock_data$TSO.Low","stock_data$TSO.Close","stock_data$TSO.Volume","stock_data$TSO.Adjusted"
"1",11.32,12.81,10.95,11.67,69493500,11.090856
"2",11.63,13.08,10.4,12.91,105877700,12.269319
"3",13.1,13.22,10.77,11.23,85145700,10.672692
"4",11.41,13.5,11.37,13.36,71106000,12.696987
"5",13.46,14.58,12.85,12.96,84382600,12.316838
"6",13.1,16.719999,12.79,16.32,98692700,15.510092
"7",16.92,18.940001,16.41,18.540001,112594000,17.619922
"8",18.99,19.74,17.6,19.25,94631600,18.294686
"9",19.370001,25.93,19.030001,23.780001,157629700,22.599878
"10",23.870001,27.99,22.370001,26.83,165222600,25.498515
"11",27.16,28.74,24.66,27.120001,101176200,25.774124
"12",27.23,27.5,22.74,24.4,122466400,23.189108
"13",24.370001,24.68,20.379999,22.91,105042700,21.773052
"14",22.91,25.790001,22.280001,24.290001,76358800,23.084568
"15",24.780001,24.969999,17.82,24.059999,129969300,22.865981
"16",24.08,25.25,18.34,19.469999,92023800,18.503767
"17",19.23,27.25,17.43,25.940001,105553500,24.652684
"18",25.059999,29.610001,22.35,23.889999,114785300,22.704417
"19",24.030001,25.23,21.040001,23.360001,87526100,22.200721
"20",23.99,25.969999,21.5,25.030001,56629800,23.787844
"21",25.290001,29.02,24.16,26.530001,79184800,25.213404
"22",26.73,30.15,25.950001,26.84,74534100,25.508019
"23",26.76,27.27,22.42,23.25,71513000,22.096179
"24",23.33,24.33,20.77,22.120001,91766700,21.022258
"25",21.84,25.559999,21.629999,24.959999,94155400,23.721316
"26",25.01,28.48,24.83,27.65,72405300,26.277821
"27",27.809999,40.32,27.32,39.740002,120382800,37.882748
"28",39.82,42.369999,38.610001,41.900002,58891300,39.9418
"29",42.240002,44.73,35.610001,37.709999,82837100,35.947618
"30",36.509998,42.5,35.279999,42.279999,67094100,40.450244
"31",42.419998,45.41,38.419998,44.049999,57922000,42.143644
"32",44.970001,49.189999,39.849998,48.689999,76528500,46.582837
"33",49.400002,57.040001,48.66,56.240002,73295900,54.010644
"34",55.849998,59.900002,55.049999,58.549999,69694900,56.229073
"35",58.27,58.450001,47.98,53.400002,79042300,51.283222
"36",52.66,65.75,50.77,61.650002,103370900,59.397305
"37",62.200001,62.790001,50.720001,52.32,62640600,50.408222
"38",52.400002,57.299999,49.259998,56.849998,61244900,54.772694
"39",57.299999,57.990002,45.529999,46.09,74703200,44.646732
"40",46.560001,47.639999,43.650002,43.98,64861700,42.602804
"41",43.93,50.77,40.900002,48.889999,91403100,47.359051
"42",48.919998,59.540001,47.049999,58.630001,81015600,57.041801
"43",58.889999,59.57,54.66,58.5,73883300,56.915321
"44",58.200001,59.07,49.830002,51.52,68728800,50.1244
"45",51.380001,52.77,46.400002,51.009998,65462600,49.868568
"46",50.41,54.580002,49.040001,50.59,53237800,49.457968
"47",50.529999,56.849998,47.029999,56.290001,58970600,55.030422
"48",57.439999,58.099998,52.73,56.200001,58575900,55.196001
"49",56.439999,62.889999,55.540001,58.669998,56368400,57.621873
"50",58.599998,62.52,57.110001,61.540001,52656300,60.440603
"51",60.470001,65.309998,58.549999,64.739998,50275700,63.879353
"52",64.860001,67.07,58.130001,60.98,51598700,60.16934
"53",61.09,73,55.59,71.410004,87118400,70.460689
"54",71.959999,79.489998,70.07,76.620003,63080500,75.893928
"55",76.629997,79.050003,69.050003,74.349998,66412500,73.645435
"56",74.610001,83.120003,64.160004,81.730003,76354200,80.955505
"57",81.839996,94.830002,79.769997,91.839996,74227000,91.400296
"58",91.839996,94.709999,84.220001,91.290001,56510900,90.852933
"59",91.550003,91.82,81.769997,85.830002,53550100,85.419075
"60",85.910004,93.139999,85.68,88.5,42406200,88.5
"61",89.029999,89.550003,82.82,84.279999,13327100,84.279999
