"","stock_data$OI.Open","stock_data$OI.High","stock_data$OI.Low","stock_data$OI.Close","stock_data$OI.Volume","stock_data$OI.Adjusted"
"1",28.41,31.280001,26.34,26.450001,25961300,26.450001
"2",26.41,30.709999,25.940001,27.65,51697400,27.65
"3",28.15,28.360001,24.92,25.059999,40778300,25.059999
"4",25.450001,29.92,25.309999,28.059999,34066600,28.059999
"5",28.459999,29.860001,25.93,28.030001,50214300,28.030001
"6",28.07,29.5,26.57,26.879999,33195900,26.879999
"7",27.450001,31.030001,27.15,30.700001,25945600,30.700001
"8",30.98,32.66,29.34,29.49,39550600,29.49
"9",29.799999,31.719999,29.290001,30.49,29090900,30.49
"10",30.559999,30.93,28.309999,30.190001,37374900,30.190001
"11",30.379999,30.940001,29,29.67,28078900,29.67
"12",29.76,33.32,29.52,32.119999,41641700,32.119999
"13",32.150002,32.16,24.59,25.809999,63499600,25.809999
"14",25.68,27.07,23.059999,23.17,48555200,23.17
"15",23.549999,23.6,16.01,18.940001,74359600,18.940001
"16",18.92,19.059999,15.11,15.12,49145300,15.12
"17",14.96,21.5,13.43,20.08,58637700,20.08
"18",19.18,21.23,17.23,19.530001,41506100,19.530001
"19",19.41,20.790001,17.58,19.379999,39601000,19.379999
"20",19.92,25.459999,19.74,24.049999,46077000,24.049999
"21",24.41,25.030001,23.440001,23.9,31543000,23.9
"22",24.040001,24.870001,22.620001,23.34,31233500,23.34
"23",23.299999,24.690001,21.91,23.25,44422200,23.25
"24",23.16,23.639999,18.879999,19.540001,34472200,19.540001
"25",18.98,19.83,17.9,19.17,35003400,19.17
"26",19.129999,20.139999,17.32,18.450001,28799600,18.450001
"27",18.639999,19.049999,17.33,17.48,26008100,17.48
"28",17.43,20.26,16.82,18.76,35713000,18.76
"29",18.889999,20.91,18.32,19.49,26611300,19.49
"30",19.75,20.16,18.440001,20.030001,23004900,20.030001
"31",20.139999,21.370001,19.049999,21.27,25102400,21.27
"32",21.76,24.41,21.540001,23.799999,26404200,23.799999
"33",23.92,26.780001,23.700001,25.5,32441200,25.5
"34",25.370001,27.790001,25,26.65,28223200,26.65
"35",26.66,26.76,24.129999,26.280001,28616400,26.280001
"36",26.18,29.65,26.08,27.450001,24528000,27.450001
"37",27.49,28.27,26.309999,27.790001,23113800,27.790001
"38",27.92,30.040001,27.559999,29.75,23802400,29.75
"39",30.15,30.940001,28.290001,28.389999,19270400,28.389999
"40",29,31.52,28.610001,30.02,19682300,30.02
"41",30.07,32.080002,28.51,31.790001,23838700,31.790001
"42",31.85,33.720001,31.129999,33,21716100,33
"43",33.169998,35.950001,32.66,35.779999,17816800,35.779999
"44",35.720001,35.830002,31.58,32.040001,29319000,32.040001
"45",32,34.48,30.51,33.919998,22488500,33.919998
"46",33.619999,34.509998,31.860001,33.830002,23865600,33.830002
"47",33.990002,34.650002,31.219999,31.780001,24460400,31.780001
"48",31.700001,33.48,30.879999,33.23,20997500,33.23
"49",33.349998,34.84,32.650002,34.639999,17675200,34.639999
"50",34.689999,35.18,31.07,31.190001,18478100,31.190001
"51",31.110001,31.370001,30.110001,30.790001,19411200,30.790001
"52",30.879999,31.85,26,26.049999,30790200,26.049999
"53",26.040001,26.59,23.309999,25.77,46120800,25.77
"54",25.860001,26.49,24.950001,25.639999,23666400,25.639999
"55",25.549999,27.379999,23.83,26.99,32599000,26.99
"56",27.08,27.24,22.65,23.35,28509100,23.35
"57",23.6,26.620001,23.49,26.16,35119900,26.16
"58",26.16,26.27,22.66,23.32,36591800,23.32
"59",23.33,25.17,23.1,23.91,38394200,23.91
"60",24.040001,26.4,23.73,23.9,55770200,23.9
"61",24.01,24.690001,23.85,24.540001,11605700,24.540001
