"","stock_data$BMY.Open","stock_data$BMY.High","stock_data$BMY.Low","stock_data$BMY.Close","stock_data$BMY.Volume","stock_data$BMY.Adjusted"
"1",24.34,25.950001,24.25,24.940001,244412000,20.877028
"2",24.84,25.950001,24.219999,24.92,268389600,20.860286
"3",25.33,26.790001,25.290001,26.08,221200600,21.831311
"4",26.24,28,26.110001,27.110001,274526600,22.956533
"5",27.110001,27.719999,26.620001,26.9,184598200,22.778706
"6",27.059999,27.32,25.1,25.24,195934000,21.373031
"7",25.67,26.879999,25.42,26.48,186444500,22.423053
"8",26.65,26.719999,25.16,25.18,215652600,21.591093
"9",25.35,26.049999,25.1,25.809999,175762400,22.131298
"10",25.66,27.959999,24.969999,26.43,402247000,22.945042
"11",26.51,28.5,26.4,28.1,222607700,24.394843
"12",28.24,28.99,28,28.76,196134000,24.967818
"13",28.709999,29.540001,27.18,28.959999,270196700,25.434925
"14",28.950001,29.73,28.5,28.66,199227800,25.171443
"15",29.059999,29.92,25.690001,29.75,366484700,26.128766
"16",29.75,31.91,28.370001,31.379999,316515300,27.560358
"17",31.299999,33.27,30.950001,31.59,323564900,28.027382
"18",31.07,32.73,30.1,32.720001,210981300,29.029946
"19",32.279999,35.439999,32.27,35.240002,218546000,31.265749
"20",35.330002,35.439999,31.889999,32.240002,263076100,28.884592
"21",32.529999,33.259998,31.309999,32.169998,182904500,28.821874
"22",32.049999,33.919998,32.049999,33.75,217664900,30.237436
"23",33.650002,35,32.279999,33.369999,207230500,30.199963
"24",33.549999,33.759998,32.360001,33.34,187454600,30.172814
"25",32.869999,35.950001,32.830002,35.950001,246773600,32.534874
"26",35.740002,36.34,34.369999,35.599998,191106800,32.524875
"27",35.73,36,31.370001,33.009998,293635100,30.158598
"28",33.040001,34.240002,32.82,33.75,200223500,30.834679
"29",33.790001,35.59,32.700001,33.25,210076500,30.685171
"30",33.470001,33.860001,30.639999,32.630001,191025200,30.112998
"31",32.709999,33.549999,31.85,32.59,169576100,30.076082
"32",32.84,36.709999,32.5,36.139999,219032600,33.714319
"33",36.419998,37.220001,36.029999,36.970001,155801200,34.488612
"34",36.889999,41.25,36.43,41.189999,217649000,38.425367
"35",41.119999,42.869999,39.18,39.720001,194729400,37.367822
"36",39.470001,48.830002,39.18,46.009998,272646200,43.285332
"37",47.099998,49.57,44.32,44.689999,227346800,42.043501
"38",45.060001,46.139999,42.959999,43.240002,171955100,40.999538
"39",43.700001,44.389999,41.110001,41.689999,135771600,39.529847
"40",42.009998,47.59,41.32,46.279999,146349100,43.882018
"41",46.450001,53.68,46.139999,52.52,170383300,50.170408
"42",52.630001,53.610001,51.009998,51.380001,143904300,49.081409
"43",51.290001,54.490002,50.110001,53.150002,131146400,51.116705
"44",52.52,56.830002,49.450001,49.970001,225895800,48.058358
"45",50.130001,54.959999,47.52,53.77,160514200,51.712985
"46",53.169998,57.490002,50.16,51.950001,184514300,49.962611
"47",52.23,52.389999,47.419998,50.09,176374000,48.510449
"48",49.950001,52.490002,48.099998,49.740002,173660400,48.171488
"49",49.900002,50,46.299999,48.509998,220491600,46.980272
"50",48.509998,51.34,47.34,50.619999,151584800,49.390266
"51",50.790001,50.970001,48.509998,50.650002,101634200,49.41954
"52",50.619999,52.169998,49.700001,51.18,111115000,49.936663
"53",51.009998,59.029999,47.549999,58.189999,192850100,57.178559
"54",58.310001,59.720001,57.349998,59.049999,108151300,58.023612
"55",59.209999,61.77,57.599998,59.029999,130188400,58.36502
"56",59.43,64.440002,58.040001,60.27,142529600,59.591053
"57",60.709999,61.610001,58.650002,60.919998,98364400,60.233728
"58",61.119999,69.199997,61.040001,64.5,155964400,63.773401
"59",64.199997,67.529999,62.66,63.73,132246400,63.375624
"60",64.279999,69.860001,63.16,64.599998,130795000,64.240785
"61",66.629997,67.309998,64.900002,65.529999,73795500,65.165614
