"","stock_data$BCR.Open","stock_data$BCR.High","stock_data$BCR.Low","stock_data$BCR.Close","stock_data$BCR.Volume","stock_data$BCR.Adjusted"
"1",78.959999,82.529999,77.459999,77.529999,10588200,74.771363
"2",77.400002,80.849998,75.160004,78.529999,17847100,75.915157
"3",79.720001,81.339996,75.989998,76.830002,13678000,74.271766
"4",77.360001,82.199997,75.879997,81.43,16604300,78.718596
"5",81.879997,85.550003,80.82,83.120003,13836100,80.523449
"6",83.32,86.559998,82.919998,84.849998,9441600,82.199402
"7",85.540001,95.720001,85.400002,91.769997,15196200,88.903229
"8",91.900002,94.440002,90.110001,94.349998,12130800,91.579849
"9",94.949997,99,92.620003,97.760002,12783000,94.889734
"10",97.639999,99.400002,93.480003,99.360001,18141200,96.442756
"11",99.400002,107,98.5,106.75,12206200,103.794997
"12",107,113.129997,105.639999,111.779999,15092200,108.685757
"13",111.190002,111.599998,106.339996,109.860001,13316100,106.818908
"14",109.669998,113.839996,96.809998,98.68,17170600,96.111101
"15",99.800003,100.730003,85.050003,95.260002,26126400,92.780134
"16",95.279999,96.709999,84.800003,87.540001,18756100,85.261105
"17",87.059998,89.610001,80.800003,85.949997,22176600,83.896179
"18",83.809998,89.389999,81.860001,87.190002,14370700,85.106554
"19",87.209999,88.309998,82.220001,85.5,13721600,83.456935
"20",86.82,94.120003,84.419998,92.519997,12917000,90.508494
"21",93.510002,97.269997,91.410004,93.620003,15413500,91.584585
"22",93.370003,99.639999,91.910004,98.720001,11615700,96.573703
"23",98.93,99.629997,95.269997,98.959999,11472500,96.997564
"24",98.860001,102.699997,96.480003,97.190002,13274300,95.262668
"25",96.309998,107.910004,94.900002,107.440002,11850000,105.309404
"26",107.040001,108.309998,97,97.260002,13869800,95.510336
"27",97.760002,99.239998,93.690002,98.110001,9531600,96.345043
"28",98.029999,105.989998,97.550003,104.650002,12041700,102.767392
"29",105,106.489998,95.739998,96.190002,11579500,94.644045
"30",96.260002,99.190002,93.790001,99.010002,9825200,97.418722
"31",99.209999,100.589996,95.389999,97.739998,9419200,96.169129
"32",99.389999,105.540001,99.389999,102.07,14095000,100.627465
"33",99.849998,102.050003,97.139999,98.849998,11671600,97.452971
"34",98.660004,102.470001,97.699997,100.779999,11527600,99.355695
"35",100.599998,103.32,97.610001,99.360001,16179500,98.153897
"36",99.160004,107.949997,99.110001,103.089996,12796100,101.838615
"37",103.220001,112.360001,102.550003,108.68,13658700,107.360764
"38",108.540001,115.349998,106.720001,114.599998,10553200,113.420939
"39",114.629997,117.540001,111.239998,114.870003,9966500,113.688165
"40",115.330002,121.160004,113.660004,115.199997,9971100,114.014764
"41",115.510002,139.940002,113.519997,136.220001,16992600,135.05399
"42",136.199997,141.020004,134.600006,138.880005,11343200,137.691225
"43",139.179993,139.639999,130.729996,133.940002,8097800,132.793508
"44",134,137,125.529999,129.589996,15314200,128.679433
"45",129.139999,145.619995,125,144.160004,16536700,143.147064
"46",143.300003,148.339996,141.429993,147.979996,14561900,146.940215
"47",148.669998,150.130005,132.809998,137.330002,20502500,136.575028
"48",137.220001,149.820007,136.770004,147.910004,15096200,147.096866
"49",148.100006,148.639999,135.800003,143.009995,20224700,142.223795
"50",144.009995,154.160004,141.979996,149.229996,12376600,148.634942
"51",149.220001,152.199997,146.970001,148.440002,10172000,147.848099
"52",148.690002,150.5,142.520004,142.710007,8789900,142.140952
"53",142.839996,164.910004,141.490005,163.970001,16077700,163.559656
"54",163.839996,169.190002,161.789993,167.350006,7683800,166.931203
"55",167.240005,174.460007,164.429993,166.619995,11917000,166.203018
"56",167,180.350006,163.080002,171.029999,12530600,170.815095
"57",170.759995,177.570007,166.559998,169.139999,11565400,168.927471
"58",169.139999,173.039993,164.039993,167.350006,12594400,167.139727
"59",167.169998,180.940002,163.809998,166.580002,14203700,166.580002
"60",168.039993,174.580002,166.289993,170.320007,8288900,170.320007
"61",170.679993,173.850006,168.190002,170.669998,2741700,170.669998
