"","stock_data$VTR.Open","stock_data$VTR.High","stock_data$VTR.Low","stock_data$VTR.Close","stock_data$VTR.Volume","stock_data$VTR.Adjusted"
"1",46.790001,50.330002,46.450001,46.950001,31722000,37.849298
"2",47.119999,52.279999,45.77,50.720001,40633100,40.888529
"3",51.720001,52.560001,48.939999,50.509998,28419900,40.719232
"4",51.139999,53.889999,50.639999,51.57,24747500,41.997948
"5",51.860001,55.380001,50.77,53.560001,29201100,43.61858
"6",53.98,56.200001,50.41,51.27,26383000,41.753632
"7",51.970001,53.349998,48.529999,52.48,31887000,43.207738
"8",52.919998,55.59,51.459999,55.459999,22634600,45.661226
"9",53.799999,57.450001,53.360001,55.419998,28371900,45.628292
"10",55.68,55.68,50.98,54.299999,43909600,45.195861
"11",54.700001,57.080002,53.310001,55.93,26244900,46.55257
"12",56.169998,56.830002,53.98,56.400002,31692600,46.943769
"13",56.119999,56.27,50.869999,52.709999,40182900,44.345787
"14",53.099998,55.75,52.869999,54.130001,69701800,45.647484
"15",53.080002,53.720001,43.25,53.48,79965900,45.099342
"16",53.599998,54.59,48.34,49.400002,49726700,42.009698
"17",49.080002,56.73,46.209999,55.610001,50610400,47.290673
"18",54.09,55.43,49,52.759998,38753000,44.867035
"19",52.580002,55.77,50.549999,55.130001,33134600,47.406692
"20",56.18,59.040001,53.240002,58.310001,51698300,50.141198
"21",58.669998,59.049999,54.84,55.919998,34035600,48.086016
"22",55.869999,57.610001,55.150002,57.099998,35005800,49.648134
"23",57.029999,59.380001,53.939999,58.790001,34679500,51.117582
"24",58.82,59.790001,55.950001,58.82,32409200,51.143666
"25",56.869999,63.119999,55.869999,63.119999,44919700,55.486129
"26",63.349998,67.68,62.439999,67.25,30424600,59.116639
"27",67.349998,68.150002,63.43,65.489998,35135200,57.569495
"28",65.529999,66.82,61.52,62.25,36778700,55.236025
"29",62.59,65.209999,61.299999,63.27,30405900,56.141098
"30",63.32,65.709999,62.549999,63.650002,29131000,56.478282
"31",63.889999,65.470001,62.619999,64.720001,26912900,57.980166
"32",65.559998,66.919998,64.419998,66.290001,26332100,59.386668
"33",66.449997,71.129997,66.050003,70.779999,28649500,63.409085
"34",70.279999,73.220001,69.690002,73.199997,26859600,66.194677
"35",73.199997,79.639999,72.839996,79.629997,30608500,72.009319
"36",79.669998,84.110001,71.32,71.370003,41839000,64.539815
"37",71.260002,71.989998,63.82,69.459999,40381900,63.407853
"38",70.059998,72.32,65.300003,65.739998,30620500,60.011981
"39",66.029999,66.169998,58.529999,62.259998,39390400,56.835199
"40",62.939999,66.07,60.349998,61.5,32840700,56.761614
"41",61.240002,67.639999,61.110001,65.239998,30728800,60.213456
"42",65.370003,65.959999,56.82,56.830002,26207600,52.451425
"43",56.82,58.34,54.889999,57.279999,39896900,53.556051
"44",56.950001,62.700001,56.43,62.389999,42426500,58.333835
"45",62.459999,63.099998,60.419998,62.43,32560000,58.371236
"46",62.009998,63.740002,58.400002,60.57,28853000,57.284445
"47",60.619999,66.300003,60.380001,66.080002,35652400,62.495563
"48",65.989998,69.089996,65.730003,66.800003,34518900,63.176509
"49",64.419998,65.910004,62.130001,64.099998,50467000,61.308477
"50",64.150002,65.169998,63.080002,63.5,41909800,60.734608
"51",63.549999,66.290001,62.439999,65.779999,33803700,62.915314
"52",65.809998,66.32,60.630001,61.950001,51962900,59.923065
"53",62,68.959999,61.900002,68.510002,67476900,66.26843
"54",68.370003,72.169998,67.610001,71.550003,34868000,69.208966
"55",71.360001,75.160004,70.410004,71.699997,55481200,70.11019
"56",71.889999,81.93,71.889999,79.809998,67624100,78.252046
"57",79.669998,80.010002,73.160004,74.470001,58527100,73.01629
"58",74.470001,75.809998,69.019997,73.019997,63241600,72.155141
"59",73.110001,77.360001,68.529999,68.900002,44646000,68.083943
"60",68.870003,70.410004,66.160004,66.519997,43288500,65.732127
"61",66.589996,67.459999,62.790001,63.709999,20283500,63.709999
