"","stock_data$OMC.Open","stock_data$OMC.High","stock_data$OMC.Low","stock_data$OMC.Close","stock_data$OMC.Volume","stock_data$OMC.Adjusted"
"1",36.810001,39.139999,34.18,34.299999,43262200,30.394354
"2",34.200001,38.720001,33.5,37.259998,71775100,33.017306
"3",37.98,38.93,34.68,35.009998,43589500,31.023507
"4",35.48,40,35.48,39.48,41283000,35.163837
"5",39.650002,44.389999,38.540001,43.959999,57155000,39.154059
"6",44.209999,47.240002,43.830002,45.439999,55116800,40.472258
"7",46.169998,47.880001,45.66,45.799999,37599400,40.969342
"8",46.119999,47.509998,44.57,44.880001,46395900,40.146379
"9",45.200001,50.900002,44.93,50.900002,42161500,45.531433
"10",51.02,51.25,46.110001,49.060001,52104900,44.107415
"11",49.060001,49.779999,46.049999,49.189999,51955500,44.224289
"12",49.509998,49.610001,45.950001,46.77,42560700,42.048588
"13",46.59,48.290001,44.610001,48.16,48959300,43.533126
"14",48.18,49.549999,46.5,46.919998,39055400,42.412255
"15",47.099998,47.099998,36.880001,40.549999,88055700,36.65424
"16",40.48,40.82,35.27,36.84,58906400,33.514687
"17",36.509998,45.650002,35.34,44.48,54436400,40.465072
"18",43.009998,44.740002,39.720001,43.169998,36989700,39.273316
"19",43.259998,45,41.040001,44.580002,34819900,40.802798
"20",45.18,47.959999,43.830002,45.610001,33976000,41.745526
"21",45.860001,49.639999,45.700001,49.439999,28708100,45.251014
"22",49.349998,51.380001,47.549999,50.650002,31204300,46.641515
"23",49.349998,51.709999,47.419998,51.310001,44893300,47.249282
"24",51.48,52.189999,47.450001,47.68,40936000,43.906562
"25",46.939999,48.619999,45.650002,48.599998,37191200,45.037062
"26",48.779999,50.720001,47.029999,50.18,34598300,46.501232
"27",50.18,52.560001,48.939999,51.369999,25425600,47.60399
"28",51.32,54.759998,51.25,51.560001,32078300,48.04585
"29",51.580002,53.07,46.849998,47.91,31627800,44.64462
"30",47.860001,50,45.110001,49.740002,42688500,46.349895
"31",49.849998,51.110001,48.84,49.959999,33872400,46.838369
"32",50.5,54.57,50.400002,54.279999,30097900,50.888444
"33",54.68,58.16,53.509998,57.529999,37872700,53.935375
"34",56.84,60.049999,56.689999,58.900002,28032100,55.606401
"35",58.779999,60.790001,57.73,59.77,37504800,56.427751
"36",59.779999,64.290001,59.290001,62.130001,40095100,58.655784
"37",62.150002,64.25,60.110001,62.869999,33491200,59.738572
"38",62.889999,70.5,61.759998,64.269997,59689600,61.068839
"39",64.879997,65.300003,59.700001,60.650002,40336000,57.629148
"40",61.610001,66.360001,60.139999,63.439999,24954600,60.649998
"41",64.169998,68.959999,61.349998,68.110001,33627300,65.11462
"42",68.190002,72.489998,68.139999,71.449997,22503200,68.307728
"43",71.370003,74.5,68.790001,74.370003,26994300,71.508876
"44",74.519997,75.360001,71.32,72.580002,30897500,69.787739
"45",72.709999,76.870003,70.589996,75.68,33698600,73.157196
"46",74.849998,76.18,70.720001,72.599998,27818400,70.179867
"47",72.800003,72.839996,65.959999,67.68,41026300,65.423877
"48",67.540001,71.309998,65.43,71.150002,61656700,68.778206
"49",71.300003,71.849998,69.379997,71.220001,31506600,69.333449
"50",71.5,74.139999,69.800003,69.989998,39240900,68.136027
"51",69.769997,72.730003,69.550003,72.010002,21604400,70.102524
"52",71.970001,72.790001,68.32,68.860001,27870600,67.5137
"53",68.690002,71.989998,64.029999,71.860001,44809100,70.455046
"54",72.089996,77.389999,71.919998,77.269997,23067100,75.75927
"55",77.099998,78.489998,74.529999,77.470001,31880300,76.451545
"56",78,78.059998,72.5,72.800003,26830100,71.842941
"57",73.139999,80.529999,71.980003,79.540001,31351100,78.494331
"58",79.559998,80.980003,76.129997,77.980003,21218600,77.444501
"59",77.360001,79.279999,75.370003,75.760002,32077900,75.239745
"60",76.220001,78.599998,74.050003,74.529999,24570500,74.018189
"61",74.769997,75.309998,72.400002,73.209999,8946500,73.209999
