"","stock_data$AGN.Open","stock_data$AGN.High","stock_data$AGN.Low","stock_data$AGN.Close","stock_data$AGN.Volume","stock_data$AGN.Adjusted"
"1",42.619999,44.470001,40.5,40.57,21321800,40.57
"2",40.759998,44.419998,39.34,40.5,32149200,40.5
"3",40.84,43.889999,40.349998,43.07,24191900,43.07
"4",43.419998,45.150002,42.200001,42.310001,30977800,42.310001
"5",42.68,47.529999,42.169998,46.650002,28463200,46.650002
"6",46.849998,52.200001,46.290001,48.740002,37929000,48.740002
"7",49.279999,52,48.200001,51.650002,25244600,51.650002
"8",51.73,56.09,50.470001,54.52,30058200,54.52
"9",54.799999,57.52,54.040001,55.990002,26226300,55.990002
"10",56.119999,57.450001,53.73,56.009998,26065400,56.009998
"11",56.169998,62.450001,56.130001,62.02,23314600,62.02
"12",62.299999,64.699997,60.919998,64.349998,24915400,64.349998
"13",64.150002,69.040001,62.900002,68.730003,27737800,68.730003
"14",68.730003,71.5,66.239998,67.129997,23315900,67.129997
"15",67.669998,68.510002,58.84,67.120003,37204800,67.120003
"16",67.040001,73.349998,64.300003,68.25,30427200,68.25
"17",68.489998,72.059998,63.849998,67.160004,26234700,67.160004
"18",66,69.82,62.98,64.620003,30081900,64.620003
"19",64.400002,64.879997,59.5,60.34,25972800,60.34
"20",61.16,64.760002,55,58.630001,66369300,58.630001
"21",58.950001,61.650002,57.16,58.32,32534600,58.32
"22",58.450001,67.5,57.450001,67.059998,46918900,67.059998
"23",66.830002,77.730003,65.699997,75.360001,49530500,75.360001
"24",75.82,75.970001,69.699997,71.290001,51969100,71.290001
"25",70.599998,74.410004,67.669998,73.989998,35339900,73.989998
"26",74.360001,81,73.57,77.830002,29971000,77.830002
"27",78.470001,83.830002,73.389999,81.349998,23965700,81.349998
"28",81.580002,86.07,81.230003,85.160004,17620600,85.160004
"29",85.400002,89.900002,84.330002,85.949997,15641400,85.949997
"30",90,90,81.730003,88.010002,16342200,88.010002
"31",88.470001,91.470001,84.599998,86,16832000,86
"32",86.580002,88.330002,82.949997,86.389999,34766000,86.389999
"33",86.620003,87.970001,82.019997,85.160004,22298000,85.160004
"34",85.169998,92.370003,84.410004,92.110001,21437200,92.110001
"35",92.330002,107.760002,91.879997,105.730003,26093900,105.730003
"36",105.239998,133,103.75,123.290001,54152500,123.290001
"37",123.730003,127.57,118.68,126.220001,25179300,126.220001
"38",126.629997,136.289993,121.120003,134.270004,29548200,134.270004
"39",134.759995,139.100006,130.059998,135.179993,20124500,135.179993
"40",136.679993,145.5,134.75,144,33870000,144
"41",144,157.130005,136.520004,154.580002,37367800,154.580002
"42",155.139999,166.320007,153.419998,163.070007,22656300,163.070007
"43",163.460007,170.509995,156.399994,168,24989100,168
"44",167.330002,191.169998,166.380005,188.979996,34772800,188.979996
"45",190,230.770004,180.699997,220.820007,65044000,220.820007
"46",213,227.389999,198.399994,205.850006,54878200,205.850006
"47",205.339996,213.5,184.710007,204.330002,61488900,204.330002
"48",204.669998,216.699997,193,211.539993,41492000,211.539993
"49",212,226.229996,203.830002,223.050003,49472700,223.050003
"50",226.800003,229.399994,210.779999,214.259995,45056200,214.259995
"51",213.869995,229.610001,201.910004,226.979996,55045400,226.979996
"52",227,249.940002,225.259995,241.279999,44434400,241.279999
"53",241.199997,248.559998,208.639999,242.740005,56349600,242.740005
"54",242.389999,272.75,239.279999,270.609985,83028600,270.609985
"55",269.339996,269.339996,252.020004,257.410004,51190700,257.410004
"56",260.269989,285.089996,253,266.540009,53406000,266.540009
"57",268.390015,296.769989,262,291.359985,66700000,291.359985
"58",291.359985,317.720001,287.600006,297.619995,80516500,297.619995
"59",299.5,301.76001,280.059998,282.859985,59820700,282.859985
"60",285.170013,315,279.73999,306.809998,47268400,306.809998
"61",310,311.200012,294.720001,301.290009,14205200,301.290009
