"","stock_data$BBT.Open","stock_data$BBT.High","stock_data$BBT.Low","stock_data$BBT.Close","stock_data$BBT.Volume","stock_data$BBT.Adjusted"
"1",29.26,30.48,26.18,26.309999,107146900,22.973642
"2",26.360001,28.690001,24.389999,24.83,163729900,21.804603
"3",25.370001,25.549999,21.719999,22.120001,129561400,19.424802
"4",22.440001,24.879999,22.35,24.08,136413600,21.145987
"5",24.209999,24.610001,22.15,23.41,146685700,20.687899
"6",23.48,25.870001,22.49,23.200001,134749200,20.502318
"7",23.540001,27.57,23.440001,26.290001,142972700,23.233015
"8",26.639999,28.5,25.950001,27.639999,144562300,24.563313
"9",27.870001,29.6,27.4,27.6,96559100,24.527767
"10",27.559999,27.93,26.17,27.450001,137690400,24.394464
"11",27.639999,27.809999,25.299999,26.92,112878300,24.072542
"12",27.1,27.559999,25.870001,27.540001,119385800,24.626962
"13",27.379999,27.42,25.24,26.84,132178800,24.001004
"14",26.780001,27.360001,24.59,25.68,100331200,23.099935
"15",26.02,26.110001,18.92,22.290001,196926200,20.050528
"16",22.209999,22.9,20.09,21.33,141830400,19.186979
"17",21.26,24.299999,19.76,23.34,216594100,21.146078
"18",22.32,24.27,21.030001,23.17,114830700,20.992058
"19",23,25.57,22.620001,25.17,93928900,22.804061
"20",25.639999,27.9,25.26,27.190001,122530500,24.787548
"21",27.5,30.4,27.42,29.25,124772100,26.665531
"22",29.4,31.940001,28.24,31.389999,121321800,28.616444
"23",31.219999,32.740002,29.93,32.040001,112157000,29.394526
"24",32.130001,32.669998,29.52,30.219999,89540800,27.724798
"25",29.57,30.85,27.4,30.85,109464500,28.302782
"26",31.26,32.73,30.41,31.370001,92557300,28.966064
"27",31.549999,32,30.780001,31.540001,71452800,29.123036
"28",31.51,34.369999,31.34,33.16,74994500,30.618892
"29",33.360001,33.889999,28.6,28.950001,114434100,26.89451
"30",29,29.559999,26.860001,28.17,113058600,26.16989
"31",28.309999,29.77,27.52,29.110001,81071900,27.04315
"32",29.690001,31.219999,29.540001,30.280001,87251000,28.324682
"33",30.540001,31.360001,29.860001,30.360001,74635100,28.611658
"34",30.209999,31.809999,30.01,31.389999,87937600,29.582343
"35",31.41,31.43,29.18,30.77,92407800,28.998048
"36",30.68,33.689999,30.1,32.919998,86669400,31.252353
"37",33.060001,34.369999,32.099998,33.880001,76803000,32.163725
"38",34.080002,36.16,33.830002,35.689999,73924200,33.882032
"39",35.98,36.59,33.869999,33.959999,60446300,32.446508
"40",34.41,35.580002,33.299999,33.75,72332000,32.245868
"41",33.93,34.91,32.650002,33.970001,82309500,32.456065
"42",33.950001,35.110001,32.82,34.740002,67785300,33.42011
"43",34.82,37.419998,34.060001,37.32,83833100,35.902085
"44",37.18,39.34,36.700001,37.41,103603000,35.988666
"45",37.450001,38.209999,36.279999,37.799999,56936200,36.587535
"46",37.189999,41.040001,37.119999,40.169998,88014100,38.881515
"47",40.32,40.950001,36.790001,37.330002,79744300,36.132614
"48",37.349998,38.299999,36.380001,37.919998,59038200,36.93759
"49",38.02,39.5,37.68,39.43,68590600,38.408472
"50",39.490002,40.209999,36.779999,37.02,85144300,36.060909
"51",36.889999,37.650002,35.860001,37.330002,55706700,36.603893
"52",37.48,39.099998,37.049999,37.209999,64699100,36.486224
"53",37.139999,38.080002,34.5,37.880001,122396200,37.143194
"54",37.939999,38.540001,37.09,37.59,66214400,37.093602
"55",37.43,39.689999,36.700001,38.889999,74941700,38.376434
"56",39.02,39.200001,34.950001,35.290001,92285600,34.823976
"57",35.490002,38.560001,35.240002,38.049999,72583800,37.787383
"58",38.049999,40.169998,37.540001,38.990002,87660800,38.720898
"59",38.77,39.490002,37.330002,38.290001,72492800,38.025729
"60",38.43,39.98,38.169998,39.470001,59816700,39.470001
"61",39.560001,41.32,39,41.16,27450400,41.16
