"","stock_data$DGX.Open","stock_data$DGX.High","stock_data$DGX.Low","stock_data$DGX.Close","stock_data$DGX.Volume","stock_data$DGX.Adjusted"
"1",52.439999,53.98,49.68,49.77,21237800,45.932877
"2",49.490002,51.110001,43.950001,46.990002,41919900,43.454518
"3",47.509998,48.98,43.380001,43.5,26953200,40.227101
"4",43.849998,50.560001,43.849998,50.470001,27297700,46.766937
"5",50.580002,51.619999,46.75,49.139999,33931400,45.53452
"6",49.27,52.439999,48.869999,49.32,18490900,45.701313
"7",49.939999,54.93,49.700001,53.970001,23874100,50.010136
"8",54.259998,58.25,52.650002,56.950001,34064200,52.866741
"9",56.959999,59.110001,56,56.75,50040300,52.68108
"10",56.82,57.779999,53.259998,57.720001,37631400,53.581534
"11",57.720001,59.389999,55.27,56.380001,29332800,52.428445
"12",56.439999,58.549999,55.630001,58.419998,28794300,54.325463
"13",58.189999,61.209999,57.68,59.099998,39773400,55.051893
"14",59.240002,60.799999,53.720001,54.009998,38184100,50.310537
"15",54.68,54.68,45.77,50.07,51570000,46.640412
"16",49.959999,51.02,46.75,49.360001,36175200,45.979044
"17",49.279999,58.75,45.130001,55.799999,43398900,52.087865
"18",55.07,58.68,54.139999,58.66,28161100,54.757602
"19",58.419998,59.439999,55.349998,58.060001,17493900,54.197519
"20",58.889999,61.470001,55.369999,58.080002,29072200,54.376535
"21",58.360001,58.73,56.310001,58.049999,18826300,54.348445
"22",58.049999,61.490002,56.900002,61.150002,18486900,57.409938
"23",61.130001,62.32,57.189999,57.689999,21922700,54.161556
"24",57.5,58.849998,56,56.900002,21152100,53.419877
"25",56.32,60.189999,53.25,59.900002,25755300,56.398208
"26",60.099998,63.98,56.84,58.43,25284100,55.014144
"27",59.52,61.240002,57.57,60.470001,15030700,56.934885
"28",60.310001,63.779999,60.049999,63.43,13001100,59.884673
"29",63.549999,64.870003,57.470001,57.720001,19802800,54.493826
"30",57.73,59.189999,55.98,57.779999,16757100,54.55047
"31",57.919998,60.830002,57.220001,58.27,15054100,55.013084
"32",58.669998,61.950001,57.029999,57.950001,34061300,54.997017
"33",58.400002,58.869999,55.16,56.169998,21579300,53.307719
"34",55.990002,57.5,55.330002,56.459999,25279700,53.869482
"35",56.419998,60,55.259998,56.330002,35452000,53.745449
"36",56.23,63.299999,56,61.84,26914500,59.002636
"37",61.91,63.400002,60.119999,60.630001,20619000,58.132187
"38",60.810001,61.470001,56.810001,58.310001,34593200,55.907766
"39",58.639999,60.209999,57.73,58.619999,22809000,56.204992
"40",58.869999,62.82,58.810001,61.790001,28453300,59.530649
"41",61.84,62.810001,57.360001,59.91,44191400,57.71939
"42",60.009998,64.099998,59.759998,60.939999,45895000,58.711727
"43",61.049999,62.029999,52.5,53.540001,55974400,51.58231
"44",53.450001,55.68,51.799999,52.5,58384000,50.869094
"45",52.200001,54.009998,50.459999,53,44694300,51.353562
"46",52.900002,60.5,51.860001,57.919998,51500100,56.120721
"47",58.150002,61.48,54.900002,55.93,54231800,54.489167
"48",55.810001,59.950001,55.080002,59.889999,36192900,58.347151
"49",59.849998,62.419998,57.880001,58.689999,43848200,57.178064
"50",58.869999,62.540001,58.560001,61.099998,30378600,59.854797
"51",60.98,63.25,59.68,63.209999,22622500,61.921797
"52",63.25,64.379997,60.669998,60.68,18803400,59.443359
"53",60.810001,64.25,56.27,63.459999,38149200,62.506916
"54",63.52,65.639999,59.25,65.309998,38987200,64.32913
"55",65.220001,68.510002,62.759998,67.059998,28602500,66.052847
"56",68.389999,72.629997,66.089996,71.07,33112700,70.339619
"57",71.260002,72.860001,68.68,70.139999,27644800,69.419177
"58",70.290001,78.330002,70.279999,76.849998,35434700,76.060218
"59",76.860001,76.860001,71.139999,71.419998,34628500,71.042167
"60",71.849998,89,69.470001,75.230003,43130200,74.832016
"61",75.839996,76.300003,73.559998,73.690002,9626000,73.300162
