"","stock_data$ACN.Open","stock_data$ACN.High","stock_data$ACN.Low","stock_data$ACN.Close","stock_data$ACN.Volume","stock_data$ACN.Adjusted"
"1",37.009998,41.130001,36.990002,38.650002,118194400,34.550265
"2",38.360001,40.619999,37.68,39.639999,89911200,35.435251
"3",40.169998,40.75,36.450001,36.599998,83355800,32.717713
"4",36.970001,42.799999,36.970001,42.490002,82425900,37.982944
"5",43.830002,45.970001,43.830002,44.709999,99629100,40.364663
"6",44.580002,45.709999,42.220001,43.32,70845000,39.109756
"7",43.77,51.43,43.240002,48.490002,84905700,43.777289
"8",48.66,52.720001,47.68,51.470001,74316500,46.467664
"9",51.830002,54.549999,51.200001,51.48,48307700,46.476691
"10",51.84,56.779999,48.720001,54.970001,89040100,49.627502
"11",54.810001,57.869999,54.049999,57.130001,69946500,51.996598
"12",57.119999,58.209999,54.540001,57.389999,71699800,52.233234
"13",57.459999,60.98,53.5,60.419998,136676600,54.990973
"14",60.189999,63.66,58.75,59.139999,241736400,53.825988
"15",59.630001,60.029999,47.400002,53.59,159486600,48.774683
"16",53.610001,56.299999,48.549999,52.68,128061900,47.946451
"17",52.57,61.900002,50.34,60.259998,89933100,55.502386
"18",57.110001,59.619999,53.189999,57.93,59289900,53.356345
"19",57.709999,60.200001,51.080002,53.23,90453900,49.027416
"20",53.919998,57.799999,51.470001,57.34,97148100,52.812926
"21",57.990002,60,56.450001,59.540001,55918000,54.839233
"22",59.810001,65.889999,59.07,64.5,79315200,59.407634
"23",64.629997,65.660004,61.77,64.949997,63944800,60.468439
"24",64.849998,65.639999,56.209999,57.099998,90845100,53.160091
"25",56.349998,60.32,54.939999,60.09,88963400,55.943783
"26",59.790001,61.119999,56.23,60.299999,61528000,56.139292
"27",60.439999,61.98,58.689999,61.599998,49672900,57.349591
"28",61.599998,70.650002,60.689999,70.029999,64113100,65.19792
"29",69.989998,71.790001,66.220001,67.410004,72324100,63.489192
"30",67.419998,69.25,64.300003,67.919998,55847900,63.969524
"31",68.139999,71.5,65.199997,66.5,69320100,62.632118
"32",67.589996,72.870003,67.550003,71.889999,57769100,67.708615
"33",72.489998,75.970001,71.580002,74.360001,46725400,70.034952
"34",74.129997,78.459999,72.419998,75.970001,52750300,71.551309
"35",76.07,81.449997,74.190002,81.440002,65806700,77.527156
"36",81.440002,84.220001,78.739998,82.110001,60586600,78.164964
"37",82.480003,83.300003,69,71.959999,77034300,68.502627
"38",72.139999,76.620003,71.389999,73.809998,78276600,70.263741
"39",74.209999,74.970001,70.5,72.25,66314900,68.778694
"40",72.720001,78.339996,72.360001,73.639999,70562800,70.10191
"41",73.540001,75.260002,69.779999,73.5,69020600,70.8961
"42",73.889999,79.449997,72.330002,77.470001,61371800,74.725455
"43",77.419998,83.449997,73.790001,82.220001,75326700,79.307176
"44",81.5,85.879997,78.82,79.879997,70394800,77.050072
"45",80.019997,84.75,77.419998,83.349998,47342400,80.39714
"46",82.559998,84.690002,76.25,79.720001,69509700,76.895744
"47",79.599998,80.389999,76.360001,80.220001,71963300,78.308244
"48",80.18,81.489998,77.709999,81.449997,42588900,79.508927
"49",81.099998,84.559998,79.769997,80.839996,60237800,78.913464
"50",81.089996,81.690002,78.849998,79.279999,50873500,77.390643
"51",78.849998,81.989998,76.870003,81.059998,42921000,79.128222
"52",80.949997,82.160004,77.559998,81.32,67907500,79.382028
"53",81.18,81.419998,73.980003,81.120003,75168600,80.261588
"54",81.029999,86.489998,80.669998,86.330002,43762700,85.416455
"55",85.879997,91.940002,81.660004,89.309998,62619700,88.364917
"56",89.669998,91.339996,83.860001,84.029999,54791100,83.140791
"57",84.419998,91.440002,83.470001,90.029999,41474900,89.077299
"58",90.029999,94.980003,86.400002,93.690002,68503900,92.698572
"59",93.559998,96.779999,92.129997,92.650002,48841600,92.650002
"60",93.32,97.949997,92.589996,96.040001,39166700,96.040001
"61",96.18,97.269997,94.25,96.519997,11972800,96.519997
