"","stock_data$PPL.Open","stock_data$PPL.High","stock_data$PPL.Low","stock_data$PPL.Close","stock_data$PPL.Volume","stock_data$PPL.Adjusted"
"1",25.209999,26.110001,24.23,24.950001,191266400,19.559143
"2",25.040001,28,24.83,27.290001,119484100,21.393548
"3",27.450001,27.889999,25.51,27.16,109091900,21.291636
"4",27.35,27.950001,26.5,27.23,94790200,21.621291
"5",27.5,28.139999,25.889999,26.860001,89296400,21.327502
"6",26.969999,27.09,25.129999,25.41,77049000,20.176166
"7",25.6,26.540001,25.129999,26.32,83744700,21.187158
"8",26.51,26.98,25.33,25.790001,91264900,20.760517
"9",25.84,26,24.5,25.43,98407900,20.470723
"10",25.530001,26.18,24.1,25.299999,136267100,20.643974
"11",25.52,27.559999,25.23,27.43,237715900,22.381986
"12",27.59,28.379999,27.040001,28.190001,110803700,23.002121
"13",28.139999,28.209999,26.82,27.83,110810200,22.999718
"14",27.950001,28.73,27.33,27.9,72733800,23.057569
"15",28.15,28.93,25,28.879999,170013800,23.867476
"16",28.940001,29.610001,27.549999,28.540001,94803900,23.878091
"17",28.5,29.780001,27,29.370001,81304200,24.572513
"18",28.870001,30.27,28.280001,30.02,95631100,25.116338
"19",29.91,30.110001,28.280001,29.42,83742600,24.907075
"20",29.85,29.85,27.41,27.790001,99210700,23.527112
"21",27.85,29,27.290001,28.549999,118778700,24.17053
"22",28.58,28.700001,27.48,28.26,79074400,24.233835
"23",28.280001,28.440001,26.68,27.35,93106200,23.453482
"24",27.370001,27.780001,27,27.370001,132899400,23.470633
"25",27.18,28.209999,27.16,27.809999,95185200,24.163117
"26",27.98,29.290001,27.719999,28.9,79624500,25.11018
"27",29.02,29.98,28.4,29.33,103520000,25.483792
"28",29.34,29.799999,28.549999,29.049999,96714300,25.550843
"29",29.16,30.18,28.780001,29.57,63358200,26.008208
"30",29.67,29.75,27.74,29.35,87925600,25.814708
"31",29.360001,29.540001,28.040001,28.629999,77250000,25.494137
"32",28.99,30.360001,28.639999,30.290001,76670800,26.972318
"33",30.42,30.950001,29.959999,30.82,88565100,27.444266
"34",30.799999,31.35,29.950001,31.309999,82131900,28.211275
"35",31.35,33.400002,30.809999,33.380001,81625000,30.07641
"36",33.400002,33.549999,29.52,29.700001,141643900,26.760617
"37",29.690001,30.43,28.440001,30.26,125475000,27.609253
"38",30.68,31.959999,29.030001,31.77,102284400,28.986979
"39",31.9,32.09,30.280001,30.700001,94713800,28.01071
"40",30.969999,31.129999,29.809999,30.379999,93491500,28.057494
"41",30.49,31.790001,29.549999,30.629999,111346700,28.288382
"42",30.68,31.200001,29.91,30.709999,80930700,28.362266
"43",30.709999,30.860001,28.950001,30.09,76517500,28.131438
"44",30.129999,30.629999,29.4,30.57,91692200,28.580195
"45",30.9,32.32,30.040001,32.290001,73221000,30.188241
"46",32.189999,33.240002,31.190001,33.139999,100109100,31.348317
"47",33.240002,33.939999,32.32,33.34,114584100,31.537505
"48",33.549999,35.119999,33,35.09,107349300,33.192893
"49",34.990002,35.560001,33.169998,35.529999,95303600,33.972082
"50",35.52,35.52,32.650002,32.990002,70038200,31.543459
"51",32.790001,34.639999,31.790001,34.630001,80368500,33.111548
"52",34.529999,34.720001,32.41,32.84,83345900,31.742528
"53",32.950001,35.02,32.09,34.990002,106486300,33.820679
"54",35.02,36.810001,34.779999,35.529999,85134100,34.34263
"55",35.48,38.139999,34.110001,36.330002,85224200,35.491452
"56",36.48,36.580002,34.700001,35.5,94456200,34.680607
"57",35.5,36.740002,34.02,34.099998,92309400,33.31292
"58",34.029999,34.470001,31.309999,33.66,126542400,33.25434
"59",33.23,34.75,32.84,34.029999,84542400,33.619879
"60",34.119999,35.09,32.919998,34.709999,85654900,34.291685
"61",34.73,34.970001,30.059999,30.219999,52166900,30.219999
