"","stock_data$CFN.Open","stock_data$CFN.High","stock_data$CFN.Low","stock_data$CFN.Close","stock_data$CFN.Volume","stock_data$CFN.Adjusted"
"1",25.4,25.93,22.66,22.7,28820600,22.7
"2",22.65,23.29,20.63,21.07,43861100,21.07
"3",21.35,23.87,20.97,21.58,46634200,21.58
"4",21.78,25.35,21.55,24.84,63731400,24.84
"5",24.97,25.2,23.95,24.14,37919600,24.14
"6",24.24,24.63,22.6,22.87,51673700,22.87
"7",23.07,26.24,22.53,25.7,55200900,25.7
"8",25.8,26.98,24.95,25.73,34071700,25.73
"9",26.01,28.35,25.93,27.32,32379000,27.32
"10",27.39,28.61,25.91,28.2,29311000,28.2
"11",28.49,29.73,27.15,29.37,35147000,29.37
"12",29.52,29.97,28.31,28.98,41611300,28.98
"13",28.91,28.95,26.15,27.17,48703300,27.17
"14",27.12,28.25,26.02,26.39,29281800,26.39
"15",26.58,26.58,22.01,25.61,76270300,25.61
"16",25.7,25.89,22.6875,23.95,41219200,23.95
"17",23.7,26,22.66,25.6,39364500,25.6
"18",24.88,25.94,23.01,24.78,37309000,24.78
"19",24.8,25.63,23.77,25.41,27506000,25.41
"20",25.41,25.95,22.55,23.95,56495600,23.95
"21",24.22,26.49,23.6,25.81,47572400,25.81
"22",25.83,26.18,24.72,25.93,28350300,25.93
"23",25.86,26.5,25.17,25.91,35606500,25.91
"24",25.9,27.29,23.94,24.24,42739500,24.24
"25",23.87,25.69,23.77,25.68,31299800,25.68
"26",25.73,25.86,23.99,24.41,25902600,24.41
"27",24.43,27.23,23.93,26.27,49072400,26.27
"28",26.27,28.73,26.14,28.39,39316100,28.39
"29",28.41,28.99,26.25,26.56,22771600,26.56
"30",26.54,28.07,26,27.92,28666200,27.92
"31",27.97,29.07,27.52,28.58,19070100,28.58
"32",28.58,31.55,28.58,31.04,26466700,31.04
"33",31.17,33.61,30.75,32.74,42860300,32.74
"34",32.69,35,32.46,34.99,30788500,34.99
"35",34.97,35.61,33.25,33.44,31651000,33.44
"36",33.26,38.09,32.48,36.75,55024400,36.75
"37",36.83,38.49,36.03,36.85,45546500,36.85
"38",36.97,39.2,36.86,38.57,35229800,38.57
"39",38.73,39.38,35.01,35.85,50676300,35.85
"40",35.85,38.5,35.455,36.9,33704700,36.9
"41",36.71,39.65,36.71,38.77,29666200,38.77
"42",38.86,40.03,37.1,39.85,28216100,39.85
"43",39.91,40.29,37.605,39.82,29821800,39.82
"44",39.82,41.98,38.95,40.77,35639400,40.77
"45",40.85,41.73,37.87,40.53,31255000,40.53
"46",40.17,41.79,39.02,40.22,23612200,40.22
"47",40.35,42.09,37.755,39.06,32161500,39.06
"48",39.01,43.33,38.07,42.93,43259300,42.93
"49",42.96,44.68,42.52,44.35,29177200,44.35
"50",44.56,45.81,43.715,43.79,24735400,43.79
"51",43.77,45.93,41.39,45.91,32199400,45.91
"52",45.91,47.06,44.3,45.25,27796000,45.25
"53",45.24,58,44.8,57.37,142192700,57.37
"54",57.43,59.34,57.03,59.17,41040800,59.17
"55",59.16,59.62,58.635,59.34,44691600,59.34
"56",59.34,60.08,59.25,59.3,45458700,59.3
"57",59.43,60.36,59.14,60.08,37234400,60.08
"58",60.07,60.395,59.61,59.91,45215700,59.91
