"","stock_data$XRAY.Open","stock_data$XRAY.High","stock_data$XRAY.Low","stock_data$XRAY.Close","stock_data$XRAY.Volume","stock_data$XRAY.Adjusted"
"1",31.030001,32.07,29.91,29.91,17618600,29.063061
"2",29.870001,30.969999,28.299999,30.02,30303600,29.169946
"3",30.43,31.889999,27.76,27.780001,25059400,26.993375
"4",28.08,32.439999,28.059999,31.969999,17901500,31.113961
"5",32.25,33.330002,30.790001,31.389999,21984800,30.549491
"6",31.35,32.310001,30.52,30.92,21827600,30.092076
"7",31.25,34.889999,31.24,34.169998,14900900,33.303191
"8",34.459999,36.950001,34.259998,35.48,16193000,34.579961
"9",35.57,37.43,35.459999,37.369999,14702200,36.422016
"10",37.369999,38.490002,34,36.990002,24379300,36.102123
"11",37,38.740002,34.759998,37.549999,17005700,36.648679
"12",37.82,40.16,37.360001,39.240002,17069500,38.298116
"13",39.32,39.700001,35.900002,38.080002,26436800,37.215967
"14",38.189999,39.939999,37.16,37.889999,34684600,37.030275
"15",38.110001,38.259998,31.219999,35.200001,48307300,34.401313
"16",35.57,35.68,30.41,30.690001,30852500,30.042319
"17",30.379999,40.369999,28.35,36.959999,36261500,36.179996
"18",36.200001,37.200001,32.549999,36.110001,28888400,35.347936
"19",35.950001,36.57,34.419998,34.990002,21757500,34.304678
"20",35.66,39.060001,34.77,37.740002,17651500,37.000816
"21",38.029999,39.59,36.75,38.709999,19773900,37.951815
"22",38.77,40.32,37.990002,40.130001,16228700,39.398055
"23",40,41.380001,38.400002,41.060001,14237900,40.311092
"24",40,40.709999,36.84,37,24062400,36.325143
"25",36.490002,38.639999,35.880001,37.810001,18649100,37.176189
"26",37.990002,38.119999,35.349998,36.34,20929400,35.730829
"27",36.200001,39.27,35.040001,36.27,19679400,35.662003
"28",36.029999,38.240002,35.869999,38.139999,17566400,37.555344
"29",38.16,38.689999,35.830002,36.84,20067700,36.275273
"30",37.09,39.889999,36.59,39.700001,13907400,39.091432
"31",39.790001,40.82,38.759998,39.610001,13205900,39.056393
"32",40.220001,42.599998,39.360001,41.759998,15096400,41.176342
"33",42,43.509998,40.740002,41.419998,13315500,40.841093
"34",41.27,43.630001,40.860001,42.439999,13204000,41.9102
"35",42.380001,42.619999,40.400002,42.349998,13359700,41.821323
"36",42.23,44.209999,40.5,41.759998,21750600,41.238688
"37",41.880001,42.439999,39.900002,40.959999,16497600,40.512101
"38",41.32,43.009998,40.810001,42.880001,15403000,42.411108
"39",42.400002,43.099998,41.310001,41.990002,15598500,41.530841
"40",42.419998,45.369999,41.849998,43.41,16412700,42.996988
"41",43.509998,47.23,42.990002,47.110001,19534600,46.661786
"42",47.299999,48.970001,46.810001,47.560001,12594000,47.107505
"43",47.560001,50.990002,46.830002,48.48,21091200,48.080748
"44",47.939999,49.130001,42.990002,46.139999,21768000,45.760018
"45",46.200001,46.669998,43,45.380001,23703100,45.006279
"46",45.290001,47.029999,44.759998,46.040001,17287500,45.727099
"47",46.220001,47.869999,43.849998,44.630001,20459300,44.326682
"48",44.73,47.490002,44.459999,47.290001,19268500,46.968604
"49",47.389999,48.380001,47.07,47.349998,14999900,47.093546
"50",47.540001,47.939999,46.080002,46.419998,13401200,46.168583
"51",46.25,48.540001,45.720001,47.709999,11713900,47.451597
"52",47.91,48.169998,45.119999,45.599998,11799400,45.418503
"53",45.599998,50.939999,43.830002,50.77,23720300,50.567928
"54",50.610001,55.369999,50.41,54.98,14911800,54.76117
"55",53.619999,56.25,52.369999,53.27,16988000,53.122798
"56",52.130001,53.810001,49.650002,50.029999,21091900,49.891749
"57",50.200001,53.849998,49.419998,53.009998,20453900,52.863514
"58",52.98,53.580002,50.02,50.889999,19616200,50.820037
"59",50.810001,52.709999,49.810001,51,13175100,50.929886
"60",51.169998,52.959999,49.889999,52.040001,16720400,51.968457
"61",52.290001,52.779999,51.240002,52.549999,4478600,52.477754
