"","stock_data$MNST.Open","stock_data$MNST.High","stock_data$MNST.Low","stock_data$MNST.Close","stock_data$MNST.Volume","stock_data$MNST.Adjusted"
"1",38.849998,40.619999,37.59,39.110001,25533800,19.555
"2",38.91,43.490002,38.02,41.889999,34090400,20.945
"3",42.459999,46.650002,40.810001,45.040001,39745400,22.52
"4",45.509998,47.959999,44.5,46.619999,32317200,23.309999
"5",46.919998,52.84,45.509998,51.209999,29180200,25.605
"6",51.459999,54.75,48.849998,53.220001,35010200,26.610001
"7",53.720001,54.75,48.279999,52.279999,40114000,26.139999
"8",52.650002,57.029999,51.669998,56.639999,29974400,28.32
"9",56.959999,59.849998,54.43,57.549999,37455000,28.775
"10",57.279999,60.52,53.279999,60.23,35545800,30.115
"11",60.32,66.510002,59.810001,66.150002,26419000,33.075001
"12",66.260002,71.959999,61.509998,71.650002,34298000,35.825001
"13",71.599998,81.790001,70.639999,80.949997,39026800,40.474998
"14",81.120003,84,74.550003,76.620003,44937800,38.310001
"15",77.529999,90.239998,68.860001,85.32,69957600,42.66
"16",85.360001,94.660004,79,87.290001,54624400,43.645
"17",86.849998,96.940002,76.389999,89.089996,53224800,44.544998
"18",86.43,97.309998,84.529999,92.199997,37408400,46.099998
"19",91.379997,98.360001,91.010002,92.139999,33772600,46.07
"20",93.57,108.699997,91.129997,104.510002,30091000,52.255001
"21",105.550003,111.18,52.439999,57.18,31653300,57.18
"22",57.25,63.18,56.25,62.09,22301900,62.09
"23",62.150002,83.959999,60.66,65,38342700,65
"24",65,74.919998,63.200001,72.599998,50413700,72.599998
"25",71.43,79,66.370003,71.199997,75429100,71.199997
"26",71.940002,75,61.720001,66.419998,40177000,66.419998
"27",66.459999,69.099998,52,58.939999,82669800,58.939999
"28",58.52,58.799999,50.200001,54.060001,49367700,54.060001
"29",54.290001,59.07,40.060001,44.650002,97409300,44.650002
"30",44.709999,53.189999,39.990002,52.049999,66095800,52.049999
"31",52.369999,57.360001,50.810001,52.84,36797800,52.84
"32",53.700001,54.34,45.799999,47.900002,42901600,47.900002
"33",48.380001,53.880001,45.950001,50.459999,45598800,50.459999
"34",50.139999,51.09,45.380001,47.740002,42164100,47.740002
"35",47.740002,58.57,47.16,56.400002,41915400,56.400002
"36",55.459999,59.34,50.75,54.59,48394200,54.59
"37",54.43,62.939999,53.57,60.830002,40796800,60.830002
"38",61.099998,64.879997,59.150002,60.990002,27156300,60.990002
"39",61.419998,66.120003,56.779999,57.389999,29413800,57.389999
"40",58.16,58.740002,51.849998,52.25,32995300,52.25
"41",52.43,59,51.150002,57.23,35668100,57.23
"42",57.549999,60.25,54.41,59.18,29298500,59.18
"43",61.639999,68.330002,59.16,67.769997,27590600,67.769997
"44",67.879997,70.489998,66.309998,67.900002,31737000,67.900002
"45",68.110001,75.629997,66.440002,74,34719100,74
"46",73.339996,74.550003,67.720001,69.449997,27804100,69.449997
"47",69.739998,71.519997,63.16,66.959999,27919800,66.959999
"48",67.059998,71.290001,63,69.379997,24151800,69.379997
"49",69.279999,73.379997,66.269997,71.029999,31606000,71.029999
"50",70.889999,72,63.82,63.959999,31506100,63.959999
"51",64.25,94.93,64.169998,88.410004,58611000,88.410004
"52",88.800003,92.769997,88.199997,91.669998,24845900,91.669998
"53",91.599998,101.379997,89.559998,100.879997,31011000,100.879997
"54",100.849998,113.5,98.650002,112.150002,18635200,112.150002
"55",110.970001,113.489998,103.18,108.349998,21431000,108.349998
"56",109.400002,122.269997,106.769997,116.949997,23813300,116.949997
"57",116.790001,143.899994,114.699997,141.119995,20614300,141.119995
"58",142.179993,142.990005,133.919998,138.399994,23650300,138.399994
"59",138.720001,144.690002,134,137.110001,21230200,137.110001
"60",137.240005,144.350006,126.370003,127.279999,41473900,127.279999
"61",127.82,128.169998,124.18,127.029999,9847300,127.029999
