"","stock_data$PLL.Open","stock_data$PLL.High","stock_data$PLL.Low","stock_data$PLL.Close","stock_data$PLL.Volume","stock_data$PLL.Adjusted"
"1",35.84,38.139999,34.330002,34.369999,18524400,32.010476
"2",34.330002,38.830002,33.32,38.240002,21604200,35.6148
"3",38.849998,39.060001,33.720001,34.189999,17349700,31.975615
"4",34.84,42.439999,34.75,41.639999,20994600,38.943101
"5",41.93,44.650002,41.060001,42.669998,18428400,40.057121
"6",42.900002,46.299999,42.400002,45.27,12733200,42.497913
"7",46.139999,51.009998,45.91,49.580002,18563200,46.543994
"8",50,55.470001,48.599998,55.41,20260800,52.016994
"9",55.59,56,52.349998,54.360001,16058200,51.196932
"10",54.669998,57.669998,53.209999,57.610001,22908300,54.257823
"11",57.799999,59.5,55.25,58.439999,16377700,55.039526
"12",58.740002,58.830002,53.169998,56.099998,16629400,53.002992
"13",55.810001,56.389999,52.43,56.23,16940600,53.125816
"14",56.27,58.09,49.490002,49.580002,22886700,46.842933
"15",50.389999,52.240002,41.369999,51.130001,51478000,48.487211
"16",51.290001,51.970001,40.57,42.400002,47636700,40.208445
"17",41.84,54.080002,39.810001,51.169998,31390500,48.706458
"18",49.189999,54.549999,48.860001,54.490002,21158900,51.866623
"19",54.150002,58.200001,52.470001,57.150002,24066200,54.398559
"20",58.169998,60.75,54.93,59.68,15235400,56.806753
"21",60.080002,64.550003,59.360001,63.450001,15154000,60.603747
"22",63.599998,63.66,58.349998,59.630001,25629000,56.955106
"23",59.630001,60.84,56.91,59.610001,13077100,56.936002
"24",59.34,59.970001,54.93,55.66,18893500,53.354099
"25",54.93,55.389999,51.130001,54.810001,32679500,52.539315
"26",55,55.009998,49.970001,53.41,17301300,51.197313
"27",53.18,55.98,52,55.509998,12181500,53.420352
"28",55.389999,65.82,55.040001,63.490002,18962900,61.099952
"29",63.900002,65.57,62,62.959999,13507200,60.827286
"30",62.900002,65.279999,58.18,59.48,17799200,57.465168
"31",59.860001,62.189999,59.02,60.259998,14567200,58.218745
"32",61.400002,69.050003,61.290001,68.300003,14889900,65.986402
"33",69.029999,69.029999,65.849998,68.18,9301000,66.112564
"34",67.779999,69.169998,66.160004,68.370003,8571500,66.296805
"35",68.239998,68.239998,62.720001,66.709999,11666300,64.687138
"36",66.440002,73.190002,64,68.199997,11704100,66.380495
"37",68.459999,69.970001,64.089996,66.43,12077700,64.65772
"38",66.75,71.230003,65.650002,69.959999,8902700,68.338839
"39",70.410004,72.220001,68.43,69.139999,9498400,67.537841
"40",70.269997,77.910004,69.379997,77.040001,10396400,75.254778
"41",77.150002,81.440002,74.57,80.519997,12711000,78.939354
"42",80.57,85.550003,80.239998,83.699997,11316000,82.05693
"43",83.510002,85.580002,79.879997,85.349998,9109200,83.674541
"44",84.980003,85.480003,78.400002,80.099998,11455000,78.527601
"45",80.019997,86.910004,78.339996,86,11865900,84.583866
"46",85.160004,89.830002,84.57,89.470001,12601600,87.996728
"47",89.739998,91.830002,81.540001,84.150002,14743900,82.764331
"48",84.040001,87.099998,82.690002,84.739998,10535500,83.620173
"49",84.900002,87.389999,83.650002,85.389999,9598400,84.261585
"50",85.739998,86.040001,77.459999,77.470001,10211300,76.706287
"51",77.43,84.540001,76.589996,84.370003,13181800,83.538267
"52",84.419998,85.279999,82.239998,83.699997,16015700,82.874866
"53",83.400002,92.169998,79.839996,91.419998,16931300,90.856914
"54",91.699997,98.349998,91.18,96.110001,13595800,95.51803
"55",95.620003,102.68,93.129997,101.209999,15704800,100.586616
"56",101.919998,103.290001,96.589996,96.760002,12202800,96.164028
"57",97.059998,106.190002,96.239998,100.809998,9380000,100.498036
"58",101.110001,105.089996,97.540001,100.389999,10727400,100.079337
"59",100.050003,101.360001,96.769997,97.32,8306800,97.32
"60",97.75,125.400002,97.110001,124.440002,70589600,124.440002
"61",124.5,125.099998,124.269997,124.879997,8263600,124.879997
