"","stock_data$MAS.Open","stock_data$MAS.High","stock_data$MAS.Low","stock_data$MAS.Close","stock_data$MAS.Volume","stock_data$MAS.Adjusted"
"1",11.9,13.25,10.74,10.760001,100296900,8.506541
"2",10.819999,12.050001,9.94,10.28,178973100,8.184385
"3",10.4,11.359999,10,10.49,113210000,8.351575
"4",10.72,11.72,10.58,11.010001,83892900,8.765572
"5",11.18,12.159999,10.460001,10.659999,135956100,8.54201
"6",10.75,11.859999,10.5,10.909999,85693000,8.742339
"7",11.12,13.54,11.12,12.660001,110274900,10.14464
"8",12.87,14.09,12.710001,13.32,119767900,10.736174
"9",13.68,15.03,12.409999,13.59,135803300,10.953799
"10",13.62,14.34,12.92,13.92,144448600,11.219785
"11",14.01,14.29,12.810001,13.42,101263200,10.874377
"12",13.48,14.43,12.87,14.250001,125981600,11.546936
"13",14.23,14.28,11.73,12.03,158715400,9.748045
"14",12.09,12.5,10.38,10.550001,142740000,8.601364
"15",10.7,10.7,7.22,8.87,192771800,7.231668
"16",8.86,8.99,6.78,7.12,136973300,5.804901
"17",7.04,10.460001,6.6,9.600001,150172900,7.907751
"18",9.300001,9.9,8.33,9.58,115586200,7.891276
"19",9.52,10.710001,8.57,10.48,102695900,8.632627
"20",10.800001,13.04,10.75,12.07,155246500,10.010734
"21",12.23,13.29,11.18,11.88,170051700,9.853149
"22",11.960001,14.41,11.010001,13.37,168689100,11.08894
"23",13.300001,13.5,11.659999,13.18,154472100,10.994402
"24",13.93,14.68,11.7,12.67,212576200,10.568974
"25",12.33,14.15,11.550001,13.87,171700800,11.569982
"26",13.87,14.500001,11.960001,12.03,158364000,10.088504
"27",12.04,14.23,11.53,14.16,129443700,11.874748
"28",14.17,16.48,13.42,15.050001,133791000,12.621113
"29",15.17,16.33,14.06,15.09,131461900,12.719691
"30",15.15,17.190001,14.359999,16.959999,114986200,14.295954
"31",17.05,17.14,15.640001,16.66,85591400,14.043079
"32",17.040001,18.639999,16.91,18.39,95504400,15.571437
"33",18.629999,20.700002,17.66,19.26,129805500,16.308096
"34",19.120001,21.07,18.819999,20.250001,96775000,17.146363
"35",20.27,20.920001,18.46,19.440001,119964900,16.523613
"36",19.430001,22.830001,19.430001,21.020001,125356700,17.866581
"37",21.129999,21.600002,18.430001,19.49,124808200,16.566111
"38",19.610001,21.409999,19.28,20.520001,109822400,17.506597
"39",20.799999,21.639999,18.27,18.920001,95996300,16.14156
"40",19.150001,22.940001,18.799999,21.28,97375500,18.154988
"41",21.309999,21.930001,19.110001,21.129999,123895300,18.096982
"42",21.15,22.59,19.78,22.420001,85657000,19.201816
"43",22.38,22.899999,21.010001,22.77,80553600,19.501576
"44",22.729999,23.600002,20.77,21.16,93391200,18.182362
"45",21.139999,23.499999,20.600002,23.35,90051000,20.064184
"46",22.920001,23.730001,21.600002,22.209999,99107600,19.084604
"47",22.299999,23.420001,19.909999,20.09,116657300,17.322368
"48",20.010001,21.610001,19.499999,21.299999,137752700,18.365676
"49",21.28,22.86,21.209999,22.200002,136118300,19.21888
"50",22.330001,22.540001,20.18,20.799999,123051700,18.006877
"51",20.86,23.690002,20.750001,23.47,67489500,20.318337
"52",23.58,24.909999,23.030001,23.920001,88763800,20.70791
"53",24.200001,24.219999,19.840001,22.07,151995400,19.181169
"54",22.100002,24.690002,21.909999,24.200001,75460600,21.032365
"55",24.08,25.58,23.709999,25.200001,93245100,21.901471
"56",25.39,25.940001,23.229999,24.840001,92170600,21.668031
"57",25.06,27.399999,24.610001,26.190002,81937200,22.845642
"58",26.190002,27.089999,25.49,26.700001,76987900,23.290517
"59",26.809999,27.209999,25.47,26.489999,97111900,23.186712
"60",26.48,27.930001,25.820001,27.07,85485400,23.694387
"61",27.209999,28.020001,26.989999,27.88,21352500,24.40338
