"","stock_data$IP.Open","stock_data$IP.High","stock_data$IP.Low","stock_data$IP.Close","stock_data$IP.Volume","stock_data$IP.Adjusted"
"1",22.340004,26.969998,22.180004,22.629998,143681600,19.190339
"2",22.820001,25.790006,21.959996,24.200003,143092400,20.52171
"3",24.660005,25.280004,19.330005,20.459996,137056800,17.449901
"4",20.969997,23.640002,20.770007,21.749996,164030700,18.550116
"5",22.059998,25.330005,21.439997,25.280004,148606900,21.560786
"6",25.540005,26.590001,24.260003,24.970005,118146300,21.397858
"7",25.450002,27.500005,25.109997,27.240007,89977700,23.34312
"8",27.500005,29.640003,27.210002,28.88,120172000,24.748499
"9",29.110005,30.439998,26.709999,27.780002,97942500,23.959122
"10",27.849999,30.410005,24.880002,30.179998,136623000,26.029021
"11",30.300005,31.500003,28.619999,30.880002,107759600,26.632747
"12",32.340001,33.010002,29.950002,31.219997,108895800,27.146882
"13",31.020006,31.259999,26.249997,29.819997,168896800,25.929533
"14",30.019999,31.57,28.750004,29.700001,94167500,25.825192
"15",30.310003,30.310003,22.900005,27.150004,164996000,23.867592
"16",27.090006,28.31,23.170002,23.249997,148841300,20.439092
"17",23.049996,29.249997,21.549996,27.699998,108812200,24.351092
"18",26.730005,29.409997,25.359999,28.400003,114899300,25.195837
"19",28.250002,29.850002,26.979997,29.600001,83536900,26.260448
"20",30.229999,32.580005,29.449999,31.140003,94951200,27.626703
"21",31.479997,36.000004,30.860006,35.150007,112855100,31.443936
"22",35.180001,36.500006,34.159997,35.099997,105371500,31.399198
"23",35.099997,35.590004,31.960004,33.310005,96127800,29.797936
"24",33.229997,33.610007,28.610002,29.199998,113021200,26.352996
"25",28.450002,30.260003,27.290006,28.910004,83008100,26.091276
"26",28.910004,33.660006,28.290004,32.809998,101445700,29.61102
"27",32.969999,35.150007,31.490004,34.560002,83042000,31.44182
"28",34.46,37.250001,33.710005,36.32,105711100,33.043023
"29",36.439997,38.419997,34.829999,35.830008,79888200,32.59724
"30",35.819998,37.350003,32.950004,37.140003,73653900,34.084057
"31",37.250001,39.880005,35.110007,39.840001,67296100,36.561894
"32",40.130005,42.74,39.53,41.419998,73609600,38.011886
"33",41.850003,44.740006,39.470002,44.010006,82113800,40.679284
"34",43.740009,47.249999,43.510004,46.580009,77789200,43.054786
"35",46.519999,49.100001,44.720008,46.980002,94343000,43.424507
"36",46.760003,48.940004,43.190003,46.150003,81714700,42.927022
"37",46.220008,46.700005,42.360005,44.310009,77170800,41.215527
"38",44.550001,50.330003,44.550001,48.310006,76143500,44.936177
"39",48.799998,49.740009,46.000002,47.209999,62212400,44.187907
"40",47.800005,49.960008,43.950008,44.800004,72714900,41.932186
"41",44.779999,45.970009,42.919998,44.609999,102318100,41.754344
"42",44.81,47.270005,43.050001,46.650006,75424700,44.010459
"43",46.63,49.519999,45.379999,49.030007,78212600,46.255796
"44",48.580004,49.360003,45.320001,47.740007,71515600,45.038786
"45",47.640004,49.710004,44.669997,48.890001,71335000,46.459404
"46",47.840005,48.830003,44.430005,45.880006,90225200,43.599053
"47",46.069999,47.57,44.24,46.650006,78105400,44.330772
"48",46.519999,47.659999,45.5,47.630005,53565500,45.604871
"49",47.550001,50.650004,46.870004,50.470005,59917400,48.32412
"50",50.850004,51.98,47.060001,47.5,116067400,46.117119
"51",47.459999,48.52,46.77,48.450001,55274300,47.386433
"52",48.360001,50.43,47.509998,47.740002,73357600,46.69202
"53",47.59,51.099998,44.5,50.619999,92246300,49.508796
"54",50.619999,55.130001,50.169998,53.82,59044200,53.031011
"55",53.669998,55.73,52.099998,53.580002,53737200,52.794532
"56",53.860001,55.490002,51.349998,52.66,62538100,51.888017
"57",52.959999,57.900002,52.220001,56.41,51789500,55.986182
"58",56.41,57.009998,53.68,55.490002,55420000,55.073096
"59",55.200001,56.490002,52.330002,53.720001,60887100,53.316394
"60",53.939999,54.400002,50.759998,51.830002,64199500,51.830002
"61",51.779999,52.09,50.290001,50.900002,20771400,50.900002
