"","stock_data$OXY.Open","stock_data$OXY.High","stock_data$OXY.Low","stock_data$OXY.Close","stock_data$OXY.Volume","stock_data$OXY.Adjusted"
"1",81.350009,88.839997,77.070004,77.150011,84722200,64.854207
"2",77.370007,83.180012,75.440003,77.930009,94418200,65.509892
"3",79.599997,80.890008,72.130004,73.080008,114300700,61.432862
"4",74.42,79.260007,73.860006,78.300009,97895000,66.149722
"5",79.11001,85.920001,77.780003,78.629999,110685400,66.428505
"6",79.760012,89.490007,79.54,88.170001,95134500,74.488127
"7",89.270003,99.570001,88.90001,98.099998,81669500,83.218279
"8",98.790003,99.150004,93.250006,96.680007,99533700,82.0137
"9",97.79001,107.560009,96.120005,101.970015,92870300,86.501216
"10",104.120014,105.820006,94.73001,104.490007,95387200,89.034524
"11",105.880003,114.550008,95.670005,114.290001,94897000,97.384966
"12",115.11001,117.890009,98.250011,107.850003,122802400,91.897531
"13",107.840002,108.120011,96.750006,104.040007,100742700,89.054846
"14",104.040007,109.08,98.040001,98.180005,81839900,84.038875
"15",99.730015,99.94001,78.770003,86.740002,172396300,74.246606
"16",87.110003,88.700008,69.900013,71.500004,132720400,61.543905
"17",71.39001,98.379999,66.360002,92.94001,127360500,79.998474
"18",88.830004,101.650002,86.690005,98.900005,105114400,85.128563
"19",98.210008,99.980013,86.940003,93.699998,87147500,81.036305
"20",96.730012,103.830013,94.790007,99.770003,89717500,86.28594
"21",100.390002,106.68001,97.370005,104.370005,73559800,90.264244
"22",104.800011,105.420002,91.850001,95.230014,87063000,82.802103
"23",95.029996,98.240002,86.47001,91.220009,87403400,79.31542
"24",91.480008,93.780005,78.089999,79.27,114951300,68.924936
"25",77.870011,88.180002,76.590001,85.770003,138526700,75.076057
"26",85.930001,89.690008,82.380005,87.030003,81722600,76.178959
"27",87.650003,91.630005,84.220009,85.010015,74629300,74.410826
"28",85.2,93.599997,82.250002,86.060005,88966800,75.825309
"29",86.640001,87.390004,78.080006,78.960004,110739800,69.569677
"30",79.300011,80.390004,72.430006,75.209998,118827300,66.265641
"31",75.79001,79.120003,72.690006,76.610003,92620000,67.99204
"32",78.330012,88.589999,77.280007,88.270002,101189600,78.34039
"33",88.510007,88.740004,81.110004,82.330009,98529200,73.068594
"34",81.860007,84.700004,77.210008,78.370016,103200100,70.098182
"35",78.449999,89.890002,77.910007,89.26001,159637100,79.838755
"36",88.480005,95.570004,86.910009,92.069997,135015500,82.352152
"37",93.000007,95.310005,87.560003,89.230007,93798500,80.362702
"38",89.919997,92.670002,86.12001,89.050015,82016500,80.200597
"39",89.650005,90.100005,84.910014,88.210005,77370500,79.444063
"40",88.940006,94.500005,87.71,93.54,78588500,84.849506
"41",93.440015,98.700003,92.92,96.08001,81439300,87.153532
"42",96.050015,99.420004,94.519999,94.960006,68292400,86.137584
"43",95.129997,95.600007,90.130008,95.100003,79705000,86.85956
"44",94.510006,95.690015,86.500012,87.570012,88190200,79.982045
"45",87.800008,97.170003,85.900007,96.520009,92826200,88.156523
"46",95.79,97.839999,91.199999,95.290011,91218900,87.684971
"47",95.389997,98.210008,93.27,95.750012,82747700,88.108259
"48",95.740004,99.879997,93.800015,99.690012,80419800,91.733809
"49",99.790012,105.640006,99.40001,102.630002,85802800,95.117902
"50",103.770007,104.040007,97.480015,97.710003,71368800,90.558028
"51",97.639997,104.480014,96.820012,103.730012,69434500,96.137396
"52",103.430009,103.690008,95.700008,96.15,87510700,89.750055
"53",96.010012,97.140008,82.300006,88.930005,141145200,83.010638
"54",88.990002,89.380005,78.510004,79.770005,115837000,74.460346
"55",77.339996,83.25,72.32,80.610001,164139000,79.103698
"56",80.010002,81.360001,73.150002,80,118563200,78.505096
"57",81.779999,83.739998,77.68,77.879997,96021400,76.424709
"58",77.860001,78.800003,71.699997,73,103377500,72.307751
"59",74.220001,82.059998,73.349998,80.099998,92189700,79.340421
"60",79.959999,82.019997,75.599998,78.190002,87852800,77.448538
"61",78.889999,79.889999,76.900002,78.830002,38320700,78.830002
