"","stock_data$MCO.Open","stock_data$MCO.High","stock_data$MCO.Low","stock_data$MCO.Close","stock_data$MCO.Volume","stock_data$MCO.Adjusted"
"1",19.219999,22.219999,18.860001,19.92,63990200,18.490034
"2",19.9,24.17,19.459999,23.549999,50710400,21.859452
"3",23.809999,24.120001,20.719999,21.139999,40559500,19.715537
"4",21.440001,26.129999,21.440001,24.98,55548100,23.296789
"5",25,28.700001,24.82,27.059999,59831600,25.236633
"6",27.200001,28.93,26.299999,26.83,45476200,25.119278
"7",27.17,27.709999,26.1,26.540001,59324600,24.84777
"8",26.82,30.09,26.49,29.370001,55811400,27.497325
"9",29.610001,32.130001,28.59,31.9,37548100,29.978672
"10",31.940001,34.740002,30.84,33.91,52796200,31.86761
"11",34.299999,39.650002,34.259998,39.139999,44779400,36.782608
"12",39.43,39.919998,37.490002,39.91,48056600,37.643223
"13",39.689999,41.93,35.130001,38.349998,77240800,36.171826
"14",38.34,40.279999,34.610001,35.610001,59327400,33.587452
"15",35.860001,36.09,26.790001,30.83,103979900,29.20955
"16",30.85,33.650002,28.030001,30.450001,72449000,28.849524
"17",30.17,37.150002,28.290001,35.490002,58432400,33.624619
"18",34.099998,35.830002,31.41,34.709999,51545000,33.018831
"19",34.709999,36.040001,32.27,33.68,41618000,32.039016
"20",34.419998,38.779999,34.349998,37.23,34598400,35.41605
"21",37.610001,39.349998,34.549999,38.610001,31693800,36.881452
"22",38.380001,42.669998,37.209999,42.099998,30780100,40.215204
"23",42.139999,43.049999,40.68,40.950001,33761200,39.116691
"24",40.959999,41.02,35.459999,36.59,40686900,35.102662
"25",35.860001,37.419998,33.860001,36.549999,31506900,35.064287
"26",36.540001,41.240002,35.130001,40.529999,35540600,38.882505
"27",40.75,41,38.02,39.599998,29910200,38.146688
"28",39.599998,46.259998,39.18,44.169998,43264500,42.548969
"29",44.459999,49.5,43.23,48.16,33503400,46.392539
"30",48.439999,49.360001,43.900002,48.580002,37560000,46.960291
"31",48.790001,51.630001,46.09,50.32,32747200,48.642275
"32",51.48,55.080002,51.27,54.82,42174200,52.99224
"33",55.23,55.580002,40.669998,48.060001,116742100,46.657531
"34",47.790001,53.369999,47.740002,53.32,30399200,51.764034
"35",53.110001,61.5,51.310001,60.849998,33696300,59.074295
"36",60.25,69.699997,58.09,66.440002,39314200,64.693224
"37",66.559998,66.919998,56.75,60.93,30997200,59.328085
"38",61.169998,68.059998,59.689999,67.769997,32069500,65.988251
"39",68.309998,71.25,62.950001,63.560001,24752800,62.130319
"40",65.029999,71.739998,63.41,70.330002,20586500,68.748039
"41",70.330002,73.900002,66.910004,70.660004,23051000,69.070618
"42",70.669998,75.889999,69.980003,74.629997,15130100,73.195133
"43",74.410004,79.150002,71.639999,78.470001,16248500,76.961308
"44",77.860001,78.739998,72.650002,74.580002,18053100,73.146099
"45",74.470001,85.699997,72.57,79,24418200,77.754865
"46",78,83.620003,77.120003,79.32,24319000,78.069822
"47",79.639999,83.300003,74.360001,78.5,24836100,77.262746
"48",78.309998,86.480003,77.389999,85.540001,26405700,84.48358
"49",85.540001,89.080002,84.480003,87.660004,13874900,86.577401
"50",87.760002,95,86.889999,87,16253400,85.925548
"51",86.82,93.989998,86.5,93.57,16786100,92.698511
"52",93.989998,96.139999,91.620003,94.5,18210900,93.619849
"53",94.779999,99.599998,88.25,99.230003,29081300,98.305799
"54",99.419998,102.239998,98.419998,101.010002,19937200,100.348656
"55",100.739998,101.050003,92.32,95.809998,26428500,95.182698
"56",96.540001,96.93,90.330002,91.330002,21998900,90.732034
"57",90.739998,99.010002,85.5,96.940002,25869100,96.640317
"58",96.809998,104.580002,94.25,103.800003,26238200,103.47911
"59",102.910004,108.169998,102.440002,107.519997,14381000,107.187603
"60",110,110.510002,104.910004,108.099998,19525100,108.099998
"61",108.360001,109.75,104.870003,107.529999,6719000,107.529999
