"","stock_data$CCE.Open","stock_data$CCE.High","stock_data$CCE.Low","stock_data$CCE.Close","stock_data$CCE.Volume","stock_data$CCE.Adjusted"
"1",26.030001,27.5,25.549999,25.860001,75670600,15.962858
"2",25.82,29,25.559999,28.700001,78687500,17.715933
"3",28.889999,29.459999,27.879999,28.459999,67319800,17.567785
"4",28.690001,31.450001,28.530001,31,80449700,19.194117
"5",31,31.799999,21.66,24.01,146557500,21.685489
"6",23.780001,25.540001,23.66,24.15,97419600,21.915718
"7",24.34,26.120001,24.200001,25.030001,73637700,22.714304
"8",25.129999,25.93,23.629999,25.16,80928100,22.832276
"9",25.33,27.15,25.129999,26.299999,62202200,23.866806
"10",26.32,27.459999,25.16,27.299999,65018100,24.886816
"11",27.43,28.860001,27.27,28.41,46445100,25.898698
"12",28.450001,29.77,27.26,28.889999,74609900,26.336268
"13",28.91,29.389999,27.73,29.18,70604500,26.722957
"14",29.23,29.99,27.48,28.110001,72574900,25.743054
"15",28.059999,28.5,23.969999,27.620001,108060800,25.294314
"16",27.559999,27.92,24.16,24.879999,72552000,22.895843
"17",24.66,27.49,23.030001,26.82,81372500,24.68113
"18",26.08,26.85,24.200001,26.120001,49735200,24.161449
"19",26.07,26.51,24.879999,25.780001,54417300,23.846943
"20",26.32,27.42,25.450001,26.790001,46460800,24.781211
"21",26.950001,29.040001,26.879999,28.9,54038600,26.732996
"22",28.93,28.99,27.049999,28.6,55388600,26.611802
"23",28.5,30.73,27.26,30.120001,58720400,28.026136
"24",30.110001,30.110001,26.82,27.360001,69572300,25.458004
"25",26.9,28.15,26.049999,28.040001,65145800,26.250309
"26",28.059999,29.799999,26.540001,29.32,57126100,27.44861
"27",29.5,30.15,28.440001,29.530001,41411200,27.645208
"28",29.5,31.68,28.82,31.27,46871000,29.432067
"29",31.370001,32.549999,30.280001,31.440001,43643000,29.592075
"30",31.49,32.07,29.290001,31.18,53752300,29.504189
"31",31.32,32.5,30.870001,31.73,64842900,30.024628
"32",32.099998,34.970001,32.009998,34.869999,38662200,32.995864
"33",35.099998,36.57,34.32,35.779999,64617600,33.856955
"34",35.52,37.369999,35.169998,36.919998,42931800,35.130747
"35",36.549999,37.639999,35.73,36.630001,60753900,34.854804
"36",36.48,39.400002,35.509998,37.16,53453700,35.359117
"37",37.18,37.959999,33.810001,35.16,66475700,33.634809
"38",35.509998,38.32,34.57,37.540001,50179300,35.911569
"39",37.82,38.5,36.580002,37.400002,41184900,35.777642
"40",38.419998,41.48,37.959999,40.209999,48495000,38.666403
"41",40.09,42.950001,39.490002,41.73,53195600,40.128053
"42",41.82,42.439999,40.490002,41.939999,31237400,40.524491
"43",41.93,44.360001,40.549999,44.130001,36578800,42.640579
"44",43.860001,45.029999,42.939999,43.290001,36990700,41.82893
"45",43.400002,47.889999,42.07,47.080002,44100700,45.491015
"46",46.669998,48.040001,46.080002,47.759998,42906000,46.395159
"47",47.610001,47.959999,44.200001,45.439999,58125000,44.141458
"48",45.560001,47.73,45.279999,45.639999,38929000,44.335744
"49",45.68,48.130001,43.959999,47.779999,63720800,46.670063
"50",48,49.169998,45.349998,45.450001,50149800,44.394191
"51",45.450001,50,44.459999,47.779999,31382700,46.670063
"52",47.84,48.040001,44.349998,44.360001,41951100,43.560135
"53",44.369999,44.849998,39.049999,43.349998,70091300,42.568344
"54",43.400002,44.549999,42,43.939999,34147300,43.396367
"55",43.630001,45.57,41.77,44.220001,46949000,43.672905
"56",44.25,44.880001,42.049999,42.099998,46356900,41.579132
"57",42.220001,46.299999,41.830002,46.200001,61871500,45.628408
"58",46.200001,46.400002,41.029999,44.200001,60172400,43.921199
"59",44.16,46.25,43.959999,44.41,43560800,44.129874
"60",44.689999,46.700001,44.130001,44.23,38398400,43.951009
"61",44.27,44.540001,42.720001,43.290001,12851700,43.290001
