"","stock_data$WMT.Open","stock_data$WMT.High","stock_data$WMT.Low","stock_data$WMT.Close","stock_data$WMT.Volume","stock_data$WMT.Adjusted"
"1",51.209999,51.91,48.009998,48.07,269931100,42.463993
"2",48.099998,51.810001,47.77,51.189999,280340800,45.220132
"3",51.549999,52.48,50,50.139999,272559100,44.551089
"4",50.490002,54.389999,50.459999,53.52,216284000,47.554334
"5",53.599998,54.82,52.93,54.169998,208445100,48.131879
"6",54.049999,55.720001,53.43,54.09,241802400,48.060798
"7",54.419998,55.34,53.139999,53.93,246182100,48.183647
"8",54.23,57.900002,53.540001,56.07,260656500,50.095625
"9",56.369999,56.73,51.52,51.98,276839200,46.441423
"10",52.16,53.880001,50.970001,52.049999,279247300,46.829917
"11",52.25,55.16,51.919998,54.98,177992800,49.466068
"12",55.080002,56.470001,54.189999,55.220001,195699000,50.010723
"13",54.98,55.169998,51.790001,53.139999,282564700,48.126941
"14",53.189999,54.810001,52.669998,52.709999,198103900,47.737506
"15",52.790001,53.490002,48.310001,53.189999,424527100,48.520708
"16",53.200001,53.549999,49.939999,51.900002,275866100,47.343953
"17",51.880001,57.959999,51.630001,56.720001,268820500,51.740829
"18",55.82,59.400002,55.68,58.900002,222113300,53.729458
"19",58.639999,60,57.419998,59.759998,193606900,54.854584
"20",59.970001,62,58.369999,61.360001,163577000,56.32325
"21",61.790001,62.630001,58.209999,59.080002,199314500,54.230405
"22",59.360001,61.5,58.639999,61.200001,185822200,56.552392
"23",61.080002,62.490002,57.18,58.91,251787900,54.436296
"24",58.950001,66.660004,58.27,65.82,247098000,61.234264
"25",65.43,69.720001,65.129997,69.720001,229264800,64.862549
"26",69.599998,75.239998,69.150002,74.43,210686500,69.244398
"27",74.699997,74.959999,71.349998,72.599998,163618500,67.907175
"28",72.769997,75.190002,72.57,73.800003,121605000,69.029612
"29",73.800003,77.599998,73.629997,75.019997,144858200,70.170745
"30",75.129997,75.160004,67.650002,72.019997,193687500,67.364664
"31",72.110001,72.699997,67.370003,68.230003,198433700,64.173805
"32",68.93,70.440002,67.720001,69.949997,152007900,65.791547
"33",70.110001,71.959999,68.129997,70.779999,205455800,66.572206
"34",70.779999,75.110001,70.779999,74.830002,151456500,70.835513
"35",75,79.5,74.900002,77.720001,165085800,73.571242
"36",77.849998,79.959999,74.82,74.839996,162295100,71.269897
"37",75.059998,76.870003,72.900002,74.489998,162608600,70.936595
"38",74.989998,78.690002,74.089996,77.940002,113025400,74.222024
"39",78.419998,79,72.230003,72.980003,133848900,69.920655
"40",73.480003,76.730003,72.190002,73.959999,124109700,70.859569
"41",73.870003,77.629997,71.510002,76.75,150995900,73.532612
"42",76.970001,81.349998,76.589996,81.010002,113143600,77.614033
"43",80.889999,81.370003,76.809998,78.690002,117743800,75.83015
"44",78.720001,79.470001,73.639999,74.68,146048800,71.965884
"45",74.190002,75.989998,72.269997,74.699997,140708800,71.985154
"46",74.489998,77.529999,73.830002,76.43,143316900,74.127463
"47",76.760002,79.989998,76.290001,79.709999,133598600,77.308648
"48",79.730003,79.760002,75.239998,76.769997,121597900,74.918192
"49",76.580002,77.760002,74.669998,75.07,125888500,73.259201
"50",75.269997,77.57,73.540001,73.580002,120184800,71.805145
"51",73.32,76.199997,72.769997,75.5,114715100,74.16422
"52",75.419998,77.730003,75.410004,76.470001,120362900,75.11706
"53",76.510002,79.370003,72.610001,76.269997,177386600,74.920594
"54",76.349998,88.089996,75.589996,87.540001,159238900,85.991204
"55",86.720001,87.440002,82.650002,85.879997,138918400,84.831862
"56",86.269997,90.970001,84.900002,84.980003,158927700,83.942852
"57",84.790001,88,82.550003,83.93,138473600,82.905664
"58",83.93,84,80.540001,82.25,142533000,81.734161
"59",82.279999,82.279999,77.550003,78.050003,143685100,77.560505
"60",78.199997,79.940002,74.150002,74.269997,148929400,74.269997
"61",74.690002,75.199997,72.339996,72.93,65905700,72.93
