"","stock_data$FTI.Open","stock_data$FTI.High","stock_data$FTI.Low","stock_data$FTI.Close","stock_data$FTI.Volume","stock_data$FTI.Adjusted"
"1",49.41,56.18,49.34,52.66,72521000,26.33
"2",52.450001,63.860001,51.16,63.279999,74335200,31.639999
"3",64.769997,65.860001,60.41,61.849998,47204200,30.924999
"4",63.119999,71.32,63.009998,68.290001,51529000,34.145
"5",69.059998,74.389999,67.199997,72.099998,49776000,36.049999
"6",73.160004,85.690002,71.629997,84.239998,38645400,42.119999
"7",86.019997,90.800003,84.970001,88.910004,34591800,44.455002
"8",89.349998,95.389999,82.389999,94,35168400,47
"9",94.489998,96.75,86.599998,94.050003,48285000,47.025002
"10",94.68,97.349998,84.209999,94.480003,43806200,47.240002
"11",47.990002,50.330002,44.349998,46.48,40651400,46.48
"12",46.93,47.169998,40.889999,44.630001,62577900,44.630001
"13",44.5,45.16,38.810001,44.790001,42734600,44.790001
"14",44.59,46.869999,42.810001,45.599998,40205300,45.599998
"15",46.369999,46.450001,36.330002,44.459999,76107900,44.459999
"16",44.400002,45.299999,37.290001,37.599998,52335900,37.599998
"17",37,47.32,34.459999,44.82,59401700,44.82
"18",43.27,52.700001,42.490002,52.360001,54106800,52.360001
"19",52.25,54.880001,47.41,52.23,51853400,52.23
"20",54.07,55,50.669998,51.110001,47022900,51.110001
"21",51.549999,55.189999,49.880001,50.43,55502300,50.43
"22",50.66,52.84,47.73,50.419998,54191000,50.419998
"23",50.23,51.029999,45.459999,47,53784700,47
"24",47.150002,47.939999,39.759998,40.240002,55505700,40.240002
"25",39.349998,42.139999,36.889999,39.23,55005500,39.23
"26",39.279999,47.09,39.009998,45.119999,48893100,45.119999
"27",45.5,48.290001,45.07,46.84,34001000,46.84
"28",46.849998,50.490002,46.009998,46.299999,33655500,46.299999
"29",46.790001,47.25,39.25,40.900002,54635700,40.900002
"30",40.990002,41.889999,39.439999,40.860001,36864200,40.860001
"31",41.16,42.869999,40.240002,42.830002,29627700,42.830002
"32",43.75,47.650002,42.040001,47.349998,42648400,47.349998
"33",47.419998,53.18,47.25,51.91,46537700,51.91
"34",51.740002,54.52,50.25,54.389999,31473500,54.389999
"35",54.59,55.490002,47.919998,54.299999,48455200,54.299999
"36",53.740002,59.27,53.18,55.66,27334800,55.66
"37",55.93,58.34,53.169998,55.68,29212800,55.68
"38",56.169998,59.130001,53.09,53.299999,36064200,53.299999
"39",54,55.639999,52.209999,53.630001,24675200,53.630001
"40",54.349998,57.919998,53.740002,55.419998,24101600,55.419998
"41",55.299999,59.790001,50.549999,50.549999,53074200,50.549999
"42",50.529999,50.900002,47.580002,48.099998,35066700,48.099998
"43",48.209999,53.48,47.650002,52.209999,39841700,52.209999
"44",51.939999,52.349998,48.330002,49.439999,38963700,49.439999
"45",49.459999,51.959999,47.599998,50.240002,47435100,50.240002
"46",49.959999,53.889999,49.57,52.290001,32409600,52.290001
"47",52.360001,59.279999,51.549999,56.700001,38463800,56.700001
"48",56.650002,58.16,54.380001,58.060001,27540100,58.060001
"49",58.099998,62.43,57.279999,61.07,28829400,61.07
"50",61.389999,63.919998,58.830002,60.799999,34677600,60.799999
"51",60.43,62.099998,59.310001,61.84,24937100,61.84
"52",61.84,62,53.419998,54.310001,41582400,54.310001
"53",54.189999,56.779999,47.790001,56.040001,62052700,56.040001
"54",56.139999,57.869999,47.380001,47.77,45132700,47.77
"55",46.830002,48.75,42.41,46.84,63055400,46.84
"56",46.439999,46.790001,34.849998,37.48,75070700,37.48
"57",37.950001,43.169998,37.759998,39.93,82174400,39.93
"58",39.779999,40.099998,35.369999,37.009998,86850400,37.009998
"59",37.189999,44.43,36.650002,44.099998,78163100,44.099998
"60",43.990002,44.279999,40.73,41.790001,54577400,41.790001
"61",41.66,43.68,40.91,43.25,15415800,43.25
